[1461, 1106]
[section-title, [115.0, 122.0, 430.0, 30.0], shoonya_4sUEOZUXA8G6T0, 5759100]
[paragraph, [113.0, 163.0, 855.0, 18.0], shoonya_10sIN7IS34T84I, 5759100]
[paragraph, [113.0, 181.0, 855.0, 18.0], shoonya_10sIN7IS34T84I, 5759100]
[paragraph, [113.0, 199.0, 855.0, 18.0], shoonya_10sIN7IS34T84I, 5759100]
[paragraph, [113.0, 217.0, 855.0, 18.0], shoonya_10sIN7IS34T84I, 5759100]
[paragraph, [113.0, 235.0, 855.0, 18.0], shoonya_10sIN7IS34T84I, 5759100]
[paragraph, [113.0, 253.0, 855.0, 18.0], shoonya_10sIN7IS34T84I, 5759100]
[paragraph, [113.0, 271.0, 855.0, 18.0], shoonya_10sIN7IS34T84I, 5759100]
[paragraph, [113.0, 289.0, 855.0, 18.0], shoonya_10sIN7IS34T84I, 5759100]
[section-title, [120.0, 327.0, 419.0, 30.0], AYHSrIQ9ir, 5759100]
[paragraph, [112.0, 393.0, 850.0, 18.0], shoonya_2s7AZZ0GTC2P17, 5759100]
[paragraph, [112.0, 411.0, 850.0, 18.0], shoonya_2s7AZZ0GTC2P17, 5759100]
[paragraph, [112.0, 429.0, 850.0, 18.0], shoonya_2s7AZZ0GTC2P17, 5759100]
[paragraph, [112.0, 447.0, 850.0, 18.0], shoonya_2s7AZZ0GTC2P17, 5759100]
[paragraph, [112.0, 465.0, 850.0, 18.0], shoonya_2s7AZZ0GTC2P17, 5759100]
[paragraph, [112.0, 483.0, 850.0, 18.0], shoonya_2s7AZZ0GTC2P17, 5759100]
[paragraph, [112.0, 501.0, 850.0, 18.0], shoonya_2s7AZZ0GTC2P17, 5759100]
[paragraph, [112.0, 519.0, 850.0, 18.0], shoonya_2s7AZZ0GTC2P17, 5759100]
[paragraph, [112.0, 537.0, 850.0, 18.0], shoonya_2s7AZZ0GTC2P17, 5759100]
[paragraph, [112.0, 555.0, 850.0, 18.0], shoonya_2s7AZZ0GTC2P17, 5759100]
[paragraph, [112.0, 573.0, 850.0, 18.0], shoonya_2s7AZZ0GTC2P17, 5759100]
[figure-caption, [415.0, 916.0, 265.0, 18.0], shoonya_9s5URQ7QORY1OX, 5759100]
[section-title, [123.0, 963.0, 500.0, 30.0], SAGh8NP5Gf, 5759100]
[paragraph, [125.0, 1008.0, 835.0, 18.0], shoonya_5sVMF74PQFPE7W, 5759100]
[paragraph, [125.0, 1026.0, 835.0, 18.0], shoonya_5sVMF74PQFPE7W, 5759100]
[paragraph, [125.0, 1044.0, 835.0, 18.0], shoonya_5sVMF74PQFPE7W, 5759100]
[paragraph, [125.0, 1062.0, 835.0, 18.0], shoonya_5sVMF74PQFPE7W, 5759100]
[paragraph, [125.0, 1080.0, 835.0, 18.0], shoonya_5sVMF74PQFPE7W, 5759100]
[paragraph, [125.0, 1098.0, 835.0, 18.0], shoonya_5sVMF74PQFPE7W, 5759100]
[folio, [758.0, 1345.0, 145.0, 18.0], np-EtM0fv6, 5759100]
