[1650, 1144]
[contact-info, [374.0, 325.0, 378.0, 36.0], XN5_WWkz2Y, 6475197]
[contact-info, [374.0, 361.0, 378.0, 36.0], XN5_WWkz2Y, 6475197]
[contact-info, [374.0, 397.0, 378.0, 36.0], XN5_WWkz2Y, 6475197]
[contact-info, [374.0, 433.0, 378.0, 36.0], XN5_WWkz2Y, 6475197]
[contact-info, [374.0, 469.0, 378.0, 36.0], XN5_WWkz2Y, 6475197]
[paragraph, [114.0, 547.0, 911.0, 36.0], shoonya_0sJ2CJN69B8KV7, 6475197]
[paragraph, [114.0, 583.0, 911.0, 36.0], shoonya_0sJ2CJN69B8KV7, 6475197]
[paragraph, [114.0, 619.0, 911.0, 36.0], shoonya_0sJ2CJN69B8KV7, 6475197]
[paragraph, [114.0, 655.0, 911.0, 36.0], shoonya_0sJ2CJN69B8KV7, 6475197]
[paragraph, [114.0, 691.0, 911.0, 36.0], shoonya_0sJ2CJN69B8KV7, 6475197]
[paragraph, [114.0, 727.0, 911.0, 36.0], shoonya_0sJ2CJN69B8KV7, 6475197]
[paragraph, [114.0, 763.0, 911.0, 36.0], shoonya_0sJ2CJN69B8KV7, 6475197]
