[827, 532]
[folio, [224.0, 53.0, 97.0, 18.0], shoonya_0sMH2KXPLQ63XS, 5741289]
[paragraph, [48.0, 98.0, 438.0, 18.0], ZtV6RwzZl3, 5741289]
[paragraph, [48.0, 116.0, 438.0, 18.0], ZtV6RwzZl3, 5741289]
[paragraph, [48.0, 134.0, 438.0, 18.0], ZtV6RwzZl3, 5741289]
[paragraph, [48.0, 152.0, 438.0, 18.0], ZtV6RwzZl3, 5741289]
[paragraph, [48.0, 170.0, 438.0, 18.0], ZtV6RwzZl3, 5741289]
[paragraph, [48.0, 188.0, 438.0, 18.0], ZtV6RwzZl3, 5741289]
[paragraph, [48.0, 206.0, 438.0, 18.0], ZtV6RwzZl3, 5741289]
[paragraph, [48.0, 224.0, 438.0, 18.0], ZtV6RwzZl3, 5741289]
[paragraph, [48.0, 242.0, 438.0, 18.0], ZtV6RwzZl3, 5741289]
[paragraph, [45.0, 303.0, 439.0, 18.0], shoonya_1s0VZJZNQV3VMG, 5741289]
[paragraph, [45.0, 321.0, 439.0, 18.0], shoonya_1s0VZJZNQV3VMG, 5741289]
[paragraph, [45.0, 339.0, 439.0, 18.0], shoonya_1s0VZJZNQV3VMG, 5741289]
[paragraph, [45.0, 357.0, 439.0, 18.0], shoonya_1s0VZJZNQV3VMG, 5741289]
[paragraph, [45.0, 375.0, 439.0, 18.0], shoonya_1s0VZJZNQV3VMG, 5741289]
[paragraph, [45.0, 393.0, 439.0, 18.0], shoonya_1s0VZJZNQV3VMG, 5741289]
[paragraph, [45.0, 411.0, 439.0, 18.0], shoonya_1s0VZJZNQV3VMG, 5741289]
[paragraph, [45.0, 429.0, 439.0, 18.0], shoonya_1s0VZJZNQV3VMG, 5741289]
[paragraph, [45.0, 447.0, 439.0, 18.0], shoonya_1s0VZJZNQV3VMG, 5741289]
[paragraph, [45.0, 465.0, 439.0, 18.0], shoonya_1s0VZJZNQV3VMG, 5741289]
[paragraph, [45.0, 483.0, 439.0, 18.0], shoonya_1s0VZJZNQV3VMG, 5741289]
[paragraph, [45.0, 501.0, 439.0, 18.0], shoonya_1s0VZJZNQV3VMG, 5741289]
[paragraph, [45.0, 519.0, 439.0, 18.0], shoonya_1s0VZJZNQV3VMG, 5741289]
[paragraph, [45.0, 537.0, 439.0, 18.0], shoonya_1s0VZJZNQV3VMG, 5741289]
[paragraph, [45.0, 555.0, 439.0, 18.0], shoonya_1s0VZJZNQV3VMG, 5741289]
[paragraph, [45.0, 573.0, 439.0, 18.0], shoonya_1s0VZJZNQV3VMG, 5741289]
[paragraph, [45.0, 591.0, 439.0, 18.0], shoonya_1s0VZJZNQV3VMG, 5741289]
[paragraph, [45.0, 609.0, 439.0, 18.0], shoonya_1s0VZJZNQV3VMG, 5741289]
[paragraph, [45.0, 627.0, 439.0, 18.0], shoonya_1s0VZJZNQV3VMG, 5741289]
[paragraph, [45.0, 645.0, 439.0, 18.0], shoonya_1s0VZJZNQV3VMG, 5741289]
[paragraph, [45.0, 663.0, 439.0, 18.0], shoonya_1s0VZJZNQV3VMG, 5741289]
[paragraph, [45.0, 681.0, 439.0, 18.0], shoonya_1s0VZJZNQV3VMG, 5741289]
[paragraph, [45.0, 699.0, 439.0, 18.0], shoonya_1s0VZJZNQV3VMG, 5741289]
[paragraph, [45.0, 717.0, 439.0, 18.0], shoonya_1s0VZJZNQV3VMG, 5741289]
[paragraph, [45.0, 735.0, 439.0, 18.0], shoonya_1s0VZJZNQV3VMG, 5741289]
[paragraph, [45.0, 753.0, 439.0, 18.0], shoonya_1s0VZJZNQV3VMG, 5741289]
[footnote, [221.0, 790.0, 255.0, 18.0], ujZzBW7lmh, 5741289]
