[985, 609]
[ordered-list, [82.0, 83.0, 488.0, 18.0], F5PACZCaiy, 5756739]
[ordered-list, [82.0, 101.0, 488.0, 18.0], F5PACZCaiy, 5756739]
[ordered-list, [82.0, 119.0, 488.0, 18.0], F5PACZCaiy, 5756739]
[ordered-list, [82.0, 137.0, 488.0, 18.0], F5PACZCaiy, 5756739]
[ordered-list, [82.0, 155.0, 488.0, 18.0], F5PACZCaiy, 5756739]
[ordered-list, [82.0, 173.0, 488.0, 18.0], F5PACZCaiy, 5756739]
[ordered-list, [82.0, 191.0, 488.0, 18.0], F5PACZCaiy, 5756739]
[ordered-list, [82.0, 209.0, 488.0, 18.0], F5PACZCaiy, 5756739]
[ordered-list, [82.0, 227.0, 488.0, 18.0], F5PACZCaiy, 5756739]
[ordered-list, [82.0, 245.0, 488.0, 18.0], F5PACZCaiy, 5756739]
[ordered-list, [82.0, 263.0, 488.0, 18.0], F5PACZCaiy, 5756739]
[ordered-list, [82.0, 281.0, 488.0, 18.0], F5PACZCaiy, 5756739]
[ordered-list, [82.0, 299.0, 488.0, 18.0], F5PACZCaiy, 5756739]
[ordered-list, [82.0, 317.0, 488.0, 18.0], F5PACZCaiy, 5756739]
[ordered-list, [82.0, 335.0, 488.0, 18.0], F5PACZCaiy, 5756739]
[ordered-list, [82.0, 353.0, 488.0, 18.0], F5PACZCaiy, 5756739]
[ordered-list, [82.0, 371.0, 488.0, 18.0], F5PACZCaiy, 5756739]
[ordered-list, [82.0, 389.0, 488.0, 18.0], F5PACZCaiy, 5756739]
[ordered-list, [82.0, 407.0, 488.0, 18.0], F5PACZCaiy, 5756739]
[ordered-list, [82.0, 425.0, 488.0, 18.0], F5PACZCaiy, 5756739]
[ordered-list, [82.0, 443.0, 488.0, 18.0], F5PACZCaiy, 5756739]
[ordered-list, [82.0, 461.0, 488.0, 18.0], F5PACZCaiy, 5756739]
[ordered-list, [82.0, 479.0, 488.0, 18.0], F5PACZCaiy, 5756739]
[ordered-list, [82.0, 497.0, 488.0, 18.0], F5PACZCaiy, 5756739]
[ordered-list, [82.0, 515.0, 488.0, 18.0], F5PACZCaiy, 5756739]
[ordered-list, [82.0, 533.0, 488.0, 18.0], F5PACZCaiy, 5756739]
[ordered-list, [82.0, 551.0, 488.0, 18.0], F5PACZCaiy, 5756739]
[ordered-list, [82.0, 569.0, 488.0, 18.0], F5PACZCaiy, 5756739]
[ordered-list, [82.0, 587.0, 488.0, 18.0], F5PACZCaiy, 5756739]
[ordered-list, [82.0, 605.0, 488.0, 18.0], F5PACZCaiy, 5756739]
[ordered-list, [82.0, 623.0, 488.0, 18.0], F5PACZCaiy, 5756739]
[ordered-list, [82.0, 641.0, 488.0, 18.0], F5PACZCaiy, 5756739]
[ordered-list, [82.0, 659.0, 488.0, 18.0], F5PACZCaiy, 5756739]
[ordered-list, [82.0, 677.0, 488.0, 18.0], F5PACZCaiy, 5756739]
[ordered-list, [82.0, 695.0, 488.0, 18.0], F5PACZCaiy, 5756739]
[ordered-list, [82.0, 713.0, 488.0, 18.0], F5PACZCaiy, 5756739]
[ordered-list, [82.0, 731.0, 488.0, 18.0], F5PACZCaiy, 5756739]
[ordered-list, [82.0, 749.0, 488.0, 18.0], F5PACZCaiy, 5756739]
[ordered-list, [82.0, 767.0, 488.0, 18.0], F5PACZCaiy, 5756739]
