[1650, 1275]
[paragraph, [181.0, 131.0, 915.0, 36.0], euyaHW-cKk, 5704347]
[paragraph, [181.0, 167.0, 915.0, 36.0], euyaHW-cKk, 5704347]
[paragraph, [181.0, 203.0, 915.0, 36.0], euyaHW-cKk, 5704347]
[paragraph, [181.0, 239.0, 915.0, 36.0], euyaHW-cKk, 5704347]
[paragraph, [181.0, 275.0, 915.0, 36.0], euyaHW-cKk, 5704347]
[paragraph, [181.0, 311.0, 915.0, 36.0], euyaHW-cKk, 5704347]
[paragraph, [181.0, 347.0, 915.0, 36.0], euyaHW-cKk, 5704347]
[reference, [187.0, 562.0, 802.0, 36.0], z0qnoZH9nH, 5704347]
[reference, [187.0, 598.0, 802.0, 36.0], z0qnoZH9nH, 5704347]
[reference, [187.0, 634.0, 802.0, 36.0], z0qnoZH9nH, 5704347]
[reference, [187.0, 670.0, 802.0, 36.0], z0qnoZH9nH, 5704347]
[reference, [187.0, 706.0, 802.0, 36.0], z0qnoZH9nH, 5704347]
[reference, [187.0, 742.0, 802.0, 36.0], z0qnoZH9nH, 5704347]
[reference, [187.0, 778.0, 802.0, 36.0], z0qnoZH9nH, 5704347]
[reference, [187.0, 814.0, 802.0, 36.0], z0qnoZH9nH, 5704347]
[reference, [187.0, 850.0, 802.0, 36.0], z0qnoZH9nH, 5704347]
[reference, [187.0, 886.0, 802.0, 36.0], z0qnoZH9nH, 5704347]
[reference, [187.0, 922.0, 802.0, 36.0], z0qnoZH9nH, 5704347]
[reference, [187.0, 958.0, 802.0, 36.0], z0qnoZH9nH, 5704347]
[reference, [187.0, 994.0, 802.0, 36.0], z0qnoZH9nH, 5704347]
[reference, [187.0, 1030.0, 802.0, 36.0], z0qnoZH9nH, 5704347]
[reference, [187.0, 1066.0, 802.0, 36.0], z0qnoZH9nH, 5704347]
[reference, [187.0, 1102.0, 802.0, 36.0], z0qnoZH9nH, 5704347]
[reference, [187.0, 1138.0, 802.0, 36.0], z0qnoZH9nH, 5704347]
[reference, [187.0, 1174.0, 802.0, 36.0], z0qnoZH9nH, 5704347]
[reference, [187.0, 1210.0, 802.0, 36.0], z0qnoZH9nH, 5704347]
[reference, [187.0, 1246.0, 802.0, 36.0], z0qnoZH9nH, 5704347]
[reference, [187.0, 1282.0, 802.0, 36.0], z0qnoZH9nH, 5704347]
[reference, [187.0, 1318.0, 802.0, 36.0], z0qnoZH9nH, 5704347]
[reference, [187.0, 1354.0, 802.0, 36.0], z0qnoZH9nH, 5704347]
[reference, [187.0, 1390.0, 802.0, 36.0], z0qnoZH9nH, 5704347]
[reference, [187.0, 1426.0, 802.0, 36.0], z0qnoZH9nH, 5704347]
[reference, [187.0, 1462.0, 802.0, 36.0], z0qnoZH9nH, 5704347]
