[1625, 1211]
[headline, [217.0, 166.0, 897.0, 37.5], shoonya_1sCB959OCO0Q0X, 5742868]
[paragraph, [426.0, 317.0, 349.0, 36.0], h3CkKxWf5S, 5742868]
[paragraph, [426.0, 353.0, 349.0, 36.0], h3CkKxWf5S, 5742868]
[paragraph, [426.0, 389.0, 349.0, 36.0], h3CkKxWf5S, 5742868]
[paragraph, [426.0, 425.0, 349.0, 36.0], h3CkKxWf5S, 5742868]
[paragraph, [426.0, 461.0, 349.0, 36.0], h3CkKxWf5S, 5742868]
[paragraph, [426.0, 497.0, 349.0, 36.0], h3CkKxWf5S, 5742868]
[paragraph, [426.0, 533.0, 349.0, 36.0], h3CkKxWf5S, 5742868]
[paragraph, [426.0, 569.0, 349.0, 36.0], h3CkKxWf5S, 5742868]
[paragraph, [426.0, 605.0, 349.0, 36.0], h3CkKxWf5S, 5742868]
[paragraph, [69.0, 324.0, 347.0, 36.0], IueNfAzUR8, 5742868]
[paragraph, [69.0, 360.0, 347.0, 36.0], IueNfAzUR8, 5742868]
[paragraph, [69.0, 396.0, 347.0, 36.0], IueNfAzUR8, 5742868]
[paragraph, [69.0, 432.0, 347.0, 36.0], IueNfAzUR8, 5742868]
[paragraph, [69.0, 468.0, 347.0, 36.0], IueNfAzUR8, 5742868]
[paragraph, [69.0, 504.0, 347.0, 36.0], IueNfAzUR8, 5742868]
[paragraph, [69.0, 540.0, 347.0, 36.0], IueNfAzUR8, 5742868]
[paragraph, [69.0, 576.0, 347.0, 36.0], IueNfAzUR8, 5742868]
[paragraph, [69.0, 612.0, 347.0, 36.0], IueNfAzUR8, 5742868]
[paragraph, [69.0, 648.0, 347.0, 36.0], IueNfAzUR8, 5742868]
[paragraph, [69.0, 684.0, 347.0, 36.0], IueNfAzUR8, 5742868]
[paragraph, [69.0, 720.0, 347.0, 36.0], IueNfAzUR8, 5742868]
[paragraph, [69.0, 756.0, 347.0, 36.0], IueNfAzUR8, 5742868]
[paragraph, [69.0, 792.0, 347.0, 36.0], IueNfAzUR8, 5742868]
[paragraph, [69.0, 828.0, 347.0, 36.0], IueNfAzUR8, 5742868]
[paragraph, [69.0, 864.0, 347.0, 36.0], IueNfAzUR8, 5742868]
[paragraph, [69.0, 900.0, 347.0, 36.0], IueNfAzUR8, 5742868]
[paragraph, [69.0, 936.0, 347.0, 36.0], IueNfAzUR8, 5742868]
[paragraph, [69.0, 972.0, 347.0, 36.0], IueNfAzUR8, 5742868]
[paragraph, [69.0, 1008.0, 347.0, 36.0], IueNfAzUR8, 5742868]
[paragraph, [69.0, 1044.0, 347.0, 36.0], IueNfAzUR8, 5742868]
[paragraph, [797.0, 324.0, 338.0, 36.0], shoonya_0sQBBB8LTJ9RG8, 5742868]
[paragraph, [797.0, 360.0, 338.0, 36.0], shoonya_0sQBBB8LTJ9RG8, 5742868]
[paragraph, [797.0, 396.0, 338.0, 36.0], shoonya_0sQBBB8LTJ9RG8, 5742868]
[paragraph, [797.0, 432.0, 338.0, 36.0], shoonya_0sQBBB8LTJ9RG8, 5742868]
[paragraph, [797.0, 468.0, 338.0, 36.0], shoonya_0sQBBB8LTJ9RG8, 5742868]
[paragraph, [797.0, 504.0, 338.0, 36.0], shoonya_0sQBBB8LTJ9RG8, 5742868]
[paragraph, [797.0, 540.0, 338.0, 36.0], shoonya_0sQBBB8LTJ9RG8, 5742868]
