[872, 605]
[section-title, [259.0, 31.0, 97.0, 30.0], shoonya_0sH3NWAD47NHD9, 6456853]
[folio, [42.0, 32.0, 79.0, 18.0], GSA0Cp9CkZ, 6456853]
[paragraph, [306.0, 74.0, 259.0, 18.0], u7ZXDJaIbK, 6456853]
[paragraph, [37.0, 75.0, 248.0, 18.0], zMAfGmOqwo, 6456853]
[paragraph, [37.0, 97.0, 251.0, 18.0], 9GqrdVF1MP, 6456853]
[paragraph, [37.0, 115.0, 251.0, 18.0], 9GqrdVF1MP, 6456853]
[paragraph, [315.0, 112.0, 108.0, 18.0], ixyujMM09A, 6456853]
[paragraph, [303.0, 133.0, 149.0, 18.0], Anw8CIC8_t, 6456853]
[paragraph, [35.0, 134.0, 265.0, 18.0], JN6Z5QP8um, 6456853]
[paragraph, [35.0, 152.0, 265.0, 18.0], JN6Z5QP8um, 6456853]
[paragraph, [35.0, 170.0, 265.0, 18.0], JN6Z5QP8um, 6456853]
[paragraph, [35.0, 188.0, 265.0, 18.0], JN6Z5QP8um, 6456853]
[paragraph, [35.0, 206.0, 265.0, 18.0], JN6Z5QP8um, 6456853]
[paragraph, [35.0, 224.0, 265.0, 18.0], JN6Z5QP8um, 6456853]
[paragraph, [305.0, 155.0, 258.0, 18.0], ygx9lMBUTG, 6456853]
[paragraph, [305.0, 173.0, 258.0, 18.0], ygx9lMBUTG, 6456853]
[paragraph, [305.0, 191.0, 258.0, 18.0], ygx9lMBUTG, 6456853]
[paragraph, [305.0, 209.0, 258.0, 18.0], ygx9lMBUTG, 6456853]
[paragraph, [305.0, 227.0, 258.0, 18.0], ygx9lMBUTG, 6456853]
[paragraph, [305.0, 245.0, 258.0, 18.0], ygx9lMBUTG, 6456853]
[paragraph, [305.0, 263.0, 258.0, 18.0], ygx9lMBUTG, 6456853]
[paragraph, [305.0, 281.0, 258.0, 18.0], ygx9lMBUTG, 6456853]
[paragraph, [305.0, 299.0, 258.0, 18.0], ygx9lMBUTG, 6456853]
[paragraph, [305.0, 317.0, 258.0, 18.0], ygx9lMBUTG, 6456853]
[paragraph, [305.0, 335.0, 258.0, 18.0], ygx9lMBUTG, 6456853]
[paragraph, [305.0, 353.0, 258.0, 18.0], ygx9lMBUTG, 6456853]
[paragraph, [305.0, 371.0, 258.0, 18.0], ygx9lMBUTG, 6456853]
[paragraph, [305.0, 389.0, 258.0, 18.0], ygx9lMBUTG, 6456853]
