[2067, 1567]
[folio, [183.0, 195.0, 166.0, 36.0], BPAVnwfrOy, 5735415]
[folio, [1040.0, 199.0, 326.0, 36.0], PdklFOxDAu, 5735415]
[paragraph, [790.0, 248.0, 580.0, 36.0], shoonya_1sUQ1QA0B2KW61, 5735415]
[paragraph, [790.0, 284.0, 580.0, 36.0], shoonya_1sUQ1QA0B2KW61, 5735415]
[paragraph, [790.0, 320.0, 580.0, 36.0], shoonya_1sUQ1QA0B2KW61, 5735415]
[paragraph, [790.0, 356.0, 580.0, 36.0], shoonya_1sUQ1QA0B2KW61, 5735415]
[paragraph, [790.0, 392.0, 580.0, 36.0], shoonya_1sUQ1QA0B2KW61, 5735415]
[paragraph, [790.0, 428.0, 580.0, 36.0], shoonya_1sUQ1QA0B2KW61, 5735415]
[paragraph, [790.0, 464.0, 580.0, 36.0], shoonya_1sUQ1QA0B2KW61, 5735415]
[paragraph, [790.0, 500.0, 580.0, 36.0], shoonya_1sUQ1QA0B2KW61, 5735415]
[paragraph, [790.0, 536.0, 580.0, 36.0], shoonya_1sUQ1QA0B2KW61, 5735415]
[paragraph, [790.0, 572.0, 580.0, 36.0], shoonya_1sUQ1QA0B2KW61, 5735415]
[paragraph, [790.0, 608.0, 580.0, 36.0], shoonya_1sUQ1QA0B2KW61, 5735415]
[paragraph, [183.0, 293.0, 170.0, 36.0], hdH1i1Zo6c, 5735415]
[paragraph, [447.0, 388.0, 322.0, 36.0], shoonya_11s5ILD4E8ZJKD, 5735415]
[paragraph, [447.0, 424.0, 322.0, 36.0], shoonya_11s5ILD4E8ZJKD, 5735415]
[paragraph, [447.0, 460.0, 322.0, 36.0], shoonya_11s5ILD4E8ZJKD, 5735415]
[paragraph, [447.0, 496.0, 322.0, 36.0], shoonya_11s5ILD4E8ZJKD, 5735415]
[paragraph, [447.0, 532.0, 322.0, 36.0], shoonya_11s5ILD4E8ZJKD, 5735415]
[paragraph, [447.0, 568.0, 322.0, 36.0], shoonya_11s5ILD4E8ZJKD, 5735415]
[paragraph, [447.0, 604.0, 322.0, 36.0], shoonya_11s5ILD4E8ZJKD, 5735415]
[paragraph, [447.0, 640.0, 322.0, 36.0], shoonya_11s5ILD4E8ZJKD, 5735415]
[paragraph, [447.0, 676.0, 322.0, 36.0], shoonya_11s5ILD4E8ZJKD, 5735415]
[paragraph, [791.0, 651.0, 581.0, 36.0], shoonya_2sRU5TIQ1MKY36, 5735415]
[paragraph, [791.0, 687.0, 581.0, 36.0], shoonya_2sRU5TIQ1MKY36, 5735415]
[paragraph, [791.0, 723.0, 581.0, 36.0], shoonya_2sRU5TIQ1MKY36, 5735415]
[paragraph, [791.0, 759.0, 581.0, 36.0], shoonya_2sRU5TIQ1MKY36, 5735415]
[paragraph, [791.0, 795.0, 581.0, 36.0], shoonya_2sRU5TIQ1MKY36, 5735415]
[paragraph, [791.0, 831.0, 581.0, 36.0], shoonya_2sRU5TIQ1MKY36, 5735415]
[paragraph, [791.0, 867.0, 581.0, 36.0], shoonya_2sRU5TIQ1MKY36, 5735415]
