[1152, 739]
[paragraph, [96.0, 176.0, 536.0, 18.0], shoonya_2s1DOWH35QB4PG, 5740939]
[paragraph, [96.0, 194.0, 536.0, 18.0], shoonya_2s1DOWH35QB4PG, 5740939]
[paragraph, [96.0, 212.0, 536.0, 18.0], shoonya_2s1DOWH35QB4PG, 5740939]
[paragraph, [96.0, 230.0, 536.0, 18.0], shoonya_2s1DOWH35QB4PG, 5740939]
[paragraph, [96.0, 248.0, 536.0, 18.0], shoonya_2s1DOWH35QB4PG, 5740939]
[paragraph, [96.0, 266.0, 536.0, 18.0], shoonya_2s1DOWH35QB4PG, 5740939]
[paragraph, [96.0, 284.0, 536.0, 18.0], shoonya_2s1DOWH35QB4PG, 5740939]
[paragraph, [98.0, 320.0, 545.0, 18.0], o4ace13lS4, 5740939]
[paragraph, [98.0, 338.0, 545.0, 18.0], o4ace13lS4, 5740939]
[paragraph, [98.0, 356.0, 545.0, 18.0], o4ace13lS4, 5740939]
[paragraph, [98.0, 374.0, 545.0, 18.0], o4ace13lS4, 5740939]
[paragraph, [98.0, 392.0, 545.0, 18.0], o4ace13lS4, 5740939]
[paragraph, [98.0, 410.0, 545.0, 18.0], o4ace13lS4, 5740939]
[paragraph, [98.0, 428.0, 545.0, 18.0], o4ace13lS4, 5740939]
[paragraph, [98.0, 446.0, 545.0, 18.0], o4ace13lS4, 5740939]
[paragraph, [98.0, 464.0, 545.0, 18.0], o4ace13lS4, 5740939]
[paragraph, [98.0, 482.0, 545.0, 18.0], o4ace13lS4, 5740939]
[paragraph, [98.0, 500.0, 545.0, 18.0], o4ace13lS4, 5740939]
[paragraph, [98.0, 518.0, 545.0, 18.0], o4ace13lS4, 5740939]
[paragraph, [98.0, 536.0, 545.0, 18.0], o4ace13lS4, 5740939]
[paragraph, [98.0, 554.0, 545.0, 18.0], o4ace13lS4, 5740939]
[paragraph, [98.0, 572.0, 545.0, 18.0], o4ace13lS4, 5740939]
[paragraph, [98.0, 590.0, 545.0, 18.0], o4ace13lS4, 5740939]
[paragraph, [98.0, 608.0, 545.0, 18.0], o4ace13lS4, 5740939]
[paragraph, [98.0, 626.0, 545.0, 18.0], o4ace13lS4, 5740939]
[paragraph, [98.0, 644.0, 545.0, 18.0], o4ace13lS4, 5740939]
[paragraph, [98.0, 662.0, 545.0, 18.0], o4ace13lS4, 5740939]
[paragraph, [98.0, 680.0, 545.0, 18.0], o4ace13lS4, 5740939]
[paragraph, [98.0, 698.0, 545.0, 18.0], o4ace13lS4, 5740939]
[paragraph, [99.0, 735.0, 545.0, 18.0], dBwYTCg7Ra, 5740939]
[paragraph, [99.0, 753.0, 545.0, 18.0], dBwYTCg7Ra, 5740939]
[paragraph, [99.0, 771.0, 545.0, 18.0], dBwYTCg7Ra, 5740939]
[paragraph, [99.0, 789.0, 545.0, 18.0], dBwYTCg7Ra, 5740939]
[paragraph, [99.0, 807.0, 545.0, 18.0], dBwYTCg7Ra, 5740939]
[paragraph, [99.0, 825.0, 545.0, 18.0], dBwYTCg7Ra, 5740939]
[paragraph, [99.0, 843.0, 545.0, 18.0], dBwYTCg7Ra, 5740939]
[paragraph, [94.0, 874.0, 555.0, 18.0], -AKbdHP7H9, 5740939]
[paragraph, [94.0, 892.0, 555.0, 18.0], -AKbdHP7H9, 5740939]
[paragraph, [94.0, 910.0, 555.0, 18.0], -AKbdHP7H9, 5740939]
[paragraph, [94.0, 928.0, 555.0, 18.0], -AKbdHP7H9, 5740939]
[paragraph, [94.0, 946.0, 555.0, 18.0], -AKbdHP7H9, 5740939]
[paragraph, [94.0, 964.0, 555.0, 18.0], -AKbdHP7H9, 5740939]
[paragraph, [94.0, 982.0, 555.0, 18.0], -AKbdHP7H9, 5740939]
[paragraph, [94.0, 1000.0, 555.0, 18.0], -AKbdHP7H9, 5740939]
[footnote, [421.0, 1110.0, 261.0, 18.0], Ol53KOgOGj, 5740939]
