[2339, 1653]
[paragraph, [390.0, 196.0, 1075.0, 36.0], shoonya_2s99KW94NJ3770, 5734448]
[paragraph, [390.0, 232.0, 1075.0, 36.0], shoonya_2s99KW94NJ3770, 5734448]
[paragraph, [390.0, 268.0, 1075.0, 36.0], shoonya_2s99KW94NJ3770, 5734448]
[paragraph, [390.0, 304.0, 1075.0, 36.0], shoonya_2s99KW94NJ3770, 5734448]
[paragraph, [390.0, 340.0, 1075.0, 36.0], shoonya_2s99KW94NJ3770, 5734448]
[paragraph, [390.0, 376.0, 1075.0, 36.0], shoonya_2s99KW94NJ3770, 5734448]
[paragraph, [390.0, 412.0, 1075.0, 36.0], shoonya_2s99KW94NJ3770, 5734448]
[paragraph, [390.0, 448.0, 1075.0, 36.0], shoonya_2s99KW94NJ3770, 5734448]
[paragraph, [390.0, 484.0, 1075.0, 36.0], shoonya_2s99KW94NJ3770, 5734448]
[paragraph, [390.0, 520.0, 1075.0, 36.0], shoonya_2s99KW94NJ3770, 5734448]
[paragraph, [390.0, 556.0, 1075.0, 36.0], shoonya_2s99KW94NJ3770, 5734448]
[paragraph, [390.0, 592.0, 1075.0, 36.0], shoonya_2s99KW94NJ3770, 5734448]
[paragraph, [383.0, 656.0, 1074.0, 36.0], shoonya_3sP2GAFVFTIC8K, 5734448]
[paragraph, [383.0, 692.0, 1074.0, 36.0], shoonya_3sP2GAFVFTIC8K, 5734448]
[paragraph, [391.0, 769.0, 1068.0, 36.0], shoonya_1sJ04BS9515XYB, 5734448]
[paragraph, [391.0, 805.0, 1068.0, 36.0], shoonya_1sJ04BS9515XYB, 5734448]
[paragraph, [391.0, 841.0, 1068.0, 36.0], shoonya_1sJ04BS9515XYB, 5734448]
[paragraph, [391.0, 877.0, 1068.0, 36.0], shoonya_1sJ04BS9515XYB, 5734448]
[paragraph, [391.0, 913.0, 1068.0, 36.0], shoonya_1sJ04BS9515XYB, 5734448]
[paragraph, [391.0, 949.0, 1068.0, 36.0], shoonya_1sJ04BS9515XYB, 5734448]
[paragraph, [391.0, 985.0, 1068.0, 36.0], shoonya_1sJ04BS9515XYB, 5734448]
[paragraph, [391.0, 1021.0, 1068.0, 36.0], shoonya_1sJ04BS9515XYB, 5734448]
[paragraph, [391.0, 1057.0, 1068.0, 36.0], shoonya_1sJ04BS9515XYB, 5734448]
[paragraph, [391.0, 1093.0, 1068.0, 36.0], shoonya_1sJ04BS9515XYB, 5734448]
[paragraph, [391.0, 1129.0, 1068.0, 36.0], shoonya_1sJ04BS9515XYB, 5734448]
[paragraph, [391.0, 1165.0, 1068.0, 36.0], shoonya_1sJ04BS9515XYB, 5734448]
[paragraph, [391.0, 1201.0, 1068.0, 36.0], shoonya_1sJ04BS9515XYB, 5734448]
[paragraph, [391.0, 1237.0, 1068.0, 36.0], shoonya_1sJ04BS9515XYB, 5734448]
[paragraph, [391.0, 1273.0, 1068.0, 36.0], shoonya_1sJ04BS9515XYB, 5734448]
[paragraph, [391.0, 1309.0, 1068.0, 36.0], shoonya_1sJ04BS9515XYB, 5734448]
[paragraph, [389.0, 1391.0, 1069.0, 36.0], shoonya_0sTM6LE3WEK4RG, 5734448]
[paragraph, [389.0, 1427.0, 1069.0, 36.0], shoonya_0sTM6LE3WEK4RG, 5734448]
[paragraph, [389.0, 1463.0, 1069.0, 36.0], shoonya_0sTM6LE3WEK4RG, 5734448]
[paragraph, [389.0, 1499.0, 1069.0, 36.0], shoonya_0sTM6LE3WEK4RG, 5734448]
[paragraph, [389.0, 1535.0, 1069.0, 36.0], shoonya_0sTM6LE3WEK4RG, 5734448]
[paragraph, [389.0, 1571.0, 1069.0, 36.0], shoonya_0sTM6LE3WEK4RG, 5734448]
[paragraph, [389.0, 1607.0, 1069.0, 36.0], shoonya_0sTM6LE3WEK4RG, 5734448]
[paragraph, [389.0, 1643.0, 1069.0, 36.0], shoonya_0sTM6LE3WEK4RG, 5734448]
[paragraph, [389.0, 1679.0, 1069.0, 36.0], shoonya_0sTM6LE3WEK4RG, 5734448]
[paragraph, [389.0, 1715.0, 1069.0, 36.0], shoonya_0sTM6LE3WEK4RG, 5734448]
[paragraph, [389.0, 1751.0, 1069.0, 36.0], shoonya_0sTM6LE3WEK4RG, 5734448]
[paragraph, [389.0, 1787.0, 1069.0, 36.0], shoonya_0sTM6LE3WEK4RG, 5734448]
[paragraph, [389.0, 1823.0, 1069.0, 36.0], shoonya_0sTM6LE3WEK4RG, 5734448]
[paragraph, [389.0, 1859.0, 1069.0, 36.0], shoonya_0sTM6LE3WEK4RG, 5734448]
[paragraph, [389.0, 1895.0, 1069.0, 36.0], shoonya_0sTM6LE3WEK4RG, 5734448]
[paragraph, [389.0, 1931.0, 1069.0, 36.0], shoonya_0sTM6LE3WEK4RG, 5734448]
[paragraph, [389.0, 1967.0, 1069.0, 36.0], shoonya_0sTM6LE3WEK4RG, 5734448]
[paragraph, [390.0, 2021.0, 1069.0, 36.0], shoonya_4s1TSBW8XD5WQE, 5734448]
[paragraph, [390.0, 2057.0, 1069.0, 36.0], shoonya_4s1TSBW8XD5WQE, 5734448]
[paragraph, [390.0, 2093.0, 1069.0, 36.0], shoonya_4s1TSBW8XD5WQE, 5734448]
[folio, [1103.0, 2178.0, 279.0, 36.0], shoonya_5s892BBHO9NXKU, 5734448]
