[3509, 2480]
[paragraph, [341.0, 391.0, 1820.0, 52.5], shoonya_0sE5IM9JSDKFQI, 5723666]
[paragraph, [341.0, 443.5, 1820.0, 52.5], shoonya_0sE5IM9JSDKFQI, 5723666]
[paragraph, [341.0, 496.0, 1820.0, 52.5], shoonya_0sE5IM9JSDKFQI, 5723666]
[paragraph, [341.0, 548.5, 1820.0, 52.5], shoonya_0sE5IM9JSDKFQI, 5723666]
[paragraph, [341.0, 601.0, 1820.0, 52.5], shoonya_0sE5IM9JSDKFQI, 5723666]
[paragraph, [341.0, 653.5, 1820.0, 52.5], shoonya_0sE5IM9JSDKFQI, 5723666]
[paragraph, [341.0, 706.0, 1820.0, 52.5], shoonya_0sE5IM9JSDKFQI, 5723666]
[paragraph, [341.0, 758.5, 1820.0, 52.5], shoonya_0sE5IM9JSDKFQI, 5723666]
[paragraph, [341.0, 811.0, 1820.0, 52.5], shoonya_0sE5IM9JSDKFQI, 5723666]
[paragraph, [341.0, 863.5, 1820.0, 52.5], shoonya_0sE5IM9JSDKFQI, 5723666]
[paragraph, [341.0, 916.0, 1820.0, 52.5], shoonya_0sE5IM9JSDKFQI, 5723666]
[paragraph, [341.0, 968.5, 1820.0, 52.5], shoonya_0sE5IM9JSDKFQI, 5723666]
[paragraph, [341.0, 1021.0, 1820.0, 52.5], shoonya_0sE5IM9JSDKFQI, 5723666]
[paragraph, [341.0, 1073.5, 1820.0, 52.5], shoonya_0sE5IM9JSDKFQI, 5723666]
[paragraph, [341.0, 1126.0, 1820.0, 52.5], shoonya_0sE5IM9JSDKFQI, 5723666]
[paragraph, [341.0, 1178.5, 1820.0, 52.5], shoonya_0sE5IM9JSDKFQI, 5723666]
[paragraph, [341.0, 1231.0, 1820.0, 52.5], shoonya_0sE5IM9JSDKFQI, 5723666]
[paragraph, [341.0, 1283.5, 1820.0, 52.5], shoonya_0sE5IM9JSDKFQI, 5723666]
[paragraph, [341.0, 1336.0, 1820.0, 52.5], shoonya_0sE5IM9JSDKFQI, 5723666]
[paragraph, [341.0, 1388.5, 1820.0, 52.5], shoonya_0sE5IM9JSDKFQI, 5723666]
[paragraph, [341.0, 1441.0, 1820.0, 52.5], shoonya_0sE5IM9JSDKFQI, 5723666]
[paragraph, [341.0, 1493.5, 1820.0, 52.5], shoonya_0sE5IM9JSDKFQI, 5723666]
[paragraph, [341.0, 1546.0, 1820.0, 52.5], shoonya_0sE5IM9JSDKFQI, 5723666]
[paragraph, [341.0, 1598.5, 1820.0, 52.5], shoonya_0sE5IM9JSDKFQI, 5723666]
[paragraph, [341.0, 1651.0, 1820.0, 52.5], shoonya_0sE5IM9JSDKFQI, 5723666]
[paragraph, [341.0, 1703.5, 1820.0, 52.5], shoonya_0sE5IM9JSDKFQI, 5723666]
[paragraph, [341.0, 1756.0, 1820.0, 52.5], shoonya_0sE5IM9JSDKFQI, 5723666]
[paragraph, [341.0, 1808.5, 1820.0, 52.5], shoonya_0sE5IM9JSDKFQI, 5723666]
[paragraph, [341.0, 1861.0, 1820.0, 52.5], shoonya_0sE5IM9JSDKFQI, 5723666]
[paragraph, [341.0, 1913.5, 1820.0, 52.5], shoonya_0sE5IM9JSDKFQI, 5723666]
[paragraph, [341.0, 1966.0, 1820.0, 52.5], shoonya_0sE5IM9JSDKFQI, 5723666]
[paragraph, [341.0, 2018.5, 1820.0, 52.5], shoonya_0sE5IM9JSDKFQI, 5723666]
[paragraph, [341.0, 2071.0, 1820.0, 52.5], shoonya_0sE5IM9JSDKFQI, 5723666]
[paragraph, [341.0, 2123.5, 1820.0, 52.5], shoonya_0sE5IM9JSDKFQI, 5723666]
[paragraph, [341.0, 2176.0, 1820.0, 52.5], shoonya_0sE5IM9JSDKFQI, 5723666]
[paragraph, [340.0, 2322.0, 1808.0, 52.5], fGramQFzx6, 5723666]
[paragraph, [340.0, 2374.5, 1808.0, 52.5], fGramQFzx6, 5723666]
[paragraph, [340.0, 2427.0, 1808.0, 52.5], fGramQFzx6, 5723666]
[paragraph, [340.0, 2479.5, 1808.0, 52.5], fGramQFzx6, 5723666]
[paragraph, [340.0, 2532.0, 1808.0, 52.5], fGramQFzx6, 5723666]
[paragraph, [340.0, 2584.5, 1808.0, 52.5], fGramQFzx6, 5723666]
[paragraph, [340.0, 2637.0, 1808.0, 52.5], fGramQFzx6, 5723666]
[paragraph, [340.0, 2689.5, 1808.0, 52.5], fGramQFzx6, 5723666]
[paragraph, [340.0, 2742.0, 1808.0, 52.5], fGramQFzx6, 5723666]
[paragraph, [340.0, 2794.5, 1808.0, 52.5], fGramQFzx6, 5723666]
[paragraph, [340.0, 2847.0, 1808.0, 52.5], fGramQFzx6, 5723666]
[paragraph, [340.0, 2899.5, 1808.0, 52.5], fGramQFzx6, 5723666]
[paragraph, [340.0, 2952.0, 1808.0, 52.5], fGramQFzx6, 5723666]
[paragraph, [340.0, 3004.5, 1808.0, 52.5], fGramQFzx6, 5723666]
[paragraph, [340.0, 3057.0, 1808.0, 52.5], fGramQFzx6, 5723666]
