[2339, 1656]
[paragraph, [186.0, 190.0, 487.0, 36.0], VNPpuGjN8s, 5752736]
[paragraph, [186.0, 226.0, 487.0, 36.0], VNPpuGjN8s, 5752736]
[paragraph, [186.0, 262.0, 487.0, 36.0], VNPpuGjN8s, 5752736]
[paragraph, [186.0, 298.0, 487.0, 36.0], VNPpuGjN8s, 5752736]
[paragraph, [186.0, 334.0, 487.0, 36.0], VNPpuGjN8s, 5752736]
[paragraph, [175.0, 506.0, 562.0, 36.0], shoonya_3s9ICX19QQ8ATE, 5752736]
[paragraph, [175.0, 542.0, 562.0, 36.0], shoonya_3s9ICX19QQ8ATE, 5752736]
[paragraph, [175.0, 578.0, 562.0, 36.0], shoonya_3s9ICX19QQ8ATE, 5752736]
[paragraph, [175.0, 614.0, 562.0, 36.0], shoonya_3s9ICX19QQ8ATE, 5752736]
[paragraph, [175.0, 650.0, 562.0, 36.0], shoonya_3s9ICX19QQ8ATE, 5752736]
[paragraph, [175.0, 686.0, 562.0, 36.0], shoonya_3s9ICX19QQ8ATE, 5752736]
[paragraph, [175.0, 722.0, 562.0, 36.0], shoonya_3s9ICX19QQ8ATE, 5752736]
[paragraph, [175.0, 758.0, 562.0, 36.0], shoonya_3s9ICX19QQ8ATE, 5752736]
[paragraph, [175.0, 794.0, 562.0, 36.0], shoonya_3s9ICX19QQ8ATE, 5752736]
[paragraph, [175.0, 830.0, 562.0, 36.0], shoonya_3s9ICX19QQ8ATE, 5752736]
[paragraph, [175.0, 866.0, 562.0, 36.0], shoonya_3s9ICX19QQ8ATE, 5752736]
[paragraph, [175.0, 902.0, 562.0, 36.0], shoonya_3s9ICX19QQ8ATE, 5752736]
[paragraph, [175.0, 938.0, 562.0, 36.0], shoonya_3s9ICX19QQ8ATE, 5752736]
[paragraph, [175.0, 974.0, 562.0, 36.0], shoonya_3s9ICX19QQ8ATE, 5752736]
[paragraph, [175.0, 1010.0, 562.0, 36.0], shoonya_3s9ICX19QQ8ATE, 5752736]
[paragraph, [175.0, 1046.0, 562.0, 36.0], shoonya_3s9ICX19QQ8ATE, 5752736]
[paragraph, [175.0, 1082.0, 562.0, 36.0], shoonya_3s9ICX19QQ8ATE, 5752736]
[paragraph, [175.0, 1118.0, 562.0, 36.0], shoonya_3s9ICX19QQ8ATE, 5752736]
[paragraph, [175.0, 1154.0, 562.0, 36.0], shoonya_3s9ICX19QQ8ATE, 5752736]
[paragraph, [175.0, 1190.0, 562.0, 36.0], shoonya_3s9ICX19QQ8ATE, 5752736]
[paragraph, [175.0, 1226.0, 562.0, 36.0], shoonya_3s9ICX19QQ8ATE, 5752736]
[paragraph, [175.0, 1262.0, 562.0, 36.0], shoonya_3s9ICX19QQ8ATE, 5752736]
[paragraph, [175.0, 1298.0, 562.0, 36.0], shoonya_3s9ICX19QQ8ATE, 5752736]
[paragraph, [175.0, 1334.0, 562.0, 36.0], shoonya_3s9ICX19QQ8ATE, 5752736]
[paragraph, [175.0, 1370.0, 562.0, 36.0], shoonya_3s9ICX19QQ8ATE, 5752736]
[paragraph, [175.0, 1406.0, 562.0, 36.0], shoonya_3s9ICX19QQ8ATE, 5752736]
[paragraph, [175.0, 1442.0, 562.0, 36.0], shoonya_3s9ICX19QQ8ATE, 5752736]
[paragraph, [175.0, 1478.0, 562.0, 36.0], shoonya_3s9ICX19QQ8ATE, 5752736]
[paragraph, [175.0, 1514.0, 562.0, 36.0], shoonya_3s9ICX19QQ8ATE, 5752736]
[paragraph, [175.0, 1550.0, 562.0, 36.0], shoonya_3s9ICX19QQ8ATE, 5752736]
[paragraph, [175.0, 1586.0, 562.0, 36.0], shoonya_3s9ICX19QQ8ATE, 5752736]
[paragraph, [175.0, 1622.0, 562.0, 36.0], shoonya_3s9ICX19QQ8ATE, 5752736]
[figure-caption, [478.0, 1792.0, 379.0, 36.0], QggLSe4QAi, 5752736]
[figure-caption, [478.0, 1828.0, 379.0, 36.0], QggLSe4QAi, 5752736]
[figure-caption, [478.0, 1864.0, 379.0, 36.0], QggLSe4QAi, 5752736]
[figure-caption, [478.0, 1900.0, 379.0, 36.0], QggLSe4QAi, 5752736]
[figure-caption, [478.0, 1936.0, 379.0, 36.0], QggLSe4QAi, 5752736]
[folio, [277.0, 2241.0, 424.0, 36.0], MBrMNkk-g4, 5752736]
[folio, [277.0, 2277.0, 424.0, 36.0], MBrMNkk-g4, 5752736]
