[576, 360]
[folio, [157.0, 31.0, 151.0, 18.0], bGzwKnZfu5, 6517561]
[paragraph, [28.0, 64.0, 303.0, 18.0], shoonya_0s4AQTE4JCHSY4, 6517561]
[paragraph, [28.0, 82.0, 303.0, 18.0], shoonya_0s4AQTE4JCHSY4, 6517561]
[paragraph, [28.0, 100.0, 303.0, 18.0], shoonya_0s4AQTE4JCHSY4, 6517561]
[paragraph, [28.0, 118.0, 303.0, 18.0], shoonya_0s4AQTE4JCHSY4, 6517561]
[paragraph, [28.0, 136.0, 303.0, 18.0], shoonya_0s4AQTE4JCHSY4, 6517561]
[paragraph, [29.0, 170.0, 302.0, 18.0], shoonya_1sVEQIMQJBSH3M, 6517561]
[paragraph, [29.0, 188.0, 302.0, 18.0], shoonya_1sVEQIMQJBSH3M, 6517561]
[paragraph, [29.0, 206.0, 302.0, 18.0], shoonya_1sVEQIMQJBSH3M, 6517561]
[paragraph, [29.0, 224.0, 302.0, 18.0], shoonya_1sVEQIMQJBSH3M, 6517561]
[paragraph, [29.0, 242.0, 302.0, 18.0], shoonya_1sVEQIMQJBSH3M, 6517561]
[paragraph, [29.0, 260.0, 302.0, 18.0], shoonya_1sVEQIMQJBSH3M, 6517561]
[paragraph, [29.0, 278.0, 302.0, 18.0], shoonya_1sVEQIMQJBSH3M, 6517561]
[paragraph, [30.0, 325.0, 302.0, 18.0], shoonya_2s7ANQ1D7NGKWZ, 6517561]
[paragraph, [30.0, 343.0, 302.0, 18.0], shoonya_2s7ANQ1D7NGKWZ, 6517561]
[paragraph, [30.0, 361.0, 302.0, 18.0], shoonya_2s7ANQ1D7NGKWZ, 6517561]
[paragraph, [30.0, 379.0, 302.0, 18.0], shoonya_2s7ANQ1D7NGKWZ, 6517561]
[paragraph, [30.0, 397.0, 302.0, 18.0], shoonya_2s7ANQ1D7NGKWZ, 6517561]
[paragraph, [30.0, 415.0, 302.0, 18.0], shoonya_2s7ANQ1D7NGKWZ, 6517561]
[paragraph, [30.0, 433.0, 302.0, 18.0], shoonya_2s7ANQ1D7NGKWZ, 6517561]
[paragraph, [31.0, 478.0, 299.0, 18.0], shoonya_4s5UVMKEIGUZT9, 6517561]
[paragraph, [31.0, 496.0, 299.0, 18.0], shoonya_4s5UVMKEIGUZT9, 6517561]
