[2230, 1631]
[paragraph, [848.0, 153.0, 735.0, 36.0], shoonya_6sHXCF36QG5576, 5654525]
[paragraph, [848.0, 189.0, 735.0, 36.0], shoonya_6sHXCF36QG5576, 5654525]
[paragraph, [848.0, 225.0, 735.0, 36.0], shoonya_6sHXCF36QG5576, 5654525]
[paragraph, [848.0, 261.0, 735.0, 36.0], shoonya_6sHXCF36QG5576, 5654525]
[paragraph, [848.0, 297.0, 735.0, 36.0], shoonya_6sHXCF36QG5576, 5654525]
[paragraph, [848.0, 333.0, 735.0, 36.0], shoonya_6sHXCF36QG5576, 5654525]
[paragraph, [84.0, 168.0, 724.0, 36.0], shoonya_7sD4DG32TSALYL, 5654525]
[paragraph, [84.0, 204.0, 724.0, 36.0], shoonya_7sD4DG32TSALYL, 5654525]
[paragraph, [106.0, 268.0, 713.0, 36.0], shoonya_1sLONH35FHD691, 5654525]
[paragraph, [106.0, 304.0, 713.0, 36.0], shoonya_1sLONH35FHD691, 5654525]
[paragraph, [106.0, 340.0, 713.0, 36.0], shoonya_1sLONH35FHD691, 5654525]
[paragraph, [106.0, 376.0, 713.0, 36.0], shoonya_1sLONH35FHD691, 5654525]
[paragraph, [106.0, 412.0, 713.0, 36.0], shoonya_1sLONH35FHD691, 5654525]
[paragraph, [106.0, 448.0, 713.0, 36.0], shoonya_1sLONH35FHD691, 5654525]
[paragraph, [106.0, 484.0, 713.0, 36.0], shoonya_1sLONH35FHD691, 5654525]
[paragraph, [106.0, 520.0, 713.0, 36.0], shoonya_1sLONH35FHD691, 5654525]
[paragraph, [106.0, 556.0, 713.0, 36.0], shoonya_1sLONH35FHD691, 5654525]
[paragraph, [106.0, 592.0, 713.0, 36.0], shoonya_1sLONH35FHD691, 5654525]
[paragraph, [106.0, 628.0, 713.0, 36.0], shoonya_1sLONH35FHD691, 5654525]
[paragraph, [106.0, 664.0, 713.0, 36.0], shoonya_1sLONH35FHD691, 5654525]
[paragraph, [106.0, 700.0, 713.0, 36.0], shoonya_1sLONH35FHD691, 5654525]
[paragraph, [106.0, 736.0, 713.0, 36.0], shoonya_1sLONH35FHD691, 5654525]
[paragraph, [106.0, 772.0, 713.0, 36.0], shoonya_1sLONH35FHD691, 5654525]
[paragraph, [106.0, 808.0, 713.0, 36.0], shoonya_1sLONH35FHD691, 5654525]
[paragraph, [106.0, 844.0, 713.0, 36.0], shoonya_1sLONH35FHD691, 5654525]
[paragraph, [106.0, 880.0, 713.0, 36.0], shoonya_1sLONH35FHD691, 5654525]
[paragraph, [106.0, 916.0, 713.0, 36.0], shoonya_1sLONH35FHD691, 5654525]
[paragraph, [106.0, 952.0, 713.0, 36.0], shoonya_1sLONH35FHD691, 5654525]
[paragraph, [106.0, 988.0, 713.0, 36.0], shoonya_1sLONH35FHD691, 5654525]
[paragraph, [106.0, 1024.0, 713.0, 36.0], shoonya_1sLONH35FHD691, 5654525]
[paragraph, [106.0, 1060.0, 713.0, 36.0], shoonya_1sLONH35FHD691, 5654525]
[paragraph, [106.0, 1096.0, 713.0, 36.0], shoonya_1sLONH35FHD691, 5654525]
[paragraph, [856.0, 397.0, 731.0, 36.0], shoonya_4sYV51A2URCSU6, 5654525]
[paragraph, [856.0, 433.0, 731.0, 36.0], shoonya_4sYV51A2URCSU6, 5654525]
[paragraph, [856.0, 469.0, 731.0, 36.0], shoonya_4sYV51A2URCSU6, 5654525]
[paragraph, [856.0, 505.0, 731.0, 36.0], shoonya_4sYV51A2URCSU6, 5654525]
[paragraph, [856.0, 541.0, 731.0, 36.0], shoonya_4sYV51A2URCSU6, 5654525]
[paragraph, [856.0, 577.0, 731.0, 36.0], shoonya_4sYV51A2URCSU6, 5654525]
[paragraph, [856.0, 613.0, 731.0, 36.0], shoonya_4sYV51A2URCSU6, 5654525]
[paragraph, [856.0, 649.0, 731.0, 36.0], shoonya_4sYV51A2URCSU6, 5654525]
[paragraph, [856.0, 685.0, 731.0, 36.0], shoonya_4sYV51A2URCSU6, 5654525]
[paragraph, [856.0, 721.0, 731.0, 36.0], shoonya_4sYV51A2URCSU6, 5654525]
[paragraph, [856.0, 757.0, 731.0, 36.0], shoonya_4sYV51A2URCSU6, 5654525]
[paragraph, [856.0, 793.0, 731.0, 36.0], shoonya_4sYV51A2URCSU6, 5654525]
[paragraph, [856.0, 829.0, 731.0, 36.0], shoonya_4sYV51A2URCSU6, 5654525]
[paragraph, [856.0, 865.0, 731.0, 36.0], shoonya_4sYV51A2URCSU6, 5654525]
[paragraph, [856.0, 901.0, 731.0, 36.0], shoonya_4sYV51A2URCSU6, 5654525]
[paragraph, [862.0, 956.0, 731.0, 36.0], shoonya_0sXEOBXHLJL5HM, 5654525]
[paragraph, [862.0, 992.0, 731.0, 36.0], shoonya_0sXEOBXHLJL5HM, 5654525]
[paragraph, [862.0, 1028.0, 731.0, 36.0], shoonya_0sXEOBXHLJL5HM, 5654525]
[paragraph, [862.0, 1064.0, 731.0, 36.0], shoonya_0sXEOBXHLJL5HM, 5654525]
[paragraph, [862.0, 1100.0, 731.0, 36.0], shoonya_0sXEOBXHLJL5HM, 5654525]
[paragraph, [862.0, 1136.0, 731.0, 36.0], shoonya_0sXEOBXHLJL5HM, 5654525]
[paragraph, [862.0, 1172.0, 731.0, 36.0], shoonya_0sXEOBXHLJL5HM, 5654525]
[paragraph, [862.0, 1208.0, 731.0, 36.0], shoonya_0sXEOBXHLJL5HM, 5654525]
[paragraph, [862.0, 1244.0, 731.0, 36.0], shoonya_0sXEOBXHLJL5HM, 5654525]
[paragraph, [862.0, 1280.0, 731.0, 36.0], shoonya_0sXEOBXHLJL5HM, 5654525]
[paragraph, [862.0, 1316.0, 731.0, 36.0], shoonya_0sXEOBXHLJL5HM, 5654525]
[paragraph, [862.0, 1352.0, 731.0, 36.0], shoonya_0sXEOBXHLJL5HM, 5654525]
[paragraph, [862.0, 1388.0, 731.0, 36.0], shoonya_0sXEOBXHLJL5HM, 5654525]
[paragraph, [862.0, 1424.0, 731.0, 36.0], shoonya_0sXEOBXHLJL5HM, 5654525]
[paragraph, [862.0, 1460.0, 731.0, 36.0], shoonya_0sXEOBXHLJL5HM, 5654525]
[paragraph, [862.0, 1496.0, 731.0, 36.0], shoonya_0sXEOBXHLJL5HM, 5654525]
[paragraph, [862.0, 1532.0, 731.0, 36.0], shoonya_0sXEOBXHLJL5HM, 5654525]
[paragraph, [862.0, 1568.0, 731.0, 36.0], shoonya_0sXEOBXHLJL5HM, 5654525]
[paragraph, [862.0, 1604.0, 731.0, 36.0], shoonya_0sXEOBXHLJL5HM, 5654525]
[paragraph, [862.0, 1640.0, 731.0, 36.0], shoonya_0sXEOBXHLJL5HM, 5654525]
[paragraph, [109.0, 1145.0, 714.0, 36.0], shoonya_2sNIDEO3LGJNS8, 5654525]
[paragraph, [109.0, 1181.0, 714.0, 36.0], shoonya_2sNIDEO3LGJNS8, 5654525]
[paragraph, [109.0, 1217.0, 714.0, 36.0], shoonya_2sNIDEO3LGJNS8, 5654525]
[paragraph, [109.0, 1253.0, 714.0, 36.0], shoonya_2sNIDEO3LGJNS8, 5654525]
