[1275, 750]
[folio, [253.0, 85.0, 238.0, 18.0], shoonya_5sTHHXCSZPNZKC, 5766943]
[folio, [253.0, 103.0, 238.0, 18.0], shoonya_5sTHHXCSZPNZKC, 5766943]
[paragraph, [58.0, 154.0, 621.0, 18.0], shoonya_1sRG1ELK0UELC5, 5766943]
[paragraph, [58.0, 172.0, 621.0, 18.0], shoonya_1sRG1ELK0UELC5, 5766943]
[paragraph, [58.0, 190.0, 621.0, 18.0], shoonya_1sRG1ELK0UELC5, 5766943]
[paragraph, [58.0, 208.0, 621.0, 18.0], shoonya_1sRG1ELK0UELC5, 5766943]
[paragraph, [58.0, 226.0, 621.0, 18.0], shoonya_1sRG1ELK0UELC5, 5766943]
[paragraph, [58.0, 244.0, 621.0, 18.0], shoonya_1sRG1ELK0UELC5, 5766943]
[paragraph, [58.0, 262.0, 621.0, 18.0], shoonya_1sRG1ELK0UELC5, 5766943]
[paragraph, [58.0, 280.0, 621.0, 18.0], shoonya_1sRG1ELK0UELC5, 5766943]
[paragraph, [58.0, 298.0, 621.0, 18.0], shoonya_1sRG1ELK0UELC5, 5766943]
[paragraph, [58.0, 316.0, 621.0, 18.0], shoonya_1sRG1ELK0UELC5, 5766943]
[paragraph, [58.0, 334.0, 621.0, 18.0], shoonya_1sRG1ELK0UELC5, 5766943]
[paragraph, [58.0, 352.0, 621.0, 18.0], shoonya_1sRG1ELK0UELC5, 5766943]
[paragraph, [58.0, 370.0, 621.0, 18.0], shoonya_1sRG1ELK0UELC5, 5766943]
[paragraph, [58.0, 388.0, 621.0, 18.0], shoonya_1sRG1ELK0UELC5, 5766943]
[paragraph, [58.0, 406.0, 621.0, 18.0], shoonya_1sRG1ELK0UELC5, 5766943]
[paragraph, [62.0, 427.0, 624.0, 18.0], shoonya_0s5PFQX6FPBY9Z, 5766943]
[paragraph, [62.0, 445.0, 624.0, 18.0], shoonya_0s5PFQX6FPBY9Z, 5766943]
[paragraph, [62.0, 463.0, 624.0, 18.0], shoonya_0s5PFQX6FPBY9Z, 5766943]
[paragraph, [62.0, 481.0, 624.0, 18.0], shoonya_0s5PFQX6FPBY9Z, 5766943]
[paragraph, [62.0, 499.0, 624.0, 18.0], shoonya_0s5PFQX6FPBY9Z, 5766943]
[paragraph, [62.0, 517.0, 624.0, 18.0], shoonya_0s5PFQX6FPBY9Z, 5766943]
[paragraph, [62.0, 535.0, 624.0, 18.0], shoonya_0s5PFQX6FPBY9Z, 5766943]
[paragraph, [62.0, 553.0, 624.0, 18.0], shoonya_0s5PFQX6FPBY9Z, 5766943]
[paragraph, [62.0, 571.0, 624.0, 18.0], shoonya_0s5PFQX6FPBY9Z, 5766943]
[paragraph, [62.0, 589.0, 624.0, 18.0], shoonya_0s5PFQX6FPBY9Z, 5766943]
[paragraph, [62.0, 607.0, 624.0, 18.0], shoonya_0s5PFQX6FPBY9Z, 5766943]
[paragraph, [62.0, 625.0, 624.0, 18.0], shoonya_0s5PFQX6FPBY9Z, 5766943]
[paragraph, [62.0, 643.0, 624.0, 18.0], shoonya_0s5PFQX6FPBY9Z, 5766943]
[paragraph, [62.0, 661.0, 624.0, 18.0], shoonya_0s5PFQX6FPBY9Z, 5766943]
[section-title, [169.0, 700.0, 412.0, 30.0], shoonya_4sCLK15Y9C7M7A, 5766943]
[paragraph, [67.0, 756.0, 627.0, 18.0], shoonya_3sXK8A6EYADUEE, 5766943]
[paragraph, [67.0, 774.0, 627.0, 18.0], shoonya_3sXK8A6EYADUEE, 5766943]
[paragraph, [67.0, 792.0, 627.0, 18.0], shoonya_3sXK8A6EYADUEE, 5766943]
[paragraph, [67.0, 810.0, 627.0, 18.0], shoonya_3sXK8A6EYADUEE, 5766943]
[paragraph, [67.0, 828.0, 627.0, 18.0], shoonya_3sXK8A6EYADUEE, 5766943]
[paragraph, [67.0, 846.0, 627.0, 18.0], shoonya_3sXK8A6EYADUEE, 5766943]
[paragraph, [67.0, 864.0, 627.0, 18.0], shoonya_3sXK8A6EYADUEE, 5766943]
[paragraph, [67.0, 882.0, 627.0, 18.0], shoonya_3sXK8A6EYADUEE, 5766943]
[paragraph, [67.0, 900.0, 627.0, 18.0], shoonya_3sXK8A6EYADUEE, 5766943]
[paragraph, [67.0, 918.0, 627.0, 18.0], shoonya_3sXK8A6EYADUEE, 5766943]
[paragraph, [67.0, 936.0, 627.0, 18.0], shoonya_3sXK8A6EYADUEE, 5766943]
[paragraph, [67.0, 954.0, 627.0, 18.0], shoonya_3sXK8A6EYADUEE, 5766943]
[paragraph, [67.0, 972.0, 627.0, 18.0], shoonya_3sXK8A6EYADUEE, 5766943]
[paragraph, [67.0, 990.0, 627.0, 18.0], shoonya_3sXK8A6EYADUEE, 5766943]
[paragraph, [67.0, 1008.0, 627.0, 18.0], shoonya_3sXK8A6EYADUEE, 5766943]
[paragraph, [67.0, 1026.0, 627.0, 18.0], shoonya_3sXK8A6EYADUEE, 5766943]
[paragraph, [67.0, 1044.0, 627.0, 18.0], shoonya_3sXK8A6EYADUEE, 5766943]
[paragraph, [67.0, 1062.0, 627.0, 18.0], shoonya_3sXK8A6EYADUEE, 5766943]
[paragraph, [67.0, 1080.0, 627.0, 18.0], shoonya_3sXK8A6EYADUEE, 5766943]
[paragraph, [67.0, 1098.0, 627.0, 18.0], shoonya_3sXK8A6EYADUEE, 5766943]
[paragraph, [67.0, 1116.0, 627.0, 18.0], shoonya_3sXK8A6EYADUEE, 5766943]
[paragraph, [67.0, 1134.0, 627.0, 18.0], shoonya_3sXK8A6EYADUEE, 5766943]
