[1945, 1492]
[section-title, [446.0, 182.0, 557.0, 49.5], shoonya_1sDF3JMQXEYNPE, 5750284]
[paragraph, [199.0, 297.0, 1039.0, 36.0], shoonya_0sU2L6ELYMK0P4, 5750284]
[paragraph, [199.0, 333.0, 1039.0, 36.0], shoonya_0sU2L6ELYMK0P4, 5750284]
[paragraph, [199.0, 369.0, 1039.0, 36.0], shoonya_0sU2L6ELYMK0P4, 5750284]
[paragraph, [199.0, 405.0, 1039.0, 36.0], shoonya_0sU2L6ELYMK0P4, 5750284]
[paragraph, [199.0, 441.0, 1039.0, 36.0], shoonya_0sU2L6ELYMK0P4, 5750284]
[paragraph, [199.0, 477.0, 1039.0, 36.0], shoonya_0sU2L6ELYMK0P4, 5750284]
[paragraph, [199.0, 513.0, 1039.0, 36.0], shoonya_0sU2L6ELYMK0P4, 5750284]
[paragraph, [199.0, 549.0, 1039.0, 36.0], shoonya_0sU2L6ELYMK0P4, 5750284]
[paragraph, [199.0, 585.0, 1039.0, 36.0], shoonya_0sU2L6ELYMK0P4, 5750284]
[paragraph, [199.0, 621.0, 1039.0, 36.0], shoonya_0sU2L6ELYMK0P4, 5750284]
[paragraph, [199.0, 657.0, 1039.0, 36.0], shoonya_0sU2L6ELYMK0P4, 5750284]
[paragraph, [199.0, 693.0, 1039.0, 36.0], shoonya_0sU2L6ELYMK0P4, 5750284]
[paragraph, [199.0, 729.0, 1039.0, 36.0], shoonya_0sU2L6ELYMK0P4, 5750284]
[paragraph, [199.0, 765.0, 1039.0, 36.0], shoonya_0sU2L6ELYMK0P4, 5750284]
[paragraph, [199.0, 801.0, 1039.0, 36.0], shoonya_0sU2L6ELYMK0P4, 5750284]
[paragraph, [199.0, 837.0, 1039.0, 36.0], shoonya_0sU2L6ELYMK0P4, 5750284]
[paragraph, [199.0, 873.0, 1039.0, 36.0], shoonya_0sU2L6ELYMK0P4, 5750284]
[paragraph, [199.0, 909.0, 1039.0, 36.0], shoonya_0sU2L6ELYMK0P4, 5750284]
[paragraph, [199.0, 945.0, 1039.0, 36.0], shoonya_0sU2L6ELYMK0P4, 5750284]
[paragraph, [199.0, 981.0, 1039.0, 36.0], shoonya_0sU2L6ELYMK0P4, 5750284]
[paragraph, [199.0, 1017.0, 1039.0, 36.0], shoonya_0sU2L6ELYMK0P4, 5750284]
[paragraph, [200.0, 1066.0, 1038.0, 36.0], shoonya_2sTYXQWO55V0L0, 5750284]
[paragraph, [200.0, 1102.0, 1038.0, 36.0], shoonya_2sTYXQWO55V0L0, 5750284]
[paragraph, [200.0, 1138.0, 1038.0, 36.0], shoonya_2sTYXQWO55V0L0, 5750284]
[paragraph, [200.0, 1174.0, 1038.0, 36.0], shoonya_2sTYXQWO55V0L0, 5750284]
[paragraph, [188.0, 1241.0, 1058.0, 36.0], hd1k5ARjSg, 5750284]
[paragraph, [188.0, 1277.0, 1058.0, 36.0], hd1k5ARjSg, 5750284]
[paragraph, [183.0, 1333.0, 1063.0, 36.0], r9DA9Y7RuQ, 5750284]
[paragraph, [183.0, 1369.0, 1063.0, 36.0], r9DA9Y7RuQ, 5750284]
[paragraph, [183.0, 1426.0, 1063.0, 36.0], TIhxqgsmWa, 5750284]
[paragraph, [183.0, 1462.0, 1063.0, 36.0], TIhxqgsmWa, 5750284]
[paragraph, [183.0, 1516.0, 1063.0, 36.0], 5fEpU-P8qv, 5750284]
[paragraph, [183.0, 1552.0, 1063.0, 36.0], 5fEpU-P8qv, 5750284]
[paragraph, [207.0, 1606.0, 1035.0, 36.0], shoonya_5sBT49C7EXHFGD, 5750284]
[paragraph, [207.0, 1642.0, 1035.0, 36.0], shoonya_5sBT49C7EXHFGD, 5750284]
