[2339, 1656]
[paragraph, [184.0, 183.0, 1185.0, 36.0], shoonya_0sKQ615O1NCLUI, 5752224]
[paragraph, [184.0, 219.0, 1185.0, 36.0], shoonya_0sKQ615O1NCLUI, 5752224]
[paragraph, [184.0, 255.0, 1185.0, 36.0], shoonya_0sKQ615O1NCLUI, 5752224]
[paragraph, [184.0, 291.0, 1185.0, 36.0], shoonya_0sKQ615O1NCLUI, 5752224]
[paragraph, [184.0, 327.0, 1185.0, 36.0], shoonya_0sKQ615O1NCLUI, 5752224]
[paragraph, [184.0, 363.0, 1185.0, 36.0], shoonya_0sKQ615O1NCLUI, 5752224]
[paragraph, [184.0, 399.0, 1185.0, 36.0], shoonya_0sKQ615O1NCLUI, 5752224]
[paragraph, [184.0, 435.0, 1185.0, 36.0], shoonya_0sKQ615O1NCLUI, 5752224]
[paragraph, [184.0, 471.0, 1185.0, 36.0], shoonya_0sKQ615O1NCLUI, 5752224]
[paragraph, [184.0, 507.0, 1185.0, 36.0], shoonya_0sKQ615O1NCLUI, 5752224]
[paragraph, [184.0, 543.0, 1185.0, 36.0], shoonya_0sKQ615O1NCLUI, 5752224]
[paragraph, [184.0, 579.0, 1185.0, 36.0], shoonya_0sKQ615O1NCLUI, 5752224]
[paragraph, [184.0, 615.0, 1185.0, 36.0], shoonya_0sKQ615O1NCLUI, 5752224]
[paragraph, [184.0, 651.0, 1185.0, 36.0], shoonya_0sKQ615O1NCLUI, 5752224]
[paragraph, [184.0, 687.0, 1185.0, 36.0], shoonya_0sKQ615O1NCLUI, 5752224]
[paragraph, [184.0, 723.0, 1185.0, 36.0], shoonya_0sKQ615O1NCLUI, 5752224]
[paragraph, [184.0, 759.0, 1185.0, 36.0], shoonya_0sKQ615O1NCLUI, 5752224]
[paragraph, [184.0, 795.0, 1185.0, 36.0], shoonya_0sKQ615O1NCLUI, 5752224]
[paragraph, [184.0, 831.0, 1185.0, 36.0], shoonya_0sKQ615O1NCLUI, 5752224]
[paragraph, [184.0, 867.0, 1185.0, 36.0], shoonya_0sKQ615O1NCLUI, 5752224]
[paragraph, [184.0, 903.0, 1185.0, 36.0], shoonya_0sKQ615O1NCLUI, 5752224]
[paragraph, [184.0, 939.0, 1185.0, 36.0], shoonya_0sKQ615O1NCLUI, 5752224]
[paragraph, [184.0, 975.0, 1185.0, 36.0], shoonya_0sKQ615O1NCLUI, 5752224]
[paragraph, [184.0, 1011.0, 1185.0, 36.0], shoonya_0sKQ615O1NCLUI, 5752224]
[paragraph, [184.0, 1047.0, 1185.0, 36.0], shoonya_0sKQ615O1NCLUI, 5752224]
[paragraph, [184.0, 1083.0, 1185.0, 36.0], shoonya_0sKQ615O1NCLUI, 5752224]
[paragraph, [184.0, 1119.0, 1185.0, 36.0], shoonya_0sKQ615O1NCLUI, 5752224]
[paragraph, [184.0, 1155.0, 1185.0, 36.0], shoonya_0sKQ615O1NCLUI, 5752224]
[paragraph, [184.0, 1191.0, 1185.0, 36.0], shoonya_0sKQ615O1NCLUI, 5752224]
[paragraph, [184.0, 1227.0, 1185.0, 36.0], shoonya_0sKQ615O1NCLUI, 5752224]
[paragraph, [184.0, 1263.0, 1185.0, 36.0], shoonya_0sKQ615O1NCLUI, 5752224]
[paragraph, [184.0, 1299.0, 1185.0, 36.0], shoonya_0sKQ615O1NCLUI, 5752224]
[paragraph, [184.0, 1335.0, 1185.0, 36.0], shoonya_0sKQ615O1NCLUI, 5752224]
[paragraph, [184.0, 1371.0, 1185.0, 36.0], shoonya_0sKQ615O1NCLUI, 5752224]
[paragraph, [184.0, 1407.0, 1185.0, 36.0], shoonya_0sKQ615O1NCLUI, 5752224]
[paragraph, [184.0, 1443.0, 1185.0, 36.0], shoonya_0sKQ615O1NCLUI, 5752224]
[paragraph, [184.0, 1479.0, 1185.0, 36.0], shoonya_0sKQ615O1NCLUI, 5752224]
[paragraph, [186.0, 1554.0, 1020.0, 36.0], rZss19Crhe, 5752224]
[paragraph, [186.0, 1590.0, 1020.0, 36.0], rZss19Crhe, 5752224]
[paragraph, [186.0, 1626.0, 1020.0, 36.0], rZss19Crhe, 5752224]
[paragraph, [186.0, 1662.0, 1020.0, 36.0], rZss19Crhe, 5752224]
[paragraph, [186.0, 1698.0, 1020.0, 36.0], rZss19Crhe, 5752224]
[paragraph, [186.0, 1734.0, 1020.0, 36.0], rZss19Crhe, 5752224]
[paragraph, [186.0, 1770.0, 1020.0, 36.0], rZss19Crhe, 5752224]
[paragraph, [186.0, 1806.0, 1020.0, 36.0], rZss19Crhe, 5752224]
[paragraph, [186.0, 1842.0, 1020.0, 36.0], rZss19Crhe, 5752224]
[paragraph, [186.0, 1878.0, 1020.0, 36.0], rZss19Crhe, 5752224]
[paragraph, [186.0, 1914.0, 1020.0, 36.0], rZss19Crhe, 5752224]
[paragraph, [186.0, 1950.0, 1020.0, 36.0], rZss19Crhe, 5752224]
[paragraph, [186.0, 1986.0, 1020.0, 36.0], rZss19Crhe, 5752224]
[paragraph, [186.0, 2022.0, 1020.0, 36.0], rZss19Crhe, 5752224]
[folio, [296.0, 2146.0, 478.0, 36.0], 6IGS9n9XIh, 5752224]
