[3509, 2482]
[folio, [844.0, 232.0, 455.0, 52.5], ze3DeV4Nz4, 5692120]
[paragraph, [230.0, 365.0, 1761.0, 52.5], shoonya_3sQG83UEH0BKXK, 5692120]
[paragraph, [230.0, 417.5, 1761.0, 52.5], shoonya_3sQG83UEH0BKXK, 5692120]
[paragraph, [230.0, 470.0, 1761.0, 52.5], shoonya_3sQG83UEH0BKXK, 5692120]
[paragraph, [230.0, 522.5, 1761.0, 52.5], shoonya_3sQG83UEH0BKXK, 5692120]
[paragraph, [230.0, 575.0, 1761.0, 52.5], shoonya_3sQG83UEH0BKXK, 5692120]
[paragraph, [232.0, 849.0, 1766.0, 52.5], shoonya_2sPXBMZADHG4OX, 5692120]
[paragraph, [232.0, 901.5, 1766.0, 52.5], shoonya_2sPXBMZADHG4OX, 5692120]
[paragraph, [232.0, 954.0, 1766.0, 52.5], shoonya_2sPXBMZADHG4OX, 5692120]
[paragraph, [297.0, 1036.0, 1278.0, 52.5], k_gGg04hvC, 5692120]
[paragraph, [210.0, 1394.0, 1780.0, 52.5], shoonya_1s83K8G7FHJU13, 5692120]
[paragraph, [210.0, 1446.5, 1780.0, 52.5], shoonya_1s83K8G7FHJU13, 5692120]
[paragraph, [210.0, 1499.0, 1780.0, 52.5], shoonya_1s83K8G7FHJU13, 5692120]
[paragraph, [210.0, 1551.5, 1780.0, 52.5], shoonya_1s83K8G7FHJU13, 5692120]
[paragraph, [210.0, 1604.0, 1780.0, 52.5], shoonya_1s83K8G7FHJU13, 5692120]
[paragraph, [210.0, 1656.5, 1780.0, 52.5], shoonya_1s83K8G7FHJU13, 5692120]
[paragraph, [210.0, 1709.0, 1780.0, 52.5], shoonya_1s83K8G7FHJU13, 5692120]
[paragraph, [210.0, 1761.5, 1780.0, 52.5], shoonya_1s83K8G7FHJU13, 5692120]
[paragraph, [210.0, 1814.0, 1780.0, 52.5], shoonya_1s83K8G7FHJU13, 5692120]
[paragraph, [210.0, 1866.5, 1780.0, 52.5], shoonya_1s83K8G7FHJU13, 5692120]
[paragraph, [220.0, 1932.0, 1762.0, 52.5], 9UxDCQi5DN, 5692120]
[paragraph, [220.0, 1984.5, 1762.0, 52.5], 9UxDCQi5DN, 5692120]
[paragraph, [220.0, 2037.0, 1762.0, 52.5], 9UxDCQi5DN, 5692120]
[paragraph, [220.0, 2089.5, 1762.0, 52.5], 9UxDCQi5DN, 5692120]
[paragraph, [210.0, 2199.0, 1771.0, 52.5], kRwen1wNf4, 5692120]
[paragraph, [210.0, 2251.5, 1771.0, 52.5], kRwen1wNf4, 5692120]
[paragraph, [210.0, 2304.0, 1771.0, 52.5], kRwen1wNf4, 5692120]
[paragraph, [210.0, 2356.5, 1771.0, 52.5], kRwen1wNf4, 5692120]
[paragraph, [217.0, 2463.0, 1765.0, 52.5], Z3VRuogxIu, 5692120]
[paragraph, [217.0, 2515.5, 1765.0, 52.5], Z3VRuogxIu, 5692120]
[paragraph, [217.0, 2568.0, 1765.0, 52.5], Z3VRuogxIu, 5692120]
[paragraph, [217.0, 2620.5, 1765.0, 52.5], Z3VRuogxIu, 5692120]
[paragraph, [217.0, 2673.0, 1765.0, 52.5], Z3VRuogxIu, 5692120]
[paragraph, [217.0, 2725.5, 1765.0, 52.5], Z3VRuogxIu, 5692120]
[paragraph, [220.0, 2792.0, 1768.0, 52.5], y9904Vmc0r, 5692120]
[paragraph, [220.0, 2844.5, 1768.0, 52.5], y9904Vmc0r, 5692120]
[paragraph, [220.0, 2897.0, 1768.0, 52.5], y9904Vmc0r, 5692120]
[paragraph, [220.0, 2949.5, 1768.0, 52.5], y9904Vmc0r, 5692120]
[paragraph, [220.0, 3002.0, 1768.0, 52.5], y9904Vmc0r, 5692120]
[paragraph, [220.0, 3054.5, 1768.0, 52.5], y9904Vmc0r, 5692120]
[paragraph, [220.0, 3107.0, 1768.0, 52.5], y9904Vmc0r, 5692120]
[paragraph, [220.0, 3159.5, 1768.0, 52.5], y9904Vmc0r, 5692120]
[paragraph, [220.0, 3212.0, 1768.0, 52.5], y9904Vmc0r, 5692120]
