[842, 596]
[subsub-section-title, [220.0, 91.0, 184.0, 15.0], TkcvT27IfG, 5658434]
[ordered-list, [71.0, 112.0, 463.0, 18.0], shoonya_0sMVGDG2UM4SLS, 5658434]
[ordered-list, [71.0, 130.0, 463.0, 18.0], shoonya_0sMVGDG2UM4SLS, 5658434]
[ordered-list, [71.0, 148.0, 463.0, 18.0], shoonya_0sMVGDG2UM4SLS, 5658434]
[ordered-list, [71.0, 166.0, 463.0, 18.0], shoonya_0sMVGDG2UM4SLS, 5658434]
[ordered-list, [71.0, 184.0, 463.0, 18.0], shoonya_0sMVGDG2UM4SLS, 5658434]
[ordered-list, [71.0, 202.0, 463.0, 18.0], shoonya_0sMVGDG2UM4SLS, 5658434]
[ordered-list, [71.0, 220.0, 463.0, 18.0], shoonya_0sMVGDG2UM4SLS, 5658434]
[ordered-list, [71.0, 238.0, 463.0, 18.0], shoonya_0sMVGDG2UM4SLS, 5658434]
[ordered-list, [71.0, 256.0, 463.0, 18.0], shoonya_0sMVGDG2UM4SLS, 5658434]
[ordered-list, [71.0, 274.0, 463.0, 18.0], shoonya_0sMVGDG2UM4SLS, 5658434]
[ordered-list, [71.0, 292.0, 463.0, 18.0], shoonya_0sMVGDG2UM4SLS, 5658434]
[ordered-list, [71.0, 310.0, 463.0, 18.0], shoonya_0sMVGDG2UM4SLS, 5658434]
[ordered-list, [71.0, 328.0, 463.0, 18.0], shoonya_0sMVGDG2UM4SLS, 5658434]
[ordered-list, [71.0, 346.0, 463.0, 18.0], shoonya_0sMVGDG2UM4SLS, 5658434]
[ordered-list, [71.0, 364.0, 463.0, 18.0], shoonya_0sMVGDG2UM4SLS, 5658434]
[ordered-list, [71.0, 382.0, 463.0, 18.0], shoonya_0sMVGDG2UM4SLS, 5658434]
[ordered-list, [71.0, 400.0, 463.0, 18.0], shoonya_0sMVGDG2UM4SLS, 5658434]
[ordered-list, [71.0, 418.0, 463.0, 18.0], shoonya_0sMVGDG2UM4SLS, 5658434]
[ordered-list, [71.0, 436.0, 463.0, 18.0], shoonya_0sMVGDG2UM4SLS, 5658434]
[ordered-list, [71.0, 454.0, 463.0, 18.0], shoonya_0sMVGDG2UM4SLS, 5658434]
[ordered-list, [71.0, 472.0, 463.0, 18.0], shoonya_0sMVGDG2UM4SLS, 5658434]
[ordered-list, [71.0, 490.0, 463.0, 18.0], shoonya_0sMVGDG2UM4SLS, 5658434]
[ordered-list, [71.0, 508.0, 463.0, 18.0], shoonya_0sMVGDG2UM4SLS, 5658434]
[ordered-list, [71.0, 526.0, 463.0, 18.0], shoonya_0sMVGDG2UM4SLS, 5658434]
[ordered-list, [71.0, 544.0, 463.0, 18.0], shoonya_0sMVGDG2UM4SLS, 5658434]
[ordered-list, [71.0, 562.0, 463.0, 18.0], shoonya_0sMVGDG2UM4SLS, 5658434]
[ordered-list, [71.0, 580.0, 463.0, 18.0], shoonya_0sMVGDG2UM4SLS, 5658434]
[ordered-list, [71.0, 598.0, 463.0, 18.0], shoonya_0sMVGDG2UM4SLS, 5658434]
[ordered-list, [71.0, 616.0, 463.0, 18.0], shoonya_0sMVGDG2UM4SLS, 5658434]
[ordered-list, [71.0, 634.0, 463.0, 18.0], shoonya_0sMVGDG2UM4SLS, 5658434]
[ordered-list, [71.0, 652.0, 463.0, 18.0], shoonya_0sMVGDG2UM4SLS, 5658434]
[ordered-list, [71.0, 670.0, 463.0, 18.0], shoonya_0sMVGDG2UM4SLS, 5658434]
[ordered-list, [71.0, 688.0, 463.0, 18.0], shoonya_0sMVGDG2UM4SLS, 5658434]
[footnote, [71.0, 773.0, 479.0, 18.0], 6K-0pFE2ho, 5658434]
[footnote, [71.0, 791.0, 479.0, 18.0], 6K-0pFE2ho, 5658434]
