[1839, 1268]
[paragraph, [219.0, 193.0, 936.0, 36.0], shoonya_0sX5LH95KKFLXA, 5743876]
[paragraph, [219.0, 229.0, 936.0, 36.0], shoonya_0sX5LH95KKFLXA, 5743876]
[paragraph, [219.0, 265.0, 936.0, 36.0], shoonya_0sX5LH95KKFLXA, 5743876]
[paragraph, [219.0, 301.0, 936.0, 36.0], shoonya_0sX5LH95KKFLXA, 5743876]
[paragraph, [219.0, 337.0, 936.0, 36.0], shoonya_0sX5LH95KKFLXA, 5743876]
[paragraph, [219.0, 373.0, 936.0, 36.0], shoonya_0sX5LH95KKFLXA, 5743876]
[paragraph, [219.0, 409.0, 936.0, 36.0], shoonya_0sX5LH95KKFLXA, 5743876]
[paragraph, [219.0, 445.0, 936.0, 36.0], shoonya_0sX5LH95KKFLXA, 5743876]
[paragraph, [219.0, 481.0, 936.0, 36.0], shoonya_0sX5LH95KKFLXA, 5743876]
[paragraph, [219.0, 517.0, 936.0, 36.0], shoonya_0sX5LH95KKFLXA, 5743876]
[paragraph, [219.0, 553.0, 936.0, 36.0], shoonya_0sX5LH95KKFLXA, 5743876]
[paragraph, [219.0, 589.0, 936.0, 36.0], shoonya_0sX5LH95KKFLXA, 5743876]
[paragraph, [219.0, 625.0, 936.0, 36.0], shoonya_0sX5LH95KKFLXA, 5743876]
[paragraph, [219.0, 661.0, 936.0, 36.0], shoonya_0sX5LH95KKFLXA, 5743876]
[paragraph, [219.0, 697.0, 936.0, 36.0], shoonya_0sX5LH95KKFLXA, 5743876]
[paragraph, [219.0, 733.0, 936.0, 36.0], shoonya_0sX5LH95KKFLXA, 5743876]
[paragraph, [219.0, 769.0, 936.0, 36.0], shoonya_0sX5LH95KKFLXA, 5743876]
[paragraph, [219.0, 805.0, 936.0, 36.0], shoonya_0sX5LH95KKFLXA, 5743876]
[paragraph, [219.0, 841.0, 936.0, 36.0], shoonya_0sX5LH95KKFLXA, 5743876]
[paragraph, [219.0, 877.0, 936.0, 36.0], shoonya_0sX5LH95KKFLXA, 5743876]
[paragraph, [219.0, 913.0, 936.0, 36.0], shoonya_0sX5LH95KKFLXA, 5743876]
[paragraph, [219.0, 949.0, 936.0, 36.0], shoonya_0sX5LH95KKFLXA, 5743876]
[paragraph, [219.0, 985.0, 936.0, 36.0], shoonya_0sX5LH95KKFLXA, 5743876]
[paragraph, [219.0, 1021.0, 936.0, 36.0], shoonya_0sX5LH95KKFLXA, 5743876]
[paragraph, [219.0, 1057.0, 936.0, 36.0], shoonya_0sX5LH95KKFLXA, 5743876]
[paragraph, [219.0, 1093.0, 936.0, 36.0], shoonya_0sX5LH95KKFLXA, 5743876]
[paragraph, [219.0, 1129.0, 936.0, 36.0], shoonya_0sX5LH95KKFLXA, 5743876]
[paragraph, [219.0, 1165.0, 936.0, 36.0], shoonya_0sX5LH95KKFLXA, 5743876]
[paragraph, [219.0, 1201.0, 936.0, 36.0], shoonya_0sX5LH95KKFLXA, 5743876]
