[1643, 1273]
[unordered-list, [129.0, 357.0, 481.0, 36.0], shoonya_7sGARMRUFCIWBX, 5779337]
[unordered-list, [129.0, 393.0, 481.0, 36.0], shoonya_7sGARMRUFCIWBX, 5779337]
[unordered-list, [129.0, 429.0, 481.0, 36.0], shoonya_7sGARMRUFCIWBX, 5779337]
[unordered-list, [129.0, 465.0, 481.0, 36.0], shoonya_7sGARMRUFCIWBX, 5779337]
[unordered-list, [129.0, 501.0, 481.0, 36.0], shoonya_7sGARMRUFCIWBX, 5779337]
[unordered-list, [129.0, 537.0, 481.0, 36.0], shoonya_7sGARMRUFCIWBX, 5779337]
[unordered-list, [129.0, 573.0, 481.0, 36.0], shoonya_7sGARMRUFCIWBX, 5779337]
[unordered-list, [129.0, 609.0, 481.0, 36.0], shoonya_7sGARMRUFCIWBX, 5779337]
[unordered-list, [129.0, 645.0, 481.0, 36.0], shoonya_7sGARMRUFCIWBX, 5779337]
[unordered-list, [129.0, 681.0, 481.0, 36.0], shoonya_7sGARMRUFCIWBX, 5779337]
[unordered-list, [129.0, 717.0, 481.0, 36.0], shoonya_7sGARMRUFCIWBX, 5779337]
[unordered-list, [129.0, 753.0, 481.0, 36.0], shoonya_7sGARMRUFCIWBX, 5779337]
[unordered-list, [129.0, 789.0, 481.0, 36.0], shoonya_7sGARMRUFCIWBX, 5779337]
[unordered-list, [129.0, 825.0, 481.0, 36.0], shoonya_7sGARMRUFCIWBX, 5779337]
[unordered-list, [129.0, 861.0, 481.0, 36.0], shoonya_7sGARMRUFCIWBX, 5779337]
[unordered-list, [129.0, 897.0, 481.0, 36.0], shoonya_7sGARMRUFCIWBX, 5779337]
[unordered-list, [129.0, 933.0, 481.0, 36.0], shoonya_7sGARMRUFCIWBX, 5779337]
[unordered-list, [129.0, 969.0, 481.0, 36.0], shoonya_7sGARMRUFCIWBX, 5779337]
[figure-caption, [635.0, 704.0, 462.0, 36.0], shoonya_3sITN48SN7V51S, 5779337]
[figure-caption, [635.0, 740.0, 462.0, 36.0], shoonya_3sITN48SN7V51S, 5779337]
[section-title, [630.0, 795.0, 311.0, 49.5], shoonya_14sWH058462PL0, 5779337]
[unordered-list, [626.0, 846.0, 439.0, 36.0], shoonya_1sVKTEP720E86Z, 5779337]
[unordered-list, [626.0, 882.0, 439.0, 36.0], shoonya_1sVKTEP720E86Z, 5779337]
[unordered-list, [626.0, 918.0, 439.0, 36.0], shoonya_1sVKTEP720E86Z, 5779337]
[unordered-list, [626.0, 954.0, 439.0, 36.0], shoonya_1sVKTEP720E86Z, 5779337]
[unordered-list, [626.0, 990.0, 439.0, 36.0], shoonya_1sVKTEP720E86Z, 5779337]
[unordered-list, [626.0, 1026.0, 439.0, 36.0], shoonya_1sVKTEP720E86Z, 5779337]
[unordered-list, [626.0, 1062.0, 439.0, 36.0], shoonya_1sVKTEP720E86Z, 5779337]
[unordered-list, [154.0, 1045.0, 404.0, 36.0], shoonya_5sG4R76LNRAC3Q, 5779337]
[unordered-list, [154.0, 1081.0, 404.0, 36.0], shoonya_5sG4R76LNRAC3Q, 5779337]
[unordered-list, [154.0, 1117.0, 404.0, 36.0], shoonya_5sG4R76LNRAC3Q, 5779337]
[unordered-list, [154.0, 1153.0, 404.0, 36.0], shoonya_5sG4R76LNRAC3Q, 5779337]
[unordered-list, [154.0, 1189.0, 404.0, 36.0], shoonya_5sG4R76LNRAC3Q, 5779337]
[unordered-list, [154.0, 1225.0, 404.0, 36.0], shoonya_5sG4R76LNRAC3Q, 5779337]
[unordered-list, [154.0, 1261.0, 404.0, 36.0], shoonya_5sG4R76LNRAC3Q, 5779337]
[figure-caption, [476.0, 1513.0, 194.0, 36.0], Evs1XaV7tG, 5779337]
