[2200, 1700]
[paragraph, [371.0, 113.0, 1134.0, 36.0], shoonya_0sW635039R2XGI, 5733644]
[paragraph, [371.0, 149.0, 1134.0, 36.0], shoonya_0sW635039R2XGI, 5733644]
[paragraph, [371.0, 185.0, 1134.0, 36.0], shoonya_0sW635039R2XGI, 5733644]
[paragraph, [371.0, 221.0, 1134.0, 36.0], shoonya_0sW635039R2XGI, 5733644]
[paragraph, [371.0, 257.0, 1134.0, 36.0], shoonya_0sW635039R2XGI, 5733644]
[paragraph, [371.0, 293.0, 1134.0, 36.0], shoonya_0sW635039R2XGI, 5733644]
[paragraph, [371.0, 329.0, 1134.0, 36.0], shoonya_0sW635039R2XGI, 5733644]
[paragraph, [371.0, 365.0, 1134.0, 36.0], shoonya_0sW635039R2XGI, 5733644]
[paragraph, [371.0, 401.0, 1134.0, 36.0], shoonya_0sW635039R2XGI, 5733644]
[paragraph, [371.0, 437.0, 1134.0, 36.0], shoonya_0sW635039R2XGI, 5733644]
[paragraph, [371.0, 473.0, 1134.0, 36.0], shoonya_0sW635039R2XGI, 5733644]
[paragraph, [371.0, 509.0, 1134.0, 36.0], shoonya_0sW635039R2XGI, 5733644]
[paragraph, [371.0, 545.0, 1134.0, 36.0], shoonya_0sW635039R2XGI, 5733644]
[paragraph, [371.0, 581.0, 1134.0, 36.0], shoonya_0sW635039R2XGI, 5733644]
[paragraph, [371.0, 617.0, 1134.0, 36.0], shoonya_0sW635039R2XGI, 5733644]
[paragraph, [371.0, 653.0, 1134.0, 36.0], shoonya_0sW635039R2XGI, 5733644]
[paragraph, [371.0, 689.0, 1134.0, 36.0], shoonya_0sW635039R2XGI, 5733644]
[paragraph, [371.0, 725.0, 1134.0, 36.0], shoonya_0sW635039R2XGI, 5733644]
[paragraph, [380.0, 782.0, 1009.0, 36.0], shoonya_6s2UB017NJ7O5C, 5733644]
[paragraph, [380.0, 818.0, 1009.0, 36.0], shoonya_6s2UB017NJ7O5C, 5733644]
[paragraph, [377.0, 892.0, 410.0, 36.0], shoonya_2sIKDBCNE3CEU6, 5733644]
[paragraph, [377.0, 949.0, 561.0, 36.0], shoonya_4sAUKVZVSAO5OX, 5733644]
[paragraph, [374.0, 1007.0, 1140.0, 36.0], shoonya_7sTO6369C8ZX1W, 5733644]
[paragraph, [374.0, 1043.0, 1140.0, 36.0], shoonya_7sTO6369C8ZX1W, 5733644]
[paragraph, [374.0, 1079.0, 1140.0, 36.0], shoonya_7sTO6369C8ZX1W, 5733644]
[paragraph, [374.0, 1115.0, 1140.0, 36.0], shoonya_7sTO6369C8ZX1W, 5733644]
[paragraph, [374.0, 1151.0, 1140.0, 36.0], shoonya_7sTO6369C8ZX1W, 5733644]
[paragraph, [374.0, 1187.0, 1140.0, 36.0], shoonya_7sTO6369C8ZX1W, 5733644]
[paragraph, [375.0, 1234.0, 1152.0, 36.0], shoonya_8sXQ463GKKKW3P, 5733644]
[paragraph, [375.0, 1270.0, 1152.0, 36.0], shoonya_8sXQ463GKKKW3P, 5733644]
[paragraph, [377.0, 1339.0, 1020.0, 36.0], s6YZar98d5, 5733644]
[paragraph, [377.0, 1375.0, 1020.0, 36.0], s6YZar98d5, 5733644]
[paragraph, [372.0, 1448.0, 814.0, 36.0], shoonya_5s8M6Q0QCXKXVS, 5733644]
[paragraph, [373.0, 1527.0, 1132.0, 36.0], shoonya_1sVJOO31R3WAFN, 5733644]
[paragraph, [373.0, 1563.0, 1132.0, 36.0], shoonya_1sVJOO31R3WAFN, 5733644]
[paragraph, [373.0, 1599.0, 1132.0, 36.0], shoonya_1sVJOO31R3WAFN, 5733644]
[paragraph, [373.0, 1635.0, 1132.0, 36.0], shoonya_1sVJOO31R3WAFN, 5733644]
[paragraph, [373.0, 1671.0, 1132.0, 36.0], shoonya_1sVJOO31R3WAFN, 5733644]
[paragraph, [373.0, 1707.0, 1132.0, 36.0], shoonya_1sVJOO31R3WAFN, 5733644]
[paragraph, [373.0, 1743.0, 1132.0, 36.0], shoonya_1sVJOO31R3WAFN, 5733644]
[paragraph, [374.0, 1825.0, 1132.0, 36.0], shoonya_3sYP2D7ZF7A4ET, 5733644]
[paragraph, [374.0, 1861.0, 1132.0, 36.0], shoonya_3sYP2D7ZF7A4ET, 5733644]
[paragraph, [374.0, 1897.0, 1132.0, 36.0], shoonya_3sYP2D7ZF7A4ET, 5733644]
[paragraph, [374.0, 1933.0, 1132.0, 36.0], shoonya_3sYP2D7ZF7A4ET, 5733644]
[paragraph, [374.0, 1969.0, 1132.0, 36.0], shoonya_3sYP2D7ZF7A4ET, 5733644]
[paragraph, [374.0, 2005.0, 1132.0, 36.0], shoonya_3sYP2D7ZF7A4ET, 5733644]
