[2339, 1653]
[paragraph, [101.0, 134.0, 1433.0, 36.0], IGhZjuRSx0, 5750566]
[paragraph, [101.0, 170.0, 1433.0, 36.0], IGhZjuRSx0, 5750566]
[paragraph, [101.0, 206.0, 1433.0, 36.0], IGhZjuRSx0, 5750566]
[paragraph, [101.0, 242.0, 1433.0, 36.0], IGhZjuRSx0, 5750566]
[paragraph, [101.0, 278.0, 1433.0, 36.0], IGhZjuRSx0, 5750566]
[paragraph, [101.0, 314.0, 1433.0, 36.0], IGhZjuRSx0, 5750566]
[paragraph, [101.0, 350.0, 1433.0, 36.0], IGhZjuRSx0, 5750566]
[paragraph, [101.0, 386.0, 1433.0, 36.0], IGhZjuRSx0, 5750566]
[paragraph, [122.0, 449.0, 1429.0, 36.0], dtCD6E8VqM, 5750566]
[paragraph, [122.0, 485.0, 1429.0, 36.0], dtCD6E8VqM, 5750566]
[paragraph, [122.0, 521.0, 1429.0, 36.0], dtCD6E8VqM, 5750566]
[paragraph, [122.0, 557.0, 1429.0, 36.0], dtCD6E8VqM, 5750566]
[paragraph, [122.0, 593.0, 1429.0, 36.0], dtCD6E8VqM, 5750566]
[paragraph, [118.0, 676.0, 1421.0, 36.0], shoonya_1s321PTA4CE4EI, 5750566]
[paragraph, [118.0, 712.0, 1421.0, 36.0], shoonya_1s321PTA4CE4EI, 5750566]
[paragraph, [118.0, 748.0, 1421.0, 36.0], shoonya_1s321PTA4CE4EI, 5750566]
[paragraph, [118.0, 784.0, 1421.0, 36.0], shoonya_1s321PTA4CE4EI, 5750566]
[paragraph, [118.0, 820.0, 1421.0, 36.0], shoonya_1s321PTA4CE4EI, 5750566]
[paragraph, [118.0, 856.0, 1421.0, 36.0], shoonya_1s321PTA4CE4EI, 5750566]
[paragraph, [118.0, 892.0, 1421.0, 36.0], shoonya_1s321PTA4CE4EI, 5750566]
[paragraph, [118.0, 928.0, 1421.0, 36.0], shoonya_1s321PTA4CE4EI, 5750566]
[paragraph, [118.0, 964.0, 1421.0, 36.0], shoonya_1s321PTA4CE4EI, 5750566]
[paragraph, [118.0, 1000.0, 1421.0, 36.0], shoonya_1s321PTA4CE4EI, 5750566]
[paragraph, [118.0, 1036.0, 1421.0, 36.0], shoonya_1s321PTA4CE4EI, 5750566]
[paragraph, [118.0, 1072.0, 1421.0, 36.0], shoonya_1s321PTA4CE4EI, 5750566]
[paragraph, [118.0, 1108.0, 1421.0, 36.0], shoonya_1s321PTA4CE4EI, 5750566]
[paragraph, [118.0, 1144.0, 1421.0, 36.0], shoonya_1s321PTA4CE4EI, 5750566]
[paragraph, [118.0, 1180.0, 1421.0, 36.0], shoonya_1s321PTA4CE4EI, 5750566]
[paragraph, [118.0, 1216.0, 1421.0, 36.0], shoonya_1s321PTA4CE4EI, 5750566]
[paragraph, [118.0, 1252.0, 1421.0, 36.0], shoonya_1s321PTA4CE4EI, 5750566]
[paragraph, [118.0, 1288.0, 1421.0, 36.0], shoonya_1s321PTA4CE4EI, 5750566]
[paragraph, [118.0, 1324.0, 1421.0, 36.0], shoonya_1s321PTA4CE4EI, 5750566]
[paragraph, [118.0, 1360.0, 1421.0, 36.0], shoonya_1s321PTA4CE4EI, 5750566]
[paragraph, [118.0, 1396.0, 1421.0, 36.0], shoonya_1s321PTA4CE4EI, 5750566]
[paragraph, [118.0, 1432.0, 1421.0, 36.0], shoonya_1s321PTA4CE4EI, 5750566]
[paragraph, [118.0, 1468.0, 1421.0, 36.0], shoonya_1s321PTA4CE4EI, 5750566]
[paragraph, [132.0, 1579.0, 586.0, 36.0], shoonya_3sQWR43OWTNMLN, 5750566]
[paragraph, [132.0, 1615.0, 586.0, 36.0], shoonya_3sQWR43OWTNMLN, 5750566]
[paragraph, [132.0, 1651.0, 586.0, 36.0], shoonya_3sQWR43OWTNMLN, 5750566]
[paragraph, [132.0, 1687.0, 586.0, 36.0], shoonya_3sQWR43OWTNMLN, 5750566]
[paragraph, [132.0, 1723.0, 586.0, 36.0], shoonya_3sQWR43OWTNMLN, 5750566]
[paragraph, [121.0, 1780.0, 1413.0, 36.0], shoonya_2sMPFMAD2ULAMT, 5750566]
[paragraph, [121.0, 1816.0, 1413.0, 36.0], shoonya_2sMPFMAD2ULAMT, 5750566]
[paragraph, [121.0, 1852.0, 1413.0, 36.0], shoonya_2sMPFMAD2ULAMT, 5750566]
[paragraph, [121.0, 1888.0, 1413.0, 36.0], shoonya_2sMPFMAD2ULAMT, 5750566]
[paragraph, [121.0, 1924.0, 1413.0, 36.0], shoonya_2sMPFMAD2ULAMT, 5750566]
[paragraph, [121.0, 1960.0, 1413.0, 36.0], shoonya_2sMPFMAD2ULAMT, 5750566]
[paragraph, [121.0, 1996.0, 1413.0, 36.0], shoonya_2sMPFMAD2ULAMT, 5750566]
