[2339, 1656]
[paragraph, [94.0, 92.0, 716.0, 36.0], shoonya_2s7KCPYIGKFLG2, 5749366]
[paragraph, [94.0, 128.0, 716.0, 36.0], shoonya_2s7KCPYIGKFLG2, 5749366]
[paragraph, [94.0, 164.0, 716.0, 36.0], shoonya_2s7KCPYIGKFLG2, 5749366]
[paragraph, [94.0, 200.0, 716.0, 36.0], shoonya_2s7KCPYIGKFLG2, 5749366]
[paragraph, [832.0, 97.0, 704.0, 36.0], shoonya_3sUIWS3NL7B05K, 5749366]
[paragraph, [832.0, 133.0, 704.0, 36.0], shoonya_3sUIWS3NL7B05K, 5749366]
[paragraph, [832.0, 169.0, 704.0, 36.0], shoonya_3sUIWS3NL7B05K, 5749366]
[paragraph, [832.0, 205.0, 704.0, 36.0], shoonya_3sUIWS3NL7B05K, 5749366]
[paragraph, [832.0, 241.0, 704.0, 36.0], shoonya_3sUIWS3NL7B05K, 5749366]
[paragraph, [832.0, 277.0, 704.0, 36.0], shoonya_3sUIWS3NL7B05K, 5749366]
[paragraph, [832.0, 313.0, 704.0, 36.0], shoonya_3sUIWS3NL7B05K, 5749366]
[paragraph, [832.0, 349.0, 704.0, 36.0], shoonya_3sUIWS3NL7B05K, 5749366]
[paragraph, [832.0, 385.0, 704.0, 36.0], shoonya_3sUIWS3NL7B05K, 5749366]
[paragraph, [832.0, 421.0, 704.0, 36.0], shoonya_3sUIWS3NL7B05K, 5749366]
[paragraph, [832.0, 457.0, 704.0, 36.0], shoonya_3sUIWS3NL7B05K, 5749366]
[paragraph, [832.0, 493.0, 704.0, 36.0], shoonya_3sUIWS3NL7B05K, 5749366]
[paragraph, [832.0, 529.0, 704.0, 36.0], shoonya_3sUIWS3NL7B05K, 5749366]
[paragraph, [832.0, 565.0, 704.0, 36.0], shoonya_3sUIWS3NL7B05K, 5749366]
[paragraph, [832.0, 601.0, 704.0, 36.0], shoonya_3sUIWS3NL7B05K, 5749366]
[paragraph, [832.0, 637.0, 704.0, 36.0], shoonya_3sUIWS3NL7B05K, 5749366]
[paragraph, [832.0, 673.0, 704.0, 36.0], shoonya_3sUIWS3NL7B05K, 5749366]
[paragraph, [832.0, 709.0, 704.0, 36.0], shoonya_3sUIWS3NL7B05K, 5749366]
[paragraph, [832.0, 745.0, 704.0, 36.0], shoonya_3sUIWS3NL7B05K, 5749366]
[paragraph, [97.0, 257.0, 707.0, 36.0], XFUHw7P0xn, 5749366]
[paragraph, [97.0, 293.0, 707.0, 36.0], XFUHw7P0xn, 5749366]
[paragraph, [97.0, 329.0, 707.0, 36.0], XFUHw7P0xn, 5749366]
[paragraph, [97.0, 365.0, 707.0, 36.0], XFUHw7P0xn, 5749366]
[paragraph, [97.0, 401.0, 707.0, 36.0], XFUHw7P0xn, 5749366]
[paragraph, [97.0, 437.0, 707.0, 36.0], XFUHw7P0xn, 5749366]
[paragraph, [97.0, 473.0, 707.0, 36.0], XFUHw7P0xn, 5749366]
[paragraph, [97.0, 509.0, 707.0, 36.0], XFUHw7P0xn, 5749366]
[paragraph, [97.0, 545.0, 707.0, 36.0], XFUHw7P0xn, 5749366]
[paragraph, [97.0, 581.0, 707.0, 36.0], XFUHw7P0xn, 5749366]
[paragraph, [97.0, 617.0, 707.0, 36.0], XFUHw7P0xn, 5749366]
[paragraph, [97.0, 653.0, 707.0, 36.0], XFUHw7P0xn, 5749366]
[paragraph, [97.0, 689.0, 707.0, 36.0], XFUHw7P0xn, 5749366]
[paragraph, [99.0, 732.0, 701.0, 36.0], x4u8_WG_Rx, 5749366]
[paragraph, [99.0, 768.0, 701.0, 36.0], x4u8_WG_Rx, 5749366]
[paragraph, [831.0, 793.0, 707.0, 36.0], shoonya_9sXD2OM6K0E4YN, 5749366]
[paragraph, [831.0, 829.0, 707.0, 36.0], shoonya_9sXD2OM6K0E4YN, 5749366]
[paragraph, [831.0, 865.0, 707.0, 36.0], shoonya_9sXD2OM6K0E4YN, 5749366]
[paragraph, [161.0, 840.0, 637.0, 36.0], NVw_W9VjoD, 5749366]
[paragraph, [161.0, 876.0, 637.0, 36.0], NVw_W9VjoD, 5749366]
[paragraph, [834.0, 909.0, 699.0, 36.0], shoonya_8sT8JZOSAA1PHM, 5749366]
[paragraph, [834.0, 945.0, 699.0, 36.0], shoonya_8sT8JZOSAA1PHM, 5749366]
[paragraph, [93.0, 951.0, 707.0, 36.0], shoonya_6sI5R2EGKWPGVT, 5749366]
[paragraph, [93.0, 987.0, 707.0, 36.0], shoonya_6sI5R2EGKWPGVT, 5749366]
[paragraph, [93.0, 1023.0, 707.0, 36.0], shoonya_6sI5R2EGKWPGVT, 5749366]
[paragraph, [93.0, 1059.0, 707.0, 36.0], shoonya_6sI5R2EGKWPGVT, 5749366]
[paragraph, [93.0, 1095.0, 707.0, 36.0], shoonya_6sI5R2EGKWPGVT, 5749366]
[paragraph, [93.0, 1131.0, 707.0, 36.0], shoonya_6sI5R2EGKWPGVT, 5749366]
[paragraph, [93.0, 1167.0, 707.0, 36.0], shoonya_6sI5R2EGKWPGVT, 5749366]
[paragraph, [93.0, 1203.0, 707.0, 36.0], shoonya_6sI5R2EGKWPGVT, 5749366]
[paragraph, [93.0, 1239.0, 707.0, 36.0], shoonya_6sI5R2EGKWPGVT, 5749366]
[paragraph, [93.0, 1275.0, 707.0, 36.0], shoonya_6sI5R2EGKWPGVT, 5749366]
[paragraph, [93.0, 1311.0, 707.0, 36.0], shoonya_6sI5R2EGKWPGVT, 5749366]
[paragraph, [93.0, 1347.0, 707.0, 36.0], shoonya_6sI5R2EGKWPGVT, 5749366]
[paragraph, [93.0, 1383.0, 707.0, 36.0], shoonya_6sI5R2EGKWPGVT, 5749366]
[paragraph, [93.0, 1419.0, 707.0, 36.0], shoonya_6sI5R2EGKWPGVT, 5749366]
[paragraph, [830.0, 1014.0, 697.0, 36.0], FyiBuZCJ3W, 5749366]
[paragraph, [830.0, 1050.0, 697.0, 36.0], FyiBuZCJ3W, 5749366]
[paragraph, [848.0, 1119.0, 681.0, 36.0], g6-UgsnsHO, 5749366]
[paragraph, [828.0, 1170.0, 702.0, 36.0], shoonya_5sSO5F7EDDKL3K, 5749366]
[paragraph, [828.0, 1206.0, 702.0, 36.0], shoonya_5sSO5F7EDDKL3K, 5749366]
[paragraph, [828.0, 1242.0, 702.0, 36.0], shoonya_5sSO5F7EDDKL3K, 5749366]
