[842, 596]
[section-title, [231.0, 45.0, 148.0, 30.0], bkrHschg-_, 6491274]
[paragraph, [42.0, 90.0, 510.0, 18.0], Y84t3kPer_, 6491274]
[paragraph, [42.0, 108.0, 510.0, 18.0], Y84t3kPer_, 6491274]
[paragraph, [42.0, 126.0, 510.0, 18.0], Y84t3kPer_, 6491274]
[paragraph, [42.0, 144.0, 510.0, 18.0], Y84t3kPer_, 6491274]
[paragraph, [42.0, 162.0, 510.0, 18.0], Y84t3kPer_, 6491274]
[paragraph, [42.0, 180.0, 510.0, 18.0], Y84t3kPer_, 6491274]
[paragraph, [42.0, 198.0, 510.0, 18.0], Y84t3kPer_, 6491274]
[paragraph, [42.0, 216.0, 510.0, 18.0], Y84t3kPer_, 6491274]
[paragraph, [42.0, 234.0, 510.0, 18.0], Y84t3kPer_, 6491274]
[paragraph, [42.0, 252.0, 510.0, 18.0], Y84t3kPer_, 6491274]
[paragraph, [42.0, 270.0, 510.0, 18.0], Y84t3kPer_, 6491274]
[paragraph, [53.0, 293.0, 496.0, 18.0], kTUos74y9M, 6491274]
[paragraph, [53.0, 311.0, 496.0, 18.0], kTUos74y9M, 6491274]
[paragraph, [53.0, 329.0, 496.0, 18.0], kTUos74y9M, 6491274]
[paragraph, [53.0, 347.0, 496.0, 18.0], kTUos74y9M, 6491274]
[paragraph, [53.0, 365.0, 496.0, 18.0], kTUos74y9M, 6491274]
[paragraph, [53.0, 383.0, 496.0, 18.0], kTUos74y9M, 6491274]
[paragraph, [53.0, 401.0, 496.0, 18.0], kTUos74y9M, 6491274]
[paragraph, [53.0, 419.0, 496.0, 18.0], kTUos74y9M, 6491274]
[paragraph, [53.0, 437.0, 496.0, 18.0], kTUos74y9M, 6491274]
[paragraph, [53.0, 455.0, 496.0, 18.0], kTUos74y9M, 6491274]
[paragraph, [53.0, 473.0, 496.0, 18.0], kTUos74y9M, 6491274]
[paragraph, [53.0, 491.0, 496.0, 18.0], kTUos74y9M, 6491274]
