[2339, 1653]
[paragraph, [381.0, 194.0, 1091.0, 36.0], yVDhLuyK3Z, 5733766]
[paragraph, [381.0, 230.0, 1091.0, 36.0], yVDhLuyK3Z, 5733766]
[paragraph, [381.0, 266.0, 1091.0, 36.0], yVDhLuyK3Z, 5733766]
[paragraph, [381.0, 302.0, 1091.0, 36.0], yVDhLuyK3Z, 5733766]
[paragraph, [388.0, 375.0, 1075.0, 36.0], shoonya_2sD612MW4S202P, 5733766]
[paragraph, [388.0, 411.0, 1075.0, 36.0], shoonya_2sD612MW4S202P, 5733766]
[paragraph, [388.0, 447.0, 1075.0, 36.0], shoonya_2sD612MW4S202P, 5733766]
[paragraph, [388.0, 483.0, 1075.0, 36.0], shoonya_2sD612MW4S202P, 5733766]
[paragraph, [388.0, 519.0, 1075.0, 36.0], shoonya_2sD612MW4S202P, 5733766]
[paragraph, [388.0, 555.0, 1075.0, 36.0], shoonya_2sD612MW4S202P, 5733766]
[paragraph, [388.0, 611.0, 1070.0, 36.0], shoonya_4sYRYBQE0PULTF, 5733766]
[paragraph, [388.0, 647.0, 1070.0, 36.0], shoonya_4sYRYBQE0PULTF, 5733766]
[paragraph, [388.0, 683.0, 1070.0, 36.0], shoonya_4sYRYBQE0PULTF, 5733766]
[paragraph, [388.0, 719.0, 1070.0, 36.0], shoonya_4sYRYBQE0PULTF, 5733766]
[paragraph, [387.0, 783.0, 1073.0, 36.0], shoonya_3sSQY5H7BDOQIA, 5733766]
[paragraph, [387.0, 819.0, 1073.0, 36.0], shoonya_3sSQY5H7BDOQIA, 5733766]
[paragraph, [387.0, 855.0, 1073.0, 36.0], shoonya_3sSQY5H7BDOQIA, 5733766]
[paragraph, [387.0, 891.0, 1073.0, 36.0], shoonya_3sSQY5H7BDOQIA, 5733766]
[paragraph, [387.0, 927.0, 1073.0, 36.0], shoonya_3sSQY5H7BDOQIA, 5733766]
[paragraph, [387.0, 963.0, 1073.0, 36.0], shoonya_3sSQY5H7BDOQIA, 5733766]
[paragraph, [389.0, 1017.0, 1072.0, 36.0], shoonya_1sHABQXXKMTCB7, 5733766]
[paragraph, [389.0, 1053.0, 1072.0, 36.0], shoonya_1sHABQXXKMTCB7, 5733766]
[paragraph, [389.0, 1089.0, 1072.0, 36.0], shoonya_1sHABQXXKMTCB7, 5733766]
[paragraph, [389.0, 1125.0, 1072.0, 36.0], shoonya_1sHABQXXKMTCB7, 5733766]
[paragraph, [389.0, 1161.0, 1072.0, 36.0], shoonya_1sHABQXXKMTCB7, 5733766]
[paragraph, [389.0, 1197.0, 1072.0, 36.0], shoonya_1sHABQXXKMTCB7, 5733766]
[paragraph, [389.0, 1233.0, 1072.0, 36.0], shoonya_1sHABQXXKMTCB7, 5733766]
[paragraph, [389.0, 1269.0, 1072.0, 36.0], shoonya_1sHABQXXKMTCB7, 5733766]
[paragraph, [389.0, 1305.0, 1072.0, 36.0], shoonya_1sHABQXXKMTCB7, 5733766]
[paragraph, [389.0, 1341.0, 1072.0, 36.0], shoonya_1sHABQXXKMTCB7, 5733766]
[paragraph, [389.0, 1377.0, 1072.0, 36.0], shoonya_1sHABQXXKMTCB7, 5733766]
[paragraph, [389.0, 1413.0, 1072.0, 36.0], shoonya_1sHABQXXKMTCB7, 5733766]
[paragraph, [389.0, 1449.0, 1072.0, 36.0], shoonya_1sHABQXXKMTCB7, 5733766]
[paragraph, [389.0, 1485.0, 1072.0, 36.0], shoonya_1sHABQXXKMTCB7, 5733766]
[paragraph, [389.0, 1521.0, 1072.0, 36.0], shoonya_1sHABQXXKMTCB7, 5733766]
[paragraph, [389.0, 1597.0, 1071.0, 36.0], shoonya_0sMMUAWHC8V0RN, 5733766]
[paragraph, [389.0, 1633.0, 1071.0, 36.0], shoonya_0sMMUAWHC8V0RN, 5733766]
[paragraph, [389.0, 1669.0, 1071.0, 36.0], shoonya_0sMMUAWHC8V0RN, 5733766]
[paragraph, [389.0, 1705.0, 1071.0, 36.0], shoonya_0sMMUAWHC8V0RN, 5733766]
[paragraph, [389.0, 1741.0, 1071.0, 36.0], shoonya_0sMMUAWHC8V0RN, 5733766]
[paragraph, [389.0, 1777.0, 1071.0, 36.0], shoonya_0sMMUAWHC8V0RN, 5733766]
[paragraph, [389.0, 1813.0, 1071.0, 36.0], shoonya_0sMMUAWHC8V0RN, 5733766]
[paragraph, [389.0, 1849.0, 1071.0, 36.0], shoonya_0sMMUAWHC8V0RN, 5733766]
[paragraph, [389.0, 1885.0, 1071.0, 36.0], shoonya_0sMMUAWHC8V0RN, 5733766]
[paragraph, [389.0, 1921.0, 1071.0, 36.0], shoonya_0sMMUAWHC8V0RN, 5733766]
[paragraph, [389.0, 1957.0, 1071.0, 36.0], shoonya_0sMMUAWHC8V0RN, 5733766]
[paragraph, [389.0, 1993.0, 1071.0, 36.0], shoonya_0sMMUAWHC8V0RN, 5733766]
[paragraph, [389.0, 2029.0, 1071.0, 36.0], shoonya_0sMMUAWHC8V0RN, 5733766]
[paragraph, [389.0, 2065.0, 1071.0, 36.0], shoonya_0sMMUAWHC8V0RN, 5733766]
[folio, [1044.0, 2180.0, 338.0, 36.0], E3ChoWJOSl, 5733766]
