[2339, 1656]
[paragraph, [831.0, 62.0, 704.0, 36.0], shoonya_5sJKV4X9YHCFKN, 5749452]
[paragraph, [831.0, 98.0, 704.0, 36.0], shoonya_5sJKV4X9YHCFKN, 5749452]
[paragraph, [831.0, 134.0, 704.0, 36.0], shoonya_5sJKV4X9YHCFKN, 5749452]
[paragraph, [831.0, 170.0, 704.0, 36.0], shoonya_5sJKV4X9YHCFKN, 5749452]
[paragraph, [93.0, 69.0, 704.0, 36.0], shoonya_3sC6ONSJ9ZHIXI, 5749452]
[paragraph, [93.0, 105.0, 704.0, 36.0], shoonya_3sC6ONSJ9ZHIXI, 5749452]
[paragraph, [93.0, 141.0, 704.0, 36.0], shoonya_3sC6ONSJ9ZHIXI, 5749452]
[paragraph, [93.0, 177.0, 704.0, 36.0], shoonya_3sC6ONSJ9ZHIXI, 5749452]
[paragraph, [93.0, 213.0, 704.0, 36.0], shoonya_3sC6ONSJ9ZHIXI, 5749452]
[paragraph, [93.0, 249.0, 704.0, 36.0], shoonya_3sC6ONSJ9ZHIXI, 5749452]
[paragraph, [833.0, 229.0, 715.0, 36.0], shoonya_1sO5N5834CPL3S, 5749452]
[paragraph, [833.0, 265.0, 715.0, 36.0], shoonya_1sO5N5834CPL3S, 5749452]
[paragraph, [833.0, 301.0, 715.0, 36.0], shoonya_1sO5N5834CPL3S, 5749452]
[paragraph, [833.0, 337.0, 715.0, 36.0], shoonya_1sO5N5834CPL3S, 5749452]
[paragraph, [833.0, 373.0, 715.0, 36.0], shoonya_1sO5N5834CPL3S, 5749452]
[paragraph, [833.0, 409.0, 715.0, 36.0], shoonya_1sO5N5834CPL3S, 5749452]
[paragraph, [833.0, 445.0, 715.0, 36.0], shoonya_1sO5N5834CPL3S, 5749452]
[paragraph, [833.0, 481.0, 715.0, 36.0], shoonya_1sO5N5834CPL3S, 5749452]
[paragraph, [833.0, 517.0, 715.0, 36.0], shoonya_1sO5N5834CPL3S, 5749452]
[paragraph, [833.0, 553.0, 715.0, 36.0], shoonya_1sO5N5834CPL3S, 5749452]
[paragraph, [833.0, 589.0, 715.0, 36.0], shoonya_1sO5N5834CPL3S, 5749452]
[paragraph, [833.0, 625.0, 715.0, 36.0], shoonya_1sO5N5834CPL3S, 5749452]
[paragraph, [833.0, 661.0, 715.0, 36.0], shoonya_1sO5N5834CPL3S, 5749452]
[paragraph, [833.0, 697.0, 715.0, 36.0], shoonya_1sO5N5834CPL3S, 5749452]
[paragraph, [833.0, 733.0, 715.0, 36.0], shoonya_1sO5N5834CPL3S, 5749452]
[paragraph, [833.0, 769.0, 715.0, 36.0], shoonya_1sO5N5834CPL3S, 5749452]
[paragraph, [833.0, 805.0, 715.0, 36.0], shoonya_1sO5N5834CPL3S, 5749452]
[paragraph, [833.0, 841.0, 715.0, 36.0], shoonya_1sO5N5834CPL3S, 5749452]
[paragraph, [833.0, 877.0, 715.0, 36.0], shoonya_1sO5N5834CPL3S, 5749452]
[paragraph, [833.0, 913.0, 715.0, 36.0], shoonya_1sO5N5834CPL3S, 5749452]
[paragraph, [833.0, 949.0, 715.0, 36.0], shoonya_1sO5N5834CPL3S, 5749452]
[paragraph, [833.0, 985.0, 715.0, 36.0], shoonya_1sO5N5834CPL3S, 5749452]
[paragraph, [833.0, 1021.0, 715.0, 36.0], shoonya_1sO5N5834CPL3S, 5749452]
[paragraph, [833.0, 1057.0, 715.0, 36.0], shoonya_1sO5N5834CPL3S, 5749452]
