[792, 612]
[folio, [207.0, 27.0, 199.0, 18.0], LwHUlHuM1c, 6491849]
[paragraph, [94.0, 79.0, 437.0, 18.0], hzOmmI2zhx, 6491849]
[paragraph, [94.0, 97.0, 437.0, 18.0], hzOmmI2zhx, 6491849]
[paragraph, [94.0, 115.0, 437.0, 18.0], hzOmmI2zhx, 6491849]
[paragraph, [94.0, 133.0, 437.0, 18.0], hzOmmI2zhx, 6491849]
[paragraph, [94.0, 151.0, 437.0, 18.0], hzOmmI2zhx, 6491849]
[paragraph, [94.0, 169.0, 437.0, 18.0], hzOmmI2zhx, 6491849]
[paragraph, [94.0, 187.0, 437.0, 18.0], hzOmmI2zhx, 6491849]
[paragraph, [94.0, 205.0, 437.0, 18.0], hzOmmI2zhx, 6491849]
[paragraph, [71.0, 232.0, 461.0, 18.0], QuC0Foh8CC, 6491849]
[paragraph, [71.0, 250.0, 461.0, 18.0], QuC0Foh8CC, 6491849]
[paragraph, [71.0, 268.0, 461.0, 18.0], QuC0Foh8CC, 6491849]
[paragraph, [71.0, 286.0, 461.0, 18.0], QuC0Foh8CC, 6491849]
[paragraph, [71.0, 304.0, 461.0, 18.0], QuC0Foh8CC, 6491849]
[paragraph, [71.0, 322.0, 461.0, 18.0], QuC0Foh8CC, 6491849]
[paragraph, [71.0, 340.0, 461.0, 18.0], QuC0Foh8CC, 6491849]
[paragraph, [71.0, 358.0, 461.0, 18.0], QuC0Foh8CC, 6491849]
[paragraph, [71.0, 376.0, 461.0, 18.0], QuC0Foh8CC, 6491849]
[paragraph, [71.0, 394.0, 461.0, 18.0], QuC0Foh8CC, 6491849]
[paragraph, [71.0, 412.0, 461.0, 18.0], QuC0Foh8CC, 6491849]
[paragraph, [71.0, 430.0, 461.0, 18.0], QuC0Foh8CC, 6491849]
[paragraph, [71.0, 448.0, 461.0, 18.0], QuC0Foh8CC, 6491849]
[paragraph, [71.0, 466.0, 461.0, 18.0], QuC0Foh8CC, 6491849]
[paragraph, [71.0, 484.0, 461.0, 18.0], QuC0Foh8CC, 6491849]
[paragraph, [86.0, 535.0, 452.0, 18.0], SjBHszIaAf, 6491849]
[paragraph, [86.0, 553.0, 452.0, 18.0], SjBHszIaAf, 6491849]
[paragraph, [86.0, 571.0, 452.0, 18.0], SjBHszIaAf, 6491849]
[paragraph, [86.0, 589.0, 452.0, 18.0], SjBHszIaAf, 6491849]
