[2339, 1653]
[paragraph, [322.0, 162.0, 1144.0, 36.0], shoonya_1sNF4TUPLGWLJ9, 5733947]
[paragraph, [322.0, 198.0, 1144.0, 36.0], shoonya_1sNF4TUPLGWLJ9, 5733947]
[paragraph, [322.0, 234.0, 1144.0, 36.0], shoonya_1sNF4TUPLGWLJ9, 5733947]
[paragraph, [322.0, 270.0, 1144.0, 36.0], shoonya_1sNF4TUPLGWLJ9, 5733947]
[paragraph, [322.0, 306.0, 1144.0, 36.0], shoonya_1sNF4TUPLGWLJ9, 5733947]
[paragraph, [322.0, 342.0, 1144.0, 36.0], shoonya_1sNF4TUPLGWLJ9, 5733947]
[paragraph, [322.0, 378.0, 1144.0, 36.0], shoonya_1sNF4TUPLGWLJ9, 5733947]
[paragraph, [322.0, 414.0, 1144.0, 36.0], shoonya_1sNF4TUPLGWLJ9, 5733947]
[paragraph, [322.0, 450.0, 1144.0, 36.0], shoonya_1sNF4TUPLGWLJ9, 5733947]
[paragraph, [322.0, 486.0, 1144.0, 36.0], shoonya_1sNF4TUPLGWLJ9, 5733947]
[paragraph, [322.0, 522.0, 1144.0, 36.0], shoonya_1sNF4TUPLGWLJ9, 5733947]
[paragraph, [322.0, 558.0, 1144.0, 36.0], shoonya_1sNF4TUPLGWLJ9, 5733947]
[paragraph, [322.0, 594.0, 1144.0, 36.0], shoonya_1sNF4TUPLGWLJ9, 5733947]
[paragraph, [322.0, 630.0, 1144.0, 36.0], shoonya_1sNF4TUPLGWLJ9, 5733947]
[paragraph, [322.0, 666.0, 1144.0, 36.0], shoonya_1sNF4TUPLGWLJ9, 5733947]
[paragraph, [322.0, 702.0, 1144.0, 36.0], shoonya_1sNF4TUPLGWLJ9, 5733947]
[paragraph, [328.0, 780.0, 1134.0, 36.0], shoonya_0sJ6JPMH5LXSMP, 5733947]
[paragraph, [328.0, 816.0, 1134.0, 36.0], shoonya_0sJ6JPMH5LXSMP, 5733947]
[paragraph, [328.0, 852.0, 1134.0, 36.0], shoonya_0sJ6JPMH5LXSMP, 5733947]
[paragraph, [328.0, 888.0, 1134.0, 36.0], shoonya_0sJ6JPMH5LXSMP, 5733947]
[paragraph, [328.0, 924.0, 1134.0, 36.0], shoonya_0sJ6JPMH5LXSMP, 5733947]
[paragraph, [328.0, 960.0, 1134.0, 36.0], shoonya_0sJ6JPMH5LXSMP, 5733947]
[paragraph, [328.0, 996.0, 1134.0, 36.0], shoonya_0sJ6JPMH5LXSMP, 5733947]
[paragraph, [328.0, 1032.0, 1134.0, 36.0], shoonya_0sJ6JPMH5LXSMP, 5733947]
[paragraph, [328.0, 1068.0, 1134.0, 36.0], shoonya_0sJ6JPMH5LXSMP, 5733947]
[paragraph, [328.0, 1104.0, 1134.0, 36.0], shoonya_0sJ6JPMH5LXSMP, 5733947]
[paragraph, [328.0, 1140.0, 1134.0, 36.0], shoonya_0sJ6JPMH5LXSMP, 5733947]
[paragraph, [328.0, 1176.0, 1134.0, 36.0], shoonya_0sJ6JPMH5LXSMP, 5733947]
[paragraph, [328.0, 1212.0, 1134.0, 36.0], shoonya_0sJ6JPMH5LXSMP, 5733947]
[paragraph, [328.0, 1248.0, 1134.0, 36.0], shoonya_0sJ6JPMH5LXSMP, 5733947]
[paragraph, [328.0, 1284.0, 1134.0, 36.0], shoonya_0sJ6JPMH5LXSMP, 5733947]
[paragraph, [328.0, 1320.0, 1134.0, 36.0], shoonya_0sJ6JPMH5LXSMP, 5733947]
[paragraph, [328.0, 1356.0, 1134.0, 36.0], shoonya_0sJ6JPMH5LXSMP, 5733947]
[paragraph, [328.0, 1392.0, 1134.0, 36.0], shoonya_0sJ6JPMH5LXSMP, 5733947]
[paragraph, [328.0, 1428.0, 1134.0, 36.0], shoonya_0sJ6JPMH5LXSMP, 5733947]
[paragraph, [328.0, 1464.0, 1134.0, 36.0], shoonya_0sJ6JPMH5LXSMP, 5733947]
[paragraph, [328.0, 1500.0, 1134.0, 36.0], shoonya_0sJ6JPMH5LXSMP, 5733947]
[paragraph, [328.0, 1536.0, 1134.0, 36.0], shoonya_0sJ6JPMH5LXSMP, 5733947]
[paragraph, [328.0, 1572.0, 1134.0, 36.0], shoonya_0sJ6JPMH5LXSMP, 5733947]
[paragraph, [328.0, 1608.0, 1134.0, 36.0], shoonya_0sJ6JPMH5LXSMP, 5733947]
[paragraph, [328.0, 1644.0, 1134.0, 36.0], shoonya_0sJ6JPMH5LXSMP, 5733947]
[paragraph, [328.0, 1680.0, 1134.0, 36.0], shoonya_0sJ6JPMH5LXSMP, 5733947]
[paragraph, [328.0, 1716.0, 1134.0, 36.0], shoonya_0sJ6JPMH5LXSMP, 5733947]
[paragraph, [321.0, 1776.0, 1140.0, 36.0], shoonya_2s2B130LIXI4FY, 5733947]
[paragraph, [321.0, 1812.0, 1140.0, 36.0], shoonya_2s2B130LIXI4FY, 5733947]
[paragraph, [321.0, 1848.0, 1140.0, 36.0], shoonya_2s2B130LIXI4FY, 5733947]
