[690, 512]
[folio, [207.0, 45.0, 93.0, 18.0], fghpnUjlpV, 6491785]
[paragraph, [256.0, 68.0, 216.0, 18.0], i4oWNW9xDp, 6491785]
[paragraph, [31.0, 69.0, 214.0, 18.0], shoonya_0s0RFL7IFCZU65, 6491785]
[paragraph, [31.0, 87.0, 214.0, 18.0], shoonya_0s0RFL7IFCZU65, 6491785]
[paragraph, [31.0, 105.0, 214.0, 18.0], shoonya_0s0RFL7IFCZU65, 6491785]
[paragraph, [31.0, 123.0, 214.0, 18.0], shoonya_0s0RFL7IFCZU65, 6491785]
[paragraph, [31.0, 141.0, 214.0, 18.0], shoonya_0s0RFL7IFCZU65, 6491785]
[paragraph, [31.0, 159.0, 214.0, 18.0], shoonya_0s0RFL7IFCZU65, 6491785]
[paragraph, [257.0, 101.0, 213.0, 18.0], s0rM1hJD7j, 6491785]
[paragraph, [257.0, 119.0, 213.0, 18.0], s0rM1hJD7j, 6491785]
[paragraph, [257.0, 137.0, 213.0, 18.0], s0rM1hJD7j, 6491785]
[paragraph, [257.0, 155.0, 213.0, 18.0], s0rM1hJD7j, 6491785]
[paragraph, [257.0, 173.0, 213.0, 18.0], s0rM1hJD7j, 6491785]
[paragraph, [34.0, 187.0, 214.0, 18.0], FEqn3DO8t6, 6491785]
[paragraph, [34.0, 205.0, 214.0, 18.0], FEqn3DO8t6, 6491785]
[paragraph, [34.0, 223.0, 214.0, 18.0], FEqn3DO8t6, 6491785]
[paragraph, [257.0, 203.0, 215.0, 18.0], xxAyW27p3G, 6491785]
[paragraph, [257.0, 221.0, 215.0, 18.0], xxAyW27p3G, 6491785]
[paragraph, [257.0, 239.0, 215.0, 18.0], xxAyW27p3G, 6491785]
[paragraph, [257.0, 257.0, 215.0, 18.0], xxAyW27p3G, 6491785]
[paragraph, [257.0, 275.0, 215.0, 18.0], xxAyW27p3G, 6491785]
[paragraph, [257.0, 293.0, 215.0, 18.0], xxAyW27p3G, 6491785]
[paragraph, [257.0, 311.0, 215.0, 18.0], xxAyW27p3G, 6491785]
[paragraph, [257.0, 329.0, 215.0, 18.0], xxAyW27p3G, 6491785]
[paragraph, [32.0, 271.0, 215.0, 18.0], 0wBoLrd35P, 6491785]
[paragraph, [31.0, 306.0, 219.0, 18.0], DcoyDIHz0u, 6491785]
[paragraph, [37.0, 338.0, 212.0, 18.0], mfw0X9KCUT, 6491785]
[paragraph, [37.0, 356.0, 212.0, 18.0], mfw0X9KCUT, 6491785]
