[554, 326]
[paragraph, [14.0, 45.0, 293.0, 18.0], J9fRmcic6y, 5681432]
[paragraph, [14.0, 63.0, 293.0, 18.0], J9fRmcic6y, 5681432]
[paragraph, [14.0, 81.0, 293.0, 18.0], J9fRmcic6y, 5681432]
[paragraph, [14.0, 99.0, 293.0, 18.0], J9fRmcic6y, 5681432]
[paragraph, [14.0, 117.0, 293.0, 18.0], J9fRmcic6y, 5681432]
[paragraph, [14.0, 135.0, 293.0, 18.0], J9fRmcic6y, 5681432]
[paragraph, [14.0, 153.0, 293.0, 18.0], J9fRmcic6y, 5681432]
[paragraph, [14.0, 171.0, 293.0, 18.0], J9fRmcic6y, 5681432]
[paragraph, [14.0, 189.0, 293.0, 18.0], J9fRmcic6y, 5681432]
[paragraph, [14.0, 207.0, 293.0, 18.0], J9fRmcic6y, 5681432]
[paragraph, [14.0, 225.0, 293.0, 18.0], J9fRmcic6y, 5681432]
[paragraph, [14.0, 243.0, 293.0, 18.0], J9fRmcic6y, 5681432]
[paragraph, [14.0, 261.0, 293.0, 18.0], J9fRmcic6y, 5681432]
[paragraph, [14.0, 279.0, 293.0, 18.0], J9fRmcic6y, 5681432]
[paragraph, [14.0, 297.0, 293.0, 18.0], J9fRmcic6y, 5681432]
[paragraph, [14.0, 315.0, 293.0, 18.0], J9fRmcic6y, 5681432]
[paragraph, [14.0, 333.0, 293.0, 18.0], J9fRmcic6y, 5681432]
[paragraph, [14.0, 351.0, 293.0, 18.0], J9fRmcic6y, 5681432]
[paragraph, [14.0, 369.0, 293.0, 18.0], J9fRmcic6y, 5681432]
[paragraph, [14.0, 387.0, 293.0, 18.0], J9fRmcic6y, 5681432]
[paragraph, [20.0, 417.0, 284.0, 18.0], kN2S0fX-BR, 5681432]
[paragraph, [16.0, 485.0, 289.0, 18.0], g1mxZrf1iu, 5681432]
[paragraph, [16.0, 503.0, 289.0, 18.0], g1mxZrf1iu, 5681432]
