[2339, 1656]
[paragraph, [803.0, 86.0, 708.0, 36.0], shoonya_3sYN11KFRPH02Z, 5750187]
[paragraph, [803.0, 122.0, 708.0, 36.0], shoonya_3sYN11KFRPH02Z, 5750187]
[paragraph, [803.0, 158.0, 708.0, 36.0], shoonya_3sYN11KFRPH02Z, 5750187]
[paragraph, [803.0, 194.0, 708.0, 36.0], shoonya_3sYN11KFRPH02Z, 5750187]
[paragraph, [803.0, 230.0, 708.0, 36.0], shoonya_3sYN11KFRPH02Z, 5750187]
[paragraph, [803.0, 266.0, 708.0, 36.0], shoonya_3sYN11KFRPH02Z, 5750187]
[paragraph, [803.0, 302.0, 708.0, 36.0], shoonya_3sYN11KFRPH02Z, 5750187]
[paragraph, [803.0, 338.0, 708.0, 36.0], shoonya_3sYN11KFRPH02Z, 5750187]
[paragraph, [803.0, 374.0, 708.0, 36.0], shoonya_3sYN11KFRPH02Z, 5750187]
[paragraph, [62.0, 87.0, 711.0, 36.0], shoonya_2sWF3VXBDKWQ27, 5750187]
[paragraph, [62.0, 123.0, 711.0, 36.0], shoonya_2sWF3VXBDKWQ27, 5750187]
[paragraph, [62.0, 159.0, 711.0, 36.0], shoonya_2sWF3VXBDKWQ27, 5750187]
[paragraph, [62.0, 195.0, 711.0, 36.0], shoonya_2sWF3VXBDKWQ27, 5750187]
[paragraph, [62.0, 231.0, 711.0, 36.0], shoonya_2sWF3VXBDKWQ27, 5750187]
[paragraph, [62.0, 267.0, 711.0, 36.0], shoonya_2sWF3VXBDKWQ27, 5750187]
[paragraph, [62.0, 303.0, 711.0, 36.0], shoonya_2sWF3VXBDKWQ27, 5750187]
[paragraph, [62.0, 339.0, 711.0, 36.0], shoonya_2sWF3VXBDKWQ27, 5750187]
[paragraph, [62.0, 375.0, 711.0, 36.0], shoonya_2sWF3VXBDKWQ27, 5750187]
[paragraph, [62.0, 411.0, 711.0, 36.0], shoonya_2sWF3VXBDKWQ27, 5750187]
[paragraph, [62.0, 447.0, 711.0, 36.0], shoonya_2sWF3VXBDKWQ27, 5750187]
[paragraph, [62.0, 483.0, 711.0, 36.0], shoonya_2sWF3VXBDKWQ27, 5750187]
[paragraph, [804.0, 414.0, 714.0, 36.0], shoonya_1sH2MT57ZJG9I8, 5750187]
[paragraph, [804.0, 450.0, 714.0, 36.0], shoonya_1sH2MT57ZJG9I8, 5750187]
[paragraph, [804.0, 486.0, 714.0, 36.0], shoonya_1sH2MT57ZJG9I8, 5750187]
[paragraph, [804.0, 522.0, 714.0, 36.0], shoonya_1sH2MT57ZJG9I8, 5750187]
[paragraph, [804.0, 558.0, 714.0, 36.0], shoonya_1sH2MT57ZJG9I8, 5750187]
[paragraph, [804.0, 594.0, 714.0, 36.0], shoonya_1sH2MT57ZJG9I8, 5750187]
[paragraph, [804.0, 630.0, 714.0, 36.0], shoonya_1sH2MT57ZJG9I8, 5750187]
[paragraph, [804.0, 666.0, 714.0, 36.0], shoonya_1sH2MT57ZJG9I8, 5750187]
[paragraph, [804.0, 702.0, 714.0, 36.0], shoonya_1sH2MT57ZJG9I8, 5750187]
[paragraph, [804.0, 738.0, 714.0, 36.0], shoonya_1sH2MT57ZJG9I8, 5750187]
[paragraph, [804.0, 774.0, 714.0, 36.0], shoonya_1sH2MT57ZJG9I8, 5750187]
[paragraph, [804.0, 810.0, 714.0, 36.0], shoonya_1sH2MT57ZJG9I8, 5750187]
[paragraph, [804.0, 846.0, 714.0, 36.0], shoonya_1sH2MT57ZJG9I8, 5750187]
[paragraph, [804.0, 882.0, 714.0, 36.0], shoonya_1sH2MT57ZJG9I8, 5750187]
