[1806, 1262]
[chapter-title, [113.0, 395.0, 1031.0, 58.5], shoonya_4sQQYCKUCUOW5K, 5680404]
[author, [511.0, 517.0, 266.0, 36.0], shoonya_5s5JK72RHN24RO, 5680404]
[paragraph, [646.0, 592.0, 518.0, 36.0], shoonya_3s4D85HIMS92LM, 5680404]
[paragraph, [646.0, 628.0, 518.0, 36.0], shoonya_3s4D85HIMS92LM, 5680404]
[paragraph, [646.0, 664.0, 518.0, 36.0], shoonya_3s4D85HIMS92LM, 5680404]
[paragraph, [646.0, 700.0, 518.0, 36.0], shoonya_3s4D85HIMS92LM, 5680404]
[paragraph, [646.0, 736.0, 518.0, 36.0], shoonya_3s4D85HIMS92LM, 5680404]
[paragraph, [646.0, 772.0, 518.0, 36.0], shoonya_3s4D85HIMS92LM, 5680404]
[paragraph, [646.0, 808.0, 518.0, 36.0], shoonya_3s4D85HIMS92LM, 5680404]
[paragraph, [646.0, 844.0, 518.0, 36.0], shoonya_3s4D85HIMS92LM, 5680404]
[paragraph, [646.0, 880.0, 518.0, 36.0], shoonya_3s4D85HIMS92LM, 5680404]
[paragraph, [646.0, 916.0, 518.0, 36.0], shoonya_3s4D85HIMS92LM, 5680404]
[paragraph, [646.0, 952.0, 518.0, 36.0], shoonya_3s4D85HIMS92LM, 5680404]
[paragraph, [646.0, 988.0, 518.0, 36.0], shoonya_3s4D85HIMS92LM, 5680404]
[paragraph, [646.0, 1024.0, 518.0, 36.0], shoonya_3s4D85HIMS92LM, 5680404]
[paragraph, [646.0, 1060.0, 518.0, 36.0], shoonya_3s4D85HIMS92LM, 5680404]
[paragraph, [646.0, 1096.0, 518.0, 36.0], shoonya_3s4D85HIMS92LM, 5680404]
[paragraph, [646.0, 1132.0, 518.0, 36.0], shoonya_3s4D85HIMS92LM, 5680404]
[paragraph, [646.0, 1168.0, 518.0, 36.0], shoonya_3s4D85HIMS92LM, 5680404]
[paragraph, [646.0, 1204.0, 518.0, 36.0], shoonya_3s4D85HIMS92LM, 5680404]
[paragraph, [646.0, 1240.0, 518.0, 36.0], shoonya_3s4D85HIMS92LM, 5680404]
[paragraph, [646.0, 1276.0, 518.0, 36.0], shoonya_3s4D85HIMS92LM, 5680404]
[paragraph, [646.0, 1312.0, 518.0, 36.0], shoonya_3s4D85HIMS92LM, 5680404]
[paragraph, [646.0, 1348.0, 518.0, 36.0], shoonya_3s4D85HIMS92LM, 5680404]
[paragraph, [646.0, 1384.0, 518.0, 36.0], shoonya_3s4D85HIMS92LM, 5680404]
[paragraph, [646.0, 1420.0, 518.0, 36.0], shoonya_3s4D85HIMS92LM, 5680404]
[paragraph, [646.0, 1456.0, 518.0, 36.0], shoonya_3s4D85HIMS92LM, 5680404]
[paragraph, [646.0, 1492.0, 518.0, 36.0], shoonya_3s4D85HIMS92LM, 5680404]
[paragraph, [646.0, 1528.0, 518.0, 36.0], shoonya_3s4D85HIMS92LM, 5680404]
[paragraph, [646.0, 1564.0, 518.0, 36.0], shoonya_3s4D85HIMS92LM, 5680404]
[paragraph, [646.0, 1600.0, 518.0, 36.0], shoonya_3s4D85HIMS92LM, 5680404]
[paragraph, [646.0, 1636.0, 518.0, 36.0], shoonya_3s4D85HIMS92LM, 5680404]
[paragraph, [646.0, 1672.0, 518.0, 36.0], shoonya_3s4D85HIMS92LM, 5680404]
[paragraph, [99.0, 600.0, 508.0, 36.0], shoonya_0s6UW4C73RFEBF, 5680404]
[paragraph, [99.0, 636.0, 508.0, 36.0], shoonya_0s6UW4C73RFEBF, 5680404]
[paragraph, [99.0, 672.0, 508.0, 36.0], shoonya_0s6UW4C73RFEBF, 5680404]
[paragraph, [99.0, 708.0, 508.0, 36.0], shoonya_0s6UW4C73RFEBF, 5680404]
[paragraph, [99.0, 744.0, 508.0, 36.0], shoonya_0s6UW4C73RFEBF, 5680404]
[paragraph, [99.0, 780.0, 508.0, 36.0], shoonya_0s6UW4C73RFEBF, 5680404]
[paragraph, [101.0, 851.0, 507.0, 36.0], shoonya_1s217L2DTABB5T, 5680404]
[paragraph, [101.0, 887.0, 507.0, 36.0], shoonya_1s217L2DTABB5T, 5680404]
[paragraph, [101.0, 923.0, 507.0, 36.0], shoonya_1s217L2DTABB5T, 5680404]
