[2640, 2040]
[folio, [488.0, 51.0, 1044.0, 46.5], vEyGZqkitq, 5699351]
[paragraph, [265.0, 228.0, 1053.0, 46.5], shoonya_18sUQR2U3W45MF, 5699351]
[paragraph, [279.0, 310.0, 583.0, 46.5], shoonya_8sX37LDJZ8OJSA, 5699351]
[paragraph, [244.0, 396.0, 1547.0, 46.5], shoonya_7sGSS9198UQVU8, 5699351]
[paragraph, [244.0, 442.5, 1547.0, 46.5], shoonya_7sGSS9198UQVU8, 5699351]
[paragraph, [269.0, 520.0, 1042.0, 46.5], shoonya_12sQKRJO0V0R6J, 5699351]
[ordered-list, [212.0, 597.0, 1613.0, 46.5], shoonya_19sLEMCH66D4TV, 5699351]
[ordered-list, [212.0, 643.5, 1613.0, 46.5], shoonya_19sLEMCH66D4TV, 5699351]
[ordered-list, [212.0, 690.0, 1613.0, 46.5], shoonya_19sLEMCH66D4TV, 5699351]
[ordered-list, [212.0, 736.5, 1613.0, 46.5], shoonya_19sLEMCH66D4TV, 5699351]
[ordered-list, [212.0, 783.0, 1613.0, 46.5], shoonya_19sLEMCH66D4TV, 5699351]
[ordered-list, [212.0, 829.5, 1613.0, 46.5], shoonya_19sLEMCH66D4TV, 5699351]
[ordered-list, [212.0, 876.0, 1613.0, 46.5], shoonya_19sLEMCH66D4TV, 5699351]
[ordered-list, [212.0, 922.5, 1613.0, 46.5], shoonya_19sLEMCH66D4TV, 5699351]
[ordered-list, [212.0, 969.0, 1613.0, 46.5], shoonya_19sLEMCH66D4TV, 5699351]
[ordered-list, [212.0, 1015.5, 1613.0, 46.5], shoonya_19sLEMCH66D4TV, 5699351]
[ordered-list, [212.0, 1062.0, 1613.0, 46.5], shoonya_19sLEMCH66D4TV, 5699351]
[ordered-list, [212.0, 1108.5, 1613.0, 46.5], shoonya_19sLEMCH66D4TV, 5699351]
[ordered-list, [212.0, 1155.0, 1613.0, 46.5], shoonya_19sLEMCH66D4TV, 5699351]
[ordered-list, [212.0, 1201.5, 1613.0, 46.5], shoonya_19sLEMCH66D4TV, 5699351]
[ordered-list, [212.0, 1248.0, 1613.0, 46.5], shoonya_19sLEMCH66D4TV, 5699351]
[ordered-list, [212.0, 1294.5, 1613.0, 46.5], shoonya_19sLEMCH66D4TV, 5699351]
[ordered-list, [212.0, 1341.0, 1613.0, 46.5], shoonya_19sLEMCH66D4TV, 5699351]
[ordered-list, [212.0, 1387.5, 1613.0, 46.5], shoonya_19sLEMCH66D4TV, 5699351]
[ordered-list, [212.0, 1434.0, 1613.0, 46.5], shoonya_19sLEMCH66D4TV, 5699351]
[ordered-list, [212.0, 1480.5, 1613.0, 46.5], shoonya_19sLEMCH66D4TV, 5699351]
[ordered-list, [212.0, 1527.0, 1613.0, 46.5], shoonya_19sLEMCH66D4TV, 5699351]
