[2200, 1700]
[paragraph, [278.0, 225.0, 1138.0, 36.0], shoonya_0s78LBJFID0MI3, 5687073]
[paragraph, [278.0, 261.0, 1138.0, 36.0], shoonya_0s78LBJFID0MI3, 5687073]
[paragraph, [278.0, 297.0, 1138.0, 36.0], shoonya_0s78LBJFID0MI3, 5687073]
[paragraph, [278.0, 333.0, 1138.0, 36.0], shoonya_0s78LBJFID0MI3, 5687073]
[paragraph, [278.0, 369.0, 1138.0, 36.0], shoonya_0s78LBJFID0MI3, 5687073]
[paragraph, [278.0, 405.0, 1138.0, 36.0], shoonya_0s78LBJFID0MI3, 5687073]
[paragraph, [278.0, 441.0, 1138.0, 36.0], shoonya_0s78LBJFID0MI3, 5687073]
[paragraph, [278.0, 477.0, 1138.0, 36.0], shoonya_0s78LBJFID0MI3, 5687073]
[paragraph, [278.0, 513.0, 1138.0, 36.0], shoonya_0s78LBJFID0MI3, 5687073]
[paragraph, [278.0, 549.0, 1138.0, 36.0], shoonya_0s78LBJFID0MI3, 5687073]
[paragraph, [278.0, 585.0, 1138.0, 36.0], shoonya_0s78LBJFID0MI3, 5687073]
[paragraph, [278.0, 621.0, 1138.0, 36.0], shoonya_0s78LBJFID0MI3, 5687073]
[paragraph, [278.0, 657.0, 1138.0, 36.0], shoonya_0s78LBJFID0MI3, 5687073]
[paragraph, [278.0, 693.0, 1138.0, 36.0], shoonya_0s78LBJFID0MI3, 5687073]
[paragraph, [278.0, 729.0, 1138.0, 36.0], shoonya_0s78LBJFID0MI3, 5687073]
[paragraph, [278.0, 765.0, 1138.0, 36.0], shoonya_0s78LBJFID0MI3, 5687073]
[paragraph, [278.0, 801.0, 1138.0, 36.0], shoonya_0s78LBJFID0MI3, 5687073]
[paragraph, [278.0, 837.0, 1138.0, 36.0], shoonya_0s78LBJFID0MI3, 5687073]
[paragraph, [278.0, 873.0, 1138.0, 36.0], shoonya_0s78LBJFID0MI3, 5687073]
[paragraph, [392.0, 953.0, 917.0, 36.0], shoonya_3sJJEJBT9YTBAI, 5687073]
[paragraph, [392.0, 989.0, 917.0, 36.0], shoonya_3sJJEJBT9YTBAI, 5687073]
[paragraph, [392.0, 1025.0, 917.0, 36.0], shoonya_3sJJEJBT9YTBAI, 5687073]
[paragraph, [392.0, 1061.0, 917.0, 36.0], shoonya_3sJJEJBT9YTBAI, 5687073]
[paragraph, [392.0, 1097.0, 917.0, 36.0], shoonya_3sJJEJBT9YTBAI, 5687073]
[paragraph, [403.0, 1162.0, 515.0, 36.0], W9EBvDOLpb, 5687073]
[reference, [927.0, 1164.0, 166.0, 36.0], xl4mTiZ394, 5687073]
[paragraph, [281.0, 1248.0, 1132.0, 36.0], shoonya_1sJL6E9MUOBQ6Q, 5687073]
[paragraph, [281.0, 1284.0, 1132.0, 36.0], shoonya_1sJL6E9MUOBQ6Q, 5687073]
[paragraph, [281.0, 1320.0, 1132.0, 36.0], shoonya_1sJL6E9MUOBQ6Q, 5687073]
[paragraph, [281.0, 1356.0, 1132.0, 36.0], shoonya_1sJL6E9MUOBQ6Q, 5687073]
[paragraph, [281.0, 1392.0, 1132.0, 36.0], shoonya_1sJL6E9MUOBQ6Q, 5687073]
[paragraph, [281.0, 1428.0, 1132.0, 36.0], shoonya_1sJL6E9MUOBQ6Q, 5687073]
[paragraph, [281.0, 1464.0, 1132.0, 36.0], shoonya_1sJL6E9MUOBQ6Q, 5687073]
[paragraph, [281.0, 1500.0, 1132.0, 36.0], shoonya_1sJL6E9MUOBQ6Q, 5687073]
[paragraph, [281.0, 1536.0, 1132.0, 36.0], shoonya_1sJL6E9MUOBQ6Q, 5687073]
[paragraph, [281.0, 1572.0, 1132.0, 36.0], shoonya_1sJL6E9MUOBQ6Q, 5687073]
[paragraph, [281.0, 1608.0, 1132.0, 36.0], shoonya_1sJL6E9MUOBQ6Q, 5687073]
[paragraph, [281.0, 1644.0, 1132.0, 36.0], shoonya_1sJL6E9MUOBQ6Q, 5687073]
[paragraph, [281.0, 1680.0, 1132.0, 36.0], shoonya_1sJL6E9MUOBQ6Q, 5687073]
[paragraph, [281.0, 1716.0, 1132.0, 36.0], shoonya_1sJL6E9MUOBQ6Q, 5687073]
[paragraph, [281.0, 1752.0, 1132.0, 36.0], shoonya_1sJL6E9MUOBQ6Q, 5687073]
[paragraph, [281.0, 1788.0, 1132.0, 36.0], shoonya_1sJL6E9MUOBQ6Q, 5687073]
[paragraph, [281.0, 1824.0, 1132.0, 36.0], shoonya_1sJL6E9MUOBQ6Q, 5687073]
[paragraph, [281.0, 1860.0, 1132.0, 36.0], shoonya_1sJL6E9MUOBQ6Q, 5687073]
[paragraph, [281.0, 1896.0, 1132.0, 36.0], shoonya_1sJL6E9MUOBQ6Q, 5687073]
