[1518, 1075]
[paragraph, [558.0, 170.0, 432.0, 36.0], shoonya_4s9F73HQZNWZM5, 5722663]
[paragraph, [558.0, 206.0, 432.0, 36.0], shoonya_4s9F73HQZNWZM5, 5722663]
[paragraph, [558.0, 242.0, 432.0, 36.0], shoonya_4s9F73HQZNWZM5, 5722663]
[paragraph, [558.0, 278.0, 432.0, 36.0], shoonya_4s9F73HQZNWZM5, 5722663]
[paragraph, [558.0, 314.0, 432.0, 36.0], shoonya_4s9F73HQZNWZM5, 5722663]
[paragraph, [558.0, 350.0, 432.0, 36.0], shoonya_4s9F73HQZNWZM5, 5722663]
[paragraph, [558.0, 386.0, 432.0, 36.0], shoonya_4s9F73HQZNWZM5, 5722663]
[paragraph, [558.0, 422.0, 432.0, 36.0], shoonya_4s9F73HQZNWZM5, 5722663]
[paragraph, [558.0, 458.0, 432.0, 36.0], shoonya_4s9F73HQZNWZM5, 5722663]
[paragraph, [558.0, 494.0, 432.0, 36.0], shoonya_4s9F73HQZNWZM5, 5722663]
[paragraph, [558.0, 530.0, 432.0, 36.0], shoonya_4s9F73HQZNWZM5, 5722663]
[paragraph, [558.0, 566.0, 432.0, 36.0], shoonya_4s9F73HQZNWZM5, 5722663]
[paragraph, [558.0, 602.0, 432.0, 36.0], shoonya_4s9F73HQZNWZM5, 5722663]
[paragraph, [558.0, 638.0, 432.0, 36.0], shoonya_4s9F73HQZNWZM5, 5722663]
[paragraph, [558.0, 674.0, 432.0, 36.0], shoonya_4s9F73HQZNWZM5, 5722663]
[paragraph, [558.0, 710.0, 432.0, 36.0], shoonya_4s9F73HQZNWZM5, 5722663]
[paragraph, [558.0, 746.0, 432.0, 36.0], shoonya_4s9F73HQZNWZM5, 5722663]
[paragraph, [558.0, 782.0, 432.0, 36.0], shoonya_4s9F73HQZNWZM5, 5722663]
[paragraph, [558.0, 818.0, 432.0, 36.0], shoonya_4s9F73HQZNWZM5, 5722663]
[paragraph, [558.0, 854.0, 432.0, 36.0], shoonya_4s9F73HQZNWZM5, 5722663]
[paragraph, [558.0, 890.0, 432.0, 36.0], shoonya_4s9F73HQZNWZM5, 5722663]
[paragraph, [558.0, 926.0, 432.0, 36.0], shoonya_4s9F73HQZNWZM5, 5722663]
[paragraph, [558.0, 962.0, 432.0, 36.0], shoonya_4s9F73HQZNWZM5, 5722663]
[paragraph, [558.0, 998.0, 432.0, 36.0], shoonya_4s9F73HQZNWZM5, 5722663]
[paragraph, [558.0, 1034.0, 432.0, 36.0], shoonya_4s9F73HQZNWZM5, 5722663]
[paragraph, [558.0, 1070.0, 432.0, 36.0], shoonya_4s9F73HQZNWZM5, 5722663]
[paragraph, [558.0, 1106.0, 432.0, 36.0], shoonya_4s9F73HQZNWZM5, 5722663]
[paragraph, [113.0, 174.0, 429.0, 36.0], shoonya_3s8S45CZFEW4MZ, 5722663]
[paragraph, [113.0, 210.0, 429.0, 36.0], shoonya_3s8S45CZFEW4MZ, 5722663]
[paragraph, [113.0, 246.0, 429.0, 36.0], shoonya_3s8S45CZFEW4MZ, 5722663]
[paragraph, [113.0, 282.0, 429.0, 36.0], shoonya_3s8S45CZFEW4MZ, 5722663]
[paragraph, [113.0, 318.0, 429.0, 36.0], shoonya_3s8S45CZFEW4MZ, 5722663]
[paragraph, [113.0, 354.0, 429.0, 36.0], shoonya_3s8S45CZFEW4MZ, 5722663]
[paragraph, [113.0, 390.0, 429.0, 36.0], shoonya_3s8S45CZFEW4MZ, 5722663]
[paragraph, [114.0, 466.0, 427.0, 36.0], shoonya_1sMQGZLN0Q7U7P, 5722663]
[paragraph, [114.0, 502.0, 427.0, 36.0], shoonya_1sMQGZLN0Q7U7P, 5722663]
[paragraph, [114.0, 538.0, 427.0, 36.0], shoonya_1sMQGZLN0Q7U7P, 5722663]
[paragraph, [114.0, 574.0, 427.0, 36.0], shoonya_1sMQGZLN0Q7U7P, 5722663]
[paragraph, [114.0, 610.0, 427.0, 36.0], shoonya_1sMQGZLN0Q7U7P, 5722663]
[paragraph, [114.0, 646.0, 427.0, 36.0], shoonya_1sMQGZLN0Q7U7P, 5722663]
[paragraph, [114.0, 682.0, 427.0, 36.0], shoonya_1sMQGZLN0Q7U7P, 5722663]
[paragraph, [114.0, 718.0, 427.0, 36.0], shoonya_1sMQGZLN0Q7U7P, 5722663]
[paragraph, [114.0, 754.0, 427.0, 36.0], shoonya_1sMQGZLN0Q7U7P, 5722663]
[paragraph, [114.0, 790.0, 427.0, 36.0], shoonya_1sMQGZLN0Q7U7P, 5722663]
[paragraph, [114.0, 826.0, 427.0, 36.0], shoonya_1sMQGZLN0Q7U7P, 5722663]
[paragraph, [112.0, 915.0, 428.0, 36.0], shoonya_0sBDYR84O0S60P, 5722663]
[paragraph, [112.0, 951.0, 428.0, 36.0], shoonya_0sBDYR84O0S60P, 5722663]
[paragraph, [112.0, 987.0, 428.0, 36.0], shoonya_0sBDYR84O0S60P, 5722663]
[paragraph, [112.0, 1023.0, 428.0, 36.0], shoonya_0sBDYR84O0S60P, 5722663]
[paragraph, [112.0, 1059.0, 428.0, 36.0], shoonya_0sBDYR84O0S60P, 5722663]
[paragraph, [112.0, 1095.0, 428.0, 36.0], shoonya_0sBDYR84O0S60P, 5722663]
[paragraph, [112.0, 1131.0, 428.0, 36.0], shoonya_0sBDYR84O0S60P, 5722663]
[paragraph, [112.0, 1167.0, 428.0, 36.0], shoonya_0sBDYR84O0S60P, 5722663]
[paragraph, [112.0, 1203.0, 428.0, 36.0], shoonya_0sBDYR84O0S60P, 5722663]
[paragraph, [112.0, 1239.0, 428.0, 36.0], shoonya_0sBDYR84O0S60P, 5722663]
[paragraph, [556.0, 1147.0, 427.0, 36.0], shoonya_2sFJR27T6ZJW1Z, 5722663]
[paragraph, [556.0, 1183.0, 427.0, 36.0], shoonya_2sFJR27T6ZJW1Z, 5722663]
[paragraph, [556.0, 1219.0, 427.0, 36.0], shoonya_2sFJR27T6ZJW1Z, 5722663]
[paragraph, [556.0, 1255.0, 427.0, 36.0], shoonya_2sFJR27T6ZJW1Z, 5722663]
[paragraph, [556.0, 1291.0, 427.0, 36.0], shoonya_2sFJR27T6ZJW1Z, 5722663]
[folio, [190.0, 1385.0, 421.0, 36.0], shoonya_10sEZ0A914SBZL, 5722663]
