[1164, 755]
[paragraph, [66.0, 77.0, 617.0, 18.0], shoonya_2sI4ZQ4X3WVS1G, 5692353]
[paragraph, [66.0, 95.0, 617.0, 18.0], shoonya_2sI4ZQ4X3WVS1G, 5692353]
[paragraph, [66.0, 113.0, 617.0, 18.0], shoonya_2sI4ZQ4X3WVS1G, 5692353]
[paragraph, [66.0, 131.0, 617.0, 18.0], shoonya_2sI4ZQ4X3WVS1G, 5692353]
[paragraph, [66.0, 149.0, 617.0, 18.0], shoonya_2sI4ZQ4X3WVS1G, 5692353]
[paragraph, [66.0, 167.0, 617.0, 18.0], shoonya_2sI4ZQ4X3WVS1G, 5692353]
[paragraph, [66.0, 185.0, 617.0, 18.0], shoonya_2sI4ZQ4X3WVS1G, 5692353]
[paragraph, [66.0, 203.0, 617.0, 18.0], shoonya_2sI4ZQ4X3WVS1G, 5692353]
[paragraph, [66.0, 221.0, 617.0, 18.0], shoonya_2sI4ZQ4X3WVS1G, 5692353]
[paragraph, [66.0, 239.0, 617.0, 18.0], shoonya_2sI4ZQ4X3WVS1G, 5692353]
[paragraph, [66.0, 257.0, 617.0, 18.0], shoonya_2sI4ZQ4X3WVS1G, 5692353]
[paragraph, [66.0, 275.0, 617.0, 18.0], shoonya_2sI4ZQ4X3WVS1G, 5692353]
[paragraph, [66.0, 293.0, 617.0, 18.0], shoonya_2sI4ZQ4X3WVS1G, 5692353]
[paragraph, [66.0, 311.0, 617.0, 18.0], shoonya_2sI4ZQ4X3WVS1G, 5692353]
[paragraph, [66.0, 329.0, 617.0, 18.0], shoonya_2sI4ZQ4X3WVS1G, 5692353]
[paragraph, [66.0, 347.0, 617.0, 18.0], shoonya_2sI4ZQ4X3WVS1G, 5692353]
[paragraph, [66.0, 365.0, 617.0, 18.0], shoonya_2sI4ZQ4X3WVS1G, 5692353]
[paragraph, [66.0, 383.0, 617.0, 18.0], shoonya_2sI4ZQ4X3WVS1G, 5692353]
[paragraph, [66.0, 401.0, 617.0, 18.0], shoonya_2sI4ZQ4X3WVS1G, 5692353]
[paragraph, [66.0, 419.0, 617.0, 18.0], shoonya_2sI4ZQ4X3WVS1G, 5692353]
[paragraph, [66.0, 437.0, 617.0, 18.0], shoonya_2sI4ZQ4X3WVS1G, 5692353]
[paragraph, [66.0, 455.0, 617.0, 18.0], shoonya_2sI4ZQ4X3WVS1G, 5692353]
[paragraph, [66.0, 473.0, 617.0, 18.0], shoonya_2sI4ZQ4X3WVS1G, 5692353]
[paragraph, [63.0, 507.0, 620.0, 18.0], shoonya_1s8SVOYJBYC6Z5, 5692353]
[paragraph, [63.0, 525.0, 620.0, 18.0], shoonya_1s8SVOYJBYC6Z5, 5692353]
[paragraph, [63.0, 543.0, 620.0, 18.0], shoonya_1s8SVOYJBYC6Z5, 5692353]
[paragraph, [108.0, 576.0, 380.0, 18.0], enWgwy9Ywr, 5692353]
[paragraph, [108.0, 594.0, 380.0, 18.0], enWgwy9Ywr, 5692353]
[paragraph, [67.0, 615.0, 622.0, 18.0], acMzvguGnP, 5692353]
[paragraph, [67.0, 633.0, 622.0, 18.0], acMzvguGnP, 5692353]
[paragraph, [67.0, 651.0, 622.0, 18.0], acMzvguGnP, 5692353]
[paragraph, [67.0, 669.0, 622.0, 18.0], acMzvguGnP, 5692353]
[paragraph, [67.0, 687.0, 622.0, 18.0], acMzvguGnP, 5692353]
[paragraph, [67.0, 705.0, 622.0, 18.0], acMzvguGnP, 5692353]
[paragraph, [64.0, 725.0, 622.0, 18.0], YBpp-xIu0z, 5692353]
[paragraph, [64.0, 743.0, 622.0, 18.0], YBpp-xIu0z, 5692353]
[paragraph, [64.0, 761.0, 622.0, 18.0], YBpp-xIu0z, 5692353]
[paragraph, [64.0, 779.0, 622.0, 18.0], YBpp-xIu0z, 5692353]
[paragraph, [64.0, 797.0, 622.0, 18.0], YBpp-xIu0z, 5692353]
[paragraph, [64.0, 815.0, 622.0, 18.0], YBpp-xIu0z, 5692353]
[paragraph, [64.0, 833.0, 622.0, 18.0], YBpp-xIu0z, 5692353]
[paragraph, [61.0, 868.0, 624.0, 18.0], _WWozgwdgB, 5692353]
[paragraph, [61.0, 886.0, 624.0, 18.0], _WWozgwdgB, 5692353]
[paragraph, [61.0, 904.0, 624.0, 18.0], _WWozgwdgB, 5692353]
[paragraph, [60.0, 939.0, 623.0, 18.0], aNexu0E6P9, 5692353]
[paragraph, [60.0, 957.0, 623.0, 18.0], aNexu0E6P9, 5692353]
[paragraph, [60.0, 975.0, 623.0, 18.0], aNexu0E6P9, 5692353]
