[1754, 1241]
[paragraph, [210.0, 145.0, 887.0, 36.0], h4ZR1y7FXk, 6470541]
[paragraph, [210.0, 181.0, 887.0, 36.0], h4ZR1y7FXk, 6470541]
[paragraph, [210.0, 217.0, 887.0, 36.0], h4ZR1y7FXk, 6470541]
[paragraph, [210.0, 253.0, 887.0, 36.0], h4ZR1y7FXk, 6470541]
[paragraph, [210.0, 289.0, 887.0, 36.0], h4ZR1y7FXk, 6470541]
[paragraph, [210.0, 325.0, 887.0, 36.0], h4ZR1y7FXk, 6470541]
[paragraph, [210.0, 361.0, 887.0, 36.0], h4ZR1y7FXk, 6470541]
[paragraph, [210.0, 397.0, 887.0, 36.0], h4ZR1y7FXk, 6470541]
[paragraph, [210.0, 433.0, 887.0, 36.0], h4ZR1y7FXk, 6470541]
[paragraph, [210.0, 469.0, 887.0, 36.0], h4ZR1y7FXk, 6470541]
[paragraph, [210.0, 505.0, 887.0, 36.0], h4ZR1y7FXk, 6470541]
[paragraph, [210.0, 541.0, 887.0, 36.0], h4ZR1y7FXk, 6470541]
[paragraph, [210.0, 577.0, 887.0, 36.0], h4ZR1y7FXk, 6470541]
[paragraph, [208.0, 659.0, 889.0, 36.0], shoonya_0s64MQTNW40NXI, 6470541]
[paragraph, [208.0, 695.0, 889.0, 36.0], shoonya_0s64MQTNW40NXI, 6470541]
[paragraph, [208.0, 731.0, 889.0, 36.0], shoonya_0s64MQTNW40NXI, 6470541]
[paragraph, [208.0, 767.0, 889.0, 36.0], shoonya_0s64MQTNW40NXI, 6470541]
[paragraph, [208.0, 803.0, 889.0, 36.0], shoonya_0s64MQTNW40NXI, 6470541]
[paragraph, [208.0, 839.0, 889.0, 36.0], shoonya_0s64MQTNW40NXI, 6470541]
[paragraph, [208.0, 875.0, 889.0, 36.0], shoonya_0s64MQTNW40NXI, 6470541]
[paragraph, [208.0, 911.0, 889.0, 36.0], shoonya_0s64MQTNW40NXI, 6470541]
[paragraph, [208.0, 947.0, 889.0, 36.0], shoonya_0s64MQTNW40NXI, 6470541]
[paragraph, [208.0, 983.0, 889.0, 36.0], shoonya_0s64MQTNW40NXI, 6470541]
[paragraph, [208.0, 1019.0, 889.0, 36.0], shoonya_0s64MQTNW40NXI, 6470541]
[paragraph, [208.0, 1055.0, 889.0, 36.0], shoonya_0s64MQTNW40NXI, 6470541]
[paragraph, [208.0, 1091.0, 889.0, 36.0], shoonya_0s64MQTNW40NXI, 6470541]
[paragraph, [208.0, 1127.0, 889.0, 36.0], shoonya_0s64MQTNW40NXI, 6470541]
[paragraph, [208.0, 1163.0, 889.0, 36.0], shoonya_0s64MQTNW40NXI, 6470541]
[paragraph, [208.0, 1199.0, 889.0, 36.0], shoonya_0s64MQTNW40NXI, 6470541]
[paragraph, [208.0, 1235.0, 889.0, 36.0], shoonya_0s64MQTNW40NXI, 6470541]
[paragraph, [212.0, 1317.0, 887.0, 36.0], oHaYGF-sT3, 6470541]
[paragraph, [212.0, 1353.0, 887.0, 36.0], oHaYGF-sT3, 6470541]
[paragraph, [212.0, 1389.0, 887.0, 36.0], oHaYGF-sT3, 6470541]
[paragraph, [212.0, 1425.0, 887.0, 36.0], oHaYGF-sT3, 6470541]
[paragraph, [212.0, 1461.0, 887.0, 36.0], oHaYGF-sT3, 6470541]
[paragraph, [212.0, 1497.0, 887.0, 36.0], oHaYGF-sT3, 6470541]
