[1275, 1650]
[folio, [216.0, 127.0, 560.0, 18.0], fAPjDpVKAX, 5763893]
[folio, [216.0, 145.0, 560.0, 18.0], fAPjDpVKAX, 5763893]
[folio, [216.0, 163.0, 560.0, 18.0], fAPjDpVKAX, 5763893]
[folio, [216.0, 181.0, 560.0, 18.0], fAPjDpVKAX, 5763893]
[folio, [216.0, 199.0, 560.0, 18.0], fAPjDpVKAX, 5763893]
[folio, [216.0, 217.0, 560.0, 18.0], fAPjDpVKAX, 5763893]
[folio, [216.0, 235.0, 560.0, 18.0], fAPjDpVKAX, 5763893]
[folio, [216.0, 253.0, 560.0, 18.0], fAPjDpVKAX, 5763893]
[folio, [216.0, 271.0, 560.0, 18.0], fAPjDpVKAX, 5763893]
[folio, [216.0, 289.0, 560.0, 18.0], fAPjDpVKAX, 5763893]
[second-level-question, [837.0, 245.0, 688.0, 18.0], 5ZNYxwmB7W, 5763893]
[second-level-question, [837.0, 263.0, 688.0, 18.0], 5ZNYxwmB7W, 5763893]
[second-level-question, [837.0, 281.0, 688.0, 18.0], 5ZNYxwmB7W, 5763893]
[second-level-question, [837.0, 299.0, 688.0, 18.0], 5ZNYxwmB7W, 5763893]
[second-level-question, [837.0, 317.0, 688.0, 18.0], 5ZNYxwmB7W, 5763893]
[second-level-question, [837.0, 335.0, 688.0, 18.0], 5ZNYxwmB7W, 5763893]
[second-level-question, [837.0, 353.0, 688.0, 18.0], 5ZNYxwmB7W, 5763893]
[second-level-question, [837.0, 371.0, 688.0, 18.0], 5ZNYxwmB7W, 5763893]
[second-level-question, [837.0, 389.0, 688.0, 18.0], 5ZNYxwmB7W, 5763893]
[second-level-question, [837.0, 407.0, 688.0, 18.0], 5ZNYxwmB7W, 5763893]
[second-level-question, [837.0, 425.0, 688.0, 18.0], 5ZNYxwmB7W, 5763893]
[second-level-question, [837.0, 443.0, 688.0, 18.0], 5ZNYxwmB7W, 5763893]
[second-level-question, [837.0, 461.0, 688.0, 18.0], 5ZNYxwmB7W, 5763893]
[second-level-question, [837.0, 479.0, 688.0, 18.0], 5ZNYxwmB7W, 5763893]
[second-level-question, [837.0, 497.0, 688.0, 18.0], 5ZNYxwmB7W, 5763893]
[second-level-question, [837.0, 515.0, 688.0, 18.0], 5ZNYxwmB7W, 5763893]
[second-level-question, [837.0, 533.0, 688.0, 18.0], 5ZNYxwmB7W, 5763893]
[second-level-question, [837.0, 551.0, 688.0, 18.0], 5ZNYxwmB7W, 5763893]
[second-level-question, [837.0, 569.0, 688.0, 18.0], 5ZNYxwmB7W, 5763893]
[sidebar, [84.0, 317.0, 127.0, 18.0], ISrZv2HWD_, 5763893]
[sidebar, [84.0, 335.0, 127.0, 18.0], ISrZv2HWD_, 5763893]
[sidebar, [548.0, 321.0, 235.0, 18.0], 78Rc3xui84, 5763893]
[sidebar, [680.0, 383.0, 121.0, 18.0], Ik9ES6TU9h, 5763893]
[sidebar, [680.0, 401.0, 121.0, 18.0], Ik9ES6TU9h, 5763893]
[sidebar, [680.0, 419.0, 121.0, 18.0], Ik9ES6TU9h, 5763893]
[sidebar, [680.0, 437.0, 121.0, 18.0], Ik9ES6TU9h, 5763893]
[sidebar, [680.0, 455.0, 121.0, 18.0], Ik9ES6TU9h, 5763893]
[second-level-question, [78.0, 478.0, 713.0, 18.0], ZL32ca9IxL, 5763893]
[second-level-question, [78.0, 496.0, 713.0, 18.0], ZL32ca9IxL, 5763893]
[second-level-question, [78.0, 514.0, 713.0, 18.0], ZL32ca9IxL, 5763893]
[second-level-question, [78.0, 532.0, 713.0, 18.0], ZL32ca9IxL, 5763893]
[second-level-question, [78.0, 550.0, 713.0, 18.0], ZL32ca9IxL, 5763893]
[second-level-question, [78.0, 568.0, 713.0, 18.0], ZL32ca9IxL, 5763893]
[second-level-question, [78.0, 586.0, 713.0, 18.0], ZL32ca9IxL, 5763893]
[second-level-question, [78.0, 604.0, 713.0, 18.0], ZL32ca9IxL, 5763893]
[second-level-question, [78.0, 622.0, 713.0, 18.0], ZL32ca9IxL, 5763893]
[second-level-question, [78.0, 640.0, 713.0, 18.0], ZL32ca9IxL, 5763893]
[second-level-question, [78.0, 658.0, 713.0, 18.0], ZL32ca9IxL, 5763893]
[second-level-question, [78.0, 676.0, 713.0, 18.0], ZL32ca9IxL, 5763893]
[second-level-question, [78.0, 694.0, 713.0, 18.0], ZL32ca9IxL, 5763893]
[second-level-question, [78.0, 712.0, 713.0, 18.0], ZL32ca9IxL, 5763893]
[second-level-question, [78.0, 730.0, 713.0, 18.0], ZL32ca9IxL, 5763893]
[second-level-question, [78.0, 748.0, 713.0, 18.0], ZL32ca9IxL, 5763893]
[second-level-question, [78.0, 766.0, 713.0, 18.0], ZL32ca9IxL, 5763893]
[second-level-question, [78.0, 784.0, 713.0, 18.0], ZL32ca9IxL, 5763893]
[second-level-question, [78.0, 802.0, 713.0, 18.0], ZL32ca9IxL, 5763893]
[second-level-question, [78.0, 820.0, 713.0, 18.0], ZL32ca9IxL, 5763893]
[second-level-question, [78.0, 838.0, 713.0, 18.0], ZL32ca9IxL, 5763893]
[second-level-question, [78.0, 856.0, 713.0, 18.0], ZL32ca9IxL, 5763893]
[second-level-question, [78.0, 874.0, 713.0, 18.0], ZL32ca9IxL, 5763893]
[second-level-question, [78.0, 892.0, 713.0, 18.0], ZL32ca9IxL, 5763893]
[second-level-question, [78.0, 910.0, 713.0, 18.0], ZL32ca9IxL, 5763893]
[second-level-question, [78.0, 928.0, 713.0, 18.0], ZL32ca9IxL, 5763893]
[second-level-question, [78.0, 946.0, 713.0, 18.0], ZL32ca9IxL, 5763893]
[second-level-question, [78.0, 964.0, 713.0, 18.0], ZL32ca9IxL, 5763893]
[second-level-question, [78.0, 982.0, 713.0, 18.0], ZL32ca9IxL, 5763893]
[second-level-question, [78.0, 1000.0, 713.0, 18.0], ZL32ca9IxL, 5763893]
[second-level-question, [78.0, 1018.0, 713.0, 18.0], ZL32ca9IxL, 5763893]
[second-level-question, [78.0, 1036.0, 713.0, 18.0], ZL32ca9IxL, 5763893]
[second-level-question, [78.0, 1054.0, 713.0, 18.0], ZL32ca9IxL, 5763893]
[folio, [1218.0, 1099.0, 379.0, 18.0], L2LVJsXT5V, 5763893]
[folio, [1218.0, 1117.0, 379.0, 18.0], L2LVJsXT5V, 5763893]
