[842, 595]
[paragraph, [356.0, 90.0, 186.0, 18.0], shoonya_1s4HLE6IZDP0TW, 5742741]
[paragraph, [356.0, 108.0, 186.0, 18.0], shoonya_1s4HLE6IZDP0TW, 5742741]
[paragraph, [356.0, 126.0, 186.0, 18.0], shoonya_1s4HLE6IZDP0TW, 5742741]
[paragraph, [356.0, 144.0, 186.0, 18.0], shoonya_1s4HLE6IZDP0TW, 5742741]
[paragraph, [356.0, 162.0, 186.0, 18.0], shoonya_1s4HLE6IZDP0TW, 5742741]
[paragraph, [356.0, 180.0, 186.0, 18.0], shoonya_1s4HLE6IZDP0TW, 5742741]
[paragraph, [356.0, 198.0, 186.0, 18.0], shoonya_1s4HLE6IZDP0TW, 5742741]
[paragraph, [356.0, 216.0, 186.0, 18.0], shoonya_1s4HLE6IZDP0TW, 5742741]
[paragraph, [356.0, 234.0, 186.0, 18.0], shoonya_1s4HLE6IZDP0TW, 5742741]
[paragraph, [356.0, 252.0, 186.0, 18.0], shoonya_1s4HLE6IZDP0TW, 5742741]
[paragraph, [266.0, 291.0, 275.0, 18.0], shoonya_0sCTL9LMFRMT9M, 5742741]
[paragraph, [266.0, 309.0, 275.0, 18.0], shoonya_0sCTL9LMFRMT9M, 5742741]
[paragraph, [266.0, 327.0, 275.0, 18.0], shoonya_0sCTL9LMFRMT9M, 5742741]
[paragraph, [266.0, 345.0, 275.0, 18.0], shoonya_0sCTL9LMFRMT9M, 5742741]
[paragraph, [266.0, 363.0, 275.0, 18.0], shoonya_0sCTL9LMFRMT9M, 5742741]
[paragraph, [266.0, 381.0, 275.0, 18.0], shoonya_0sCTL9LMFRMT9M, 5742741]
[paragraph, [266.0, 399.0, 275.0, 18.0], shoonya_0sCTL9LMFRMT9M, 5742741]
[paragraph, [49.0, 294.0, 86.0, 18.0], shoonya_4s3ZTODN1LL5HO, 5742741]
[paragraph, [49.0, 312.0, 86.0, 18.0], shoonya_4s3ZTODN1LL5HO, 5742741]
[paragraph, [49.0, 330.0, 86.0, 18.0], shoonya_4s3ZTODN1LL5HO, 5742741]
[paragraph, [49.0, 355.0, 213.0, 18.0], shoonya_3sW7BGHVY0JOZ1, 5742741]
[paragraph, [49.0, 373.0, 213.0, 18.0], shoonya_3sW7BGHVY0JOZ1, 5742741]
[paragraph, [49.0, 391.0, 213.0, 18.0], shoonya_3sW7BGHVY0JOZ1, 5742741]
[paragraph, [49.0, 409.0, 213.0, 18.0], shoonya_3sW7BGHVY0JOZ1, 5742741]
[paragraph, [49.0, 427.0, 213.0, 18.0], shoonya_3sW7BGHVY0JOZ1, 5742741]
[paragraph, [49.0, 445.0, 213.0, 18.0], shoonya_3sW7BGHVY0JOZ1, 5742741]
[paragraph, [49.0, 463.0, 213.0, 18.0], shoonya_3sW7BGHVY0JOZ1, 5742741]
[paragraph, [49.0, 481.0, 213.0, 18.0], shoonya_3sW7BGHVY0JOZ1, 5742741]
[paragraph, [49.0, 499.0, 213.0, 18.0], shoonya_3sW7BGHVY0JOZ1, 5742741]
[paragraph, [49.0, 517.0, 213.0, 18.0], shoonya_3sW7BGHVY0JOZ1, 5742741]
[paragraph, [49.0, 535.0, 213.0, 18.0], shoonya_3sW7BGHVY0JOZ1, 5742741]
[paragraph, [49.0, 553.0, 213.0, 18.0], shoonya_3sW7BGHVY0JOZ1, 5742741]
[paragraph, [49.0, 571.0, 213.0, 18.0], shoonya_3sW7BGHVY0JOZ1, 5742741]
[paragraph, [49.0, 589.0, 213.0, 18.0], shoonya_3sW7BGHVY0JOZ1, 5742741]
[paragraph, [49.0, 607.0, 213.0, 18.0], shoonya_3sW7BGHVY0JOZ1, 5742741]
[paragraph, [49.0, 625.0, 213.0, 18.0], shoonya_3sW7BGHVY0JOZ1, 5742741]
[paragraph, [49.0, 643.0, 213.0, 18.0], shoonya_3sW7BGHVY0JOZ1, 5742741]
[paragraph, [49.0, 661.0, 213.0, 18.0], shoonya_3sW7BGHVY0JOZ1, 5742741]
[paragraph, [49.0, 679.0, 213.0, 18.0], shoonya_3sW7BGHVY0JOZ1, 5742741]
[paragraph, [49.0, 697.0, 213.0, 18.0], shoonya_3sW7BGHVY0JOZ1, 5742741]
[paragraph, [49.0, 715.0, 213.0, 18.0], shoonya_3sW7BGHVY0JOZ1, 5742741]
