[1162, 749]
[folio, [324.0, 75.0, 87.0, 18.0], shoonya_6sXSYNYPLONOVQ, 5699373]
[paragraph, [78.0, 118.0, 596.0, 18.0], shoonya_4s9XVNNGRBLV9O, 5699373]
[paragraph, [78.0, 136.0, 596.0, 18.0], shoonya_4s9XVNNGRBLV9O, 5699373]
[paragraph, [78.0, 154.0, 596.0, 18.0], shoonya_4s9XVNNGRBLV9O, 5699373]
[paragraph, [78.0, 172.0, 596.0, 18.0], shoonya_4s9XVNNGRBLV9O, 5699373]
[paragraph, [78.0, 190.0, 596.0, 18.0], shoonya_4s9XVNNGRBLV9O, 5699373]
[paragraph, [78.0, 225.0, 595.0, 18.0], shoonya_2sDOJ6QTVNI367, 5699373]
[paragraph, [78.0, 243.0, 595.0, 18.0], shoonya_2sDOJ6QTVNI367, 5699373]
[paragraph, [78.0, 261.0, 595.0, 18.0], shoonya_2sDOJ6QTVNI367, 5699373]
[paragraph, [78.0, 279.0, 595.0, 18.0], shoonya_2sDOJ6QTVNI367, 5699373]
[paragraph, [78.0, 297.0, 595.0, 18.0], shoonya_2sDOJ6QTVNI367, 5699373]
[paragraph, [78.0, 315.0, 595.0, 18.0], shoonya_2sDOJ6QTVNI367, 5699373]
[paragraph, [78.0, 333.0, 595.0, 18.0], shoonya_2sDOJ6QTVNI367, 5699373]
[paragraph, [77.0, 363.0, 597.0, 18.0], shoonya_0sV4ODOJTODQ8B, 5699373]
[paragraph, [77.0, 381.0, 597.0, 18.0], shoonya_0sV4ODOJTODQ8B, 5699373]
[paragraph, [77.0, 399.0, 597.0, 18.0], shoonya_0sV4ODOJTODQ8B, 5699373]
[paragraph, [77.0, 417.0, 597.0, 18.0], shoonya_0sV4ODOJTODQ8B, 5699373]
[paragraph, [77.0, 435.0, 597.0, 18.0], shoonya_0sV4ODOJTODQ8B, 5699373]
[paragraph, [77.0, 453.0, 597.0, 18.0], shoonya_0sV4ODOJTODQ8B, 5699373]
[paragraph, [77.0, 471.0, 597.0, 18.0], shoonya_0sV4ODOJTODQ8B, 5699373]
[paragraph, [77.0, 489.0, 597.0, 18.0], shoonya_0sV4ODOJTODQ8B, 5699373]
[paragraph, [77.0, 507.0, 597.0, 18.0], shoonya_0sV4ODOJTODQ8B, 5699373]
[paragraph, [77.0, 525.0, 597.0, 18.0], shoonya_0sV4ODOJTODQ8B, 5699373]
[paragraph, [77.0, 543.0, 597.0, 18.0], shoonya_0sV4ODOJTODQ8B, 5699373]
[paragraph, [77.0, 561.0, 597.0, 18.0], shoonya_0sV4ODOJTODQ8B, 5699373]
[paragraph, [77.0, 579.0, 597.0, 18.0], shoonya_0sV4ODOJTODQ8B, 5699373]
[paragraph, [77.0, 597.0, 597.0, 18.0], shoonya_0sV4ODOJTODQ8B, 5699373]
[paragraph, [77.0, 615.0, 597.0, 18.0], shoonya_0sV4ODOJTODQ8B, 5699373]
[paragraph, [77.0, 633.0, 597.0, 18.0], shoonya_0sV4ODOJTODQ8B, 5699373]
[paragraph, [77.0, 651.0, 597.0, 18.0], shoonya_0sV4ODOJTODQ8B, 5699373]
[paragraph, [77.0, 669.0, 597.0, 18.0], shoonya_0sV4ODOJTODQ8B, 5699373]
[paragraph, [77.0, 709.0, 593.0, 18.0], shoonya_1sATQDIM3LML7K, 5699373]
[paragraph, [77.0, 727.0, 593.0, 18.0], shoonya_1sATQDIM3LML7K, 5699373]
[paragraph, [77.0, 745.0, 593.0, 18.0], shoonya_1sATQDIM3LML7K, 5699373]
[paragraph, [77.0, 763.0, 593.0, 18.0], shoonya_1sATQDIM3LML7K, 5699373]
[paragraph, [77.0, 781.0, 593.0, 18.0], shoonya_1sATQDIM3LML7K, 5699373]
[paragraph, [77.0, 799.0, 593.0, 18.0], shoonya_1sATQDIM3LML7K, 5699373]
[paragraph, [77.0, 817.0, 593.0, 18.0], shoonya_1sATQDIM3LML7K, 5699373]
[paragraph, [77.0, 835.0, 593.0, 18.0], shoonya_1sATQDIM3LML7K, 5699373]
[paragraph, [77.0, 853.0, 593.0, 18.0], shoonya_1sATQDIM3LML7K, 5699373]
[paragraph, [77.0, 871.0, 593.0, 18.0], shoonya_1sATQDIM3LML7K, 5699373]
[paragraph, [77.0, 889.0, 593.0, 18.0], shoonya_1sATQDIM3LML7K, 5699373]
[paragraph, [77.0, 907.0, 593.0, 18.0], shoonya_1sATQDIM3LML7K, 5699373]
[paragraph, [77.0, 925.0, 593.0, 18.0], shoonya_1sATQDIM3LML7K, 5699373]
[paragraph, [77.0, 943.0, 593.0, 18.0], shoonya_1sATQDIM3LML7K, 5699373]
[footnote, [72.0, 1037.0, 596.0, 18.0], shoonya_3sAALSOLPEFKQR, 5699373]
[footnote, [72.0, 1055.0, 596.0, 18.0], shoonya_3sAALSOLPEFKQR, 5699373]
