[2339, 1656]
[paragraph, [289.0, 187.0, 1175.0, 36.0], shoonya_0sS2848OR4TQP7, 5731416]
[paragraph, [289.0, 223.0, 1175.0, 36.0], shoonya_0sS2848OR4TQP7, 5731416]
[paragraph, [289.0, 259.0, 1175.0, 36.0], shoonya_0sS2848OR4TQP7, 5731416]
[paragraph, [289.0, 295.0, 1175.0, 36.0], shoonya_0sS2848OR4TQP7, 5731416]
[paragraph, [289.0, 331.0, 1175.0, 36.0], shoonya_0sS2848OR4TQP7, 5731416]
[paragraph, [289.0, 367.0, 1175.0, 36.0], shoonya_0sS2848OR4TQP7, 5731416]
[paragraph, [289.0, 403.0, 1175.0, 36.0], shoonya_0sS2848OR4TQP7, 5731416]
[paragraph, [289.0, 439.0, 1175.0, 36.0], shoonya_0sS2848OR4TQP7, 5731416]
[paragraph, [289.0, 475.0, 1175.0, 36.0], shoonya_0sS2848OR4TQP7, 5731416]
[paragraph, [289.0, 511.0, 1175.0, 36.0], shoonya_0sS2848OR4TQP7, 5731416]
[paragraph, [289.0, 547.0, 1175.0, 36.0], shoonya_0sS2848OR4TQP7, 5731416]
[paragraph, [289.0, 583.0, 1175.0, 36.0], shoonya_0sS2848OR4TQP7, 5731416]
[paragraph, [289.0, 619.0, 1175.0, 36.0], shoonya_0sS2848OR4TQP7, 5731416]
[paragraph, [289.0, 655.0, 1175.0, 36.0], shoonya_0sS2848OR4TQP7, 5731416]
[paragraph, [289.0, 691.0, 1175.0, 36.0], shoonya_0sS2848OR4TQP7, 5731416]
[paragraph, [289.0, 727.0, 1175.0, 36.0], shoonya_0sS2848OR4TQP7, 5731416]
[paragraph, [289.0, 763.0, 1175.0, 36.0], shoonya_0sS2848OR4TQP7, 5731416]
[paragraph, [289.0, 799.0, 1175.0, 36.0], shoonya_0sS2848OR4TQP7, 5731416]
[paragraph, [289.0, 835.0, 1175.0, 36.0], shoonya_0sS2848OR4TQP7, 5731416]
[paragraph, [289.0, 871.0, 1175.0, 36.0], shoonya_0sS2848OR4TQP7, 5731416]
[paragraph, [289.0, 907.0, 1175.0, 36.0], shoonya_0sS2848OR4TQP7, 5731416]
[paragraph, [289.0, 943.0, 1175.0, 36.0], shoonya_0sS2848OR4TQP7, 5731416]
[paragraph, [289.0, 979.0, 1175.0, 36.0], shoonya_0sS2848OR4TQP7, 5731416]
[paragraph, [289.0, 1015.0, 1175.0, 36.0], shoonya_0sS2848OR4TQP7, 5731416]
[paragraph, [289.0, 1051.0, 1175.0, 36.0], shoonya_0sS2848OR4TQP7, 5731416]
[paragraph, [289.0, 1087.0, 1175.0, 36.0], shoonya_0sS2848OR4TQP7, 5731416]
[paragraph, [289.0, 1123.0, 1175.0, 36.0], shoonya_0sS2848OR4TQP7, 5731416]
[paragraph, [289.0, 1159.0, 1175.0, 36.0], shoonya_0sS2848OR4TQP7, 5731416]
[paragraph, [289.0, 1195.0, 1175.0, 36.0], shoonya_0sS2848OR4TQP7, 5731416]
[paragraph, [289.0, 1231.0, 1175.0, 36.0], shoonya_0sS2848OR4TQP7, 5731416]
[paragraph, [289.0, 1267.0, 1175.0, 36.0], shoonya_0sS2848OR4TQP7, 5731416]
[paragraph, [289.0, 1303.0, 1175.0, 36.0], shoonya_0sS2848OR4TQP7, 5731416]
[paragraph, [289.0, 1339.0, 1175.0, 36.0], shoonya_0sS2848OR4TQP7, 5731416]
[paragraph, [289.0, 1375.0, 1175.0, 36.0], shoonya_0sS2848OR4TQP7, 5731416]
[paragraph, [289.0, 1411.0, 1175.0, 36.0], shoonya_0sS2848OR4TQP7, 5731416]
[paragraph, [289.0, 1447.0, 1175.0, 36.0], shoonya_0sS2848OR4TQP7, 5731416]
[paragraph, [289.0, 1483.0, 1175.0, 36.0], shoonya_0sS2848OR4TQP7, 5731416]
[paragraph, [289.0, 1519.0, 1175.0, 36.0], shoonya_0sS2848OR4TQP7, 5731416]
[paragraph, [289.0, 1555.0, 1175.0, 36.0], shoonya_0sS2848OR4TQP7, 5731416]
[paragraph, [289.0, 1591.0, 1175.0, 36.0], shoonya_0sS2848OR4TQP7, 5731416]
[paragraph, [289.0, 1627.0, 1175.0, 36.0], shoonya_0sS2848OR4TQP7, 5731416]
[paragraph, [289.0, 1663.0, 1175.0, 36.0], shoonya_0sS2848OR4TQP7, 5731416]
[paragraph, [289.0, 1699.0, 1175.0, 36.0], shoonya_0sS2848OR4TQP7, 5731416]
[paragraph, [289.0, 1735.0, 1175.0, 36.0], shoonya_0sS2848OR4TQP7, 5731416]
[paragraph, [282.0, 1843.0, 1186.0, 36.0], shoonya_1sO6UNNUAO39E5, 5731416]
[paragraph, [282.0, 1879.0, 1186.0, 36.0], shoonya_1sO6UNNUAO39E5, 5731416]
[paragraph, [282.0, 1915.0, 1186.0, 36.0], shoonya_1sO6UNNUAO39E5, 5731416]
[paragraph, [282.0, 1951.0, 1186.0, 36.0], shoonya_1sO6UNNUAO39E5, 5731416]
[paragraph, [282.0, 1987.0, 1186.0, 36.0], shoonya_1sO6UNNUAO39E5, 5731416]
[paragraph, [282.0, 2023.0, 1186.0, 36.0], shoonya_1sO6UNNUAO39E5, 5731416]
