[1565, 1152]
[answer, [721.0, 119.0, 304.0, 36.0], shoonya_2s6NZTXPR4MMT9, 5713259]
[answer, [721.0, 155.0, 304.0, 36.0], shoonya_2s6NZTXPR4MMT9, 5713259]
[answer, [721.0, 191.0, 304.0, 36.0], shoonya_2s6NZTXPR4MMT9, 5713259]
[answer, [721.0, 227.0, 304.0, 36.0], shoonya_2s6NZTXPR4MMT9, 5713259]
[answer, [721.0, 263.0, 304.0, 36.0], shoonya_2s6NZTXPR4MMT9, 5713259]
[answer, [721.0, 299.0, 304.0, 36.0], shoonya_2s6NZTXPR4MMT9, 5713259]
[answer, [721.0, 335.0, 304.0, 36.0], shoonya_2s6NZTXPR4MMT9, 5713259]
[answer, [721.0, 371.0, 304.0, 36.0], shoonya_2s6NZTXPR4MMT9, 5713259]
[answer, [721.0, 407.0, 304.0, 36.0], shoonya_2s6NZTXPR4MMT9, 5713259]
[answer, [721.0, 443.0, 304.0, 36.0], shoonya_2s6NZTXPR4MMT9, 5713259]
[answer, [721.0, 479.0, 304.0, 36.0], shoonya_2s6NZTXPR4MMT9, 5713259]
[answer, [721.0, 515.0, 304.0, 36.0], shoonya_2s6NZTXPR4MMT9, 5713259]
[answer, [721.0, 551.0, 304.0, 36.0], shoonya_2s6NZTXPR4MMT9, 5713259]
[answer, [721.0, 587.0, 304.0, 36.0], shoonya_2s6NZTXPR4MMT9, 5713259]
[answer, [721.0, 623.0, 304.0, 36.0], shoonya_2s6NZTXPR4MMT9, 5713259]
[answer, [721.0, 659.0, 304.0, 36.0], shoonya_2s6NZTXPR4MMT9, 5713259]
[answer, [721.0, 695.0, 304.0, 36.0], shoonya_2s6NZTXPR4MMT9, 5713259]
[answer, [721.0, 731.0, 304.0, 36.0], shoonya_2s6NZTXPR4MMT9, 5713259]
[answer, [721.0, 767.0, 304.0, 36.0], shoonya_2s6NZTXPR4MMT9, 5713259]
[answer, [721.0, 803.0, 304.0, 36.0], shoonya_2s6NZTXPR4MMT9, 5713259]
[answer, [721.0, 839.0, 304.0, 36.0], shoonya_2s6NZTXPR4MMT9, 5713259]
[answer, [420.0, 121.0, 299.0, 36.0], shoonya_9sKGL80T63VFD4, 5713259]
[answer, [420.0, 157.0, 299.0, 36.0], shoonya_9sKGL80T63VFD4, 5713259]
[answer, [420.0, 193.0, 299.0, 36.0], shoonya_9sKGL80T63VFD4, 5713259]
[answer, [420.0, 229.0, 299.0, 36.0], shoonya_9sKGL80T63VFD4, 5713259]
