[2339, 1653]
[paragraph, [248.0, 245.0, 1154.0, 36.0], shoonya_0s19ML7PF402KC, 5685830]
[paragraph, [248.0, 281.0, 1154.0, 36.0], shoonya_0s19ML7PF402KC, 5685830]
[paragraph, [248.0, 317.0, 1154.0, 36.0], shoonya_0s19ML7PF402KC, 5685830]
[paragraph, [248.0, 353.0, 1154.0, 36.0], shoonya_0s19ML7PF402KC, 5685830]
[paragraph, [248.0, 389.0, 1154.0, 36.0], shoonya_0s19ML7PF402KC, 5685830]
[paragraph, [248.0, 425.0, 1154.0, 36.0], shoonya_0s19ML7PF402KC, 5685830]
[paragraph, [248.0, 461.0, 1154.0, 36.0], shoonya_0s19ML7PF402KC, 5685830]
[paragraph, [248.0, 497.0, 1154.0, 36.0], shoonya_0s19ML7PF402KC, 5685830]
[paragraph, [248.0, 533.0, 1154.0, 36.0], shoonya_0s19ML7PF402KC, 5685830]
[paragraph, [248.0, 569.0, 1154.0, 36.0], shoonya_0s19ML7PF402KC, 5685830]
[paragraph, [248.0, 605.0, 1154.0, 36.0], shoonya_0s19ML7PF402KC, 5685830]
[paragraph, [248.0, 641.0, 1154.0, 36.0], shoonya_0s19ML7PF402KC, 5685830]
[paragraph, [254.0, 711.0, 1148.0, 36.0], shoonya_3sY6IAV862V32E, 5685830]
[paragraph, [254.0, 747.0, 1148.0, 36.0], shoonya_3sY6IAV862V32E, 5685830]
[paragraph, [254.0, 783.0, 1148.0, 36.0], shoonya_3sY6IAV862V32E, 5685830]
[paragraph, [254.0, 819.0, 1148.0, 36.0], shoonya_3sY6IAV862V32E, 5685830]
[paragraph, [254.0, 855.0, 1148.0, 36.0], shoonya_3sY6IAV862V32E, 5685830]
[paragraph, [254.0, 891.0, 1148.0, 36.0], shoonya_3sY6IAV862V32E, 5685830]
[paragraph, [254.0, 927.0, 1148.0, 36.0], shoonya_3sY6IAV862V32E, 5685830]
[paragraph, [247.0, 978.0, 1159.0, 36.0], shoonya_1sQFJ7MC1DTNM6, 5685830]
[paragraph, [247.0, 1014.0, 1159.0, 36.0], shoonya_1sQFJ7MC1DTNM6, 5685830]
[paragraph, [247.0, 1050.0, 1159.0, 36.0], shoonya_1sQFJ7MC1DTNM6, 5685830]
[paragraph, [247.0, 1086.0, 1159.0, 36.0], shoonya_1sQFJ7MC1DTNM6, 5685830]
[paragraph, [247.0, 1122.0, 1159.0, 36.0], shoonya_1sQFJ7MC1DTNM6, 5685830]
[paragraph, [247.0, 1158.0, 1159.0, 36.0], shoonya_1sQFJ7MC1DTNM6, 5685830]
[paragraph, [247.0, 1194.0, 1159.0, 36.0], shoonya_1sQFJ7MC1DTNM6, 5685830]
[paragraph, [247.0, 1230.0, 1159.0, 36.0], shoonya_1sQFJ7MC1DTNM6, 5685830]
[paragraph, [247.0, 1266.0, 1159.0, 36.0], shoonya_1sQFJ7MC1DTNM6, 5685830]
[paragraph, [247.0, 1302.0, 1159.0, 36.0], shoonya_1sQFJ7MC1DTNM6, 5685830]
[paragraph, [247.0, 1338.0, 1159.0, 36.0], shoonya_1sQFJ7MC1DTNM6, 5685830]
[paragraph, [247.0, 1374.0, 1159.0, 36.0], shoonya_1sQFJ7MC1DTNM6, 5685830]
[paragraph, [247.0, 1410.0, 1159.0, 36.0], shoonya_1sQFJ7MC1DTNM6, 5685830]
[paragraph, [247.0, 1446.0, 1159.0, 36.0], shoonya_1sQFJ7MC1DTNM6, 5685830]
[paragraph, [247.0, 1482.0, 1159.0, 36.0], shoonya_1sQFJ7MC1DTNM6, 5685830]
[paragraph, [247.0, 1518.0, 1159.0, 36.0], shoonya_1sQFJ7MC1DTNM6, 5685830]
[paragraph, [247.0, 1554.0, 1159.0, 36.0], shoonya_1sQFJ7MC1DTNM6, 5685830]
[paragraph, [247.0, 1590.0, 1159.0, 36.0], shoonya_1sQFJ7MC1DTNM6, 5685830]
[paragraph, [247.0, 1626.0, 1159.0, 36.0], shoonya_1sQFJ7MC1DTNM6, 5685830]
[paragraph, [247.0, 1662.0, 1159.0, 36.0], shoonya_1sQFJ7MC1DTNM6, 5685830]
[paragraph, [247.0, 1698.0, 1159.0, 36.0], shoonya_1sQFJ7MC1DTNM6, 5685830]
[paragraph, [247.0, 1734.0, 1159.0, 36.0], shoonya_1sQFJ7MC1DTNM6, 5685830]
[paragraph, [247.0, 1770.0, 1159.0, 36.0], shoonya_1sQFJ7MC1DTNM6, 5685830]
[paragraph, [251.0, 1850.0, 1153.0, 36.0], shoonya_2sK8PU69V3J0R6, 5685830]
[paragraph, [251.0, 1886.0, 1153.0, 36.0], shoonya_2sK8PU69V3J0R6, 5685830]
[paragraph, [251.0, 1922.0, 1153.0, 36.0], shoonya_2sK8PU69V3J0R6, 5685830]
[paragraph, [251.0, 1958.0, 1153.0, 36.0], shoonya_2sK8PU69V3J0R6, 5685830]
[paragraph, [251.0, 1994.0, 1153.0, 36.0], shoonya_2sK8PU69V3J0R6, 5685830]
[paragraph, [251.0, 2030.0, 1153.0, 36.0], shoonya_2sK8PU69V3J0R6, 5685830]
