[2103, 1391]
[chapter-title, [294.0, 46.0, 733.0, 70.5], shoonya_4s67U21A3DZDEV, 5654491]
[paragraph, [30.0, 161.0, 619.0, 36.0], shoonya_1sMJEU0OBGR2AO, 5654491]
[paragraph, [30.0, 197.0, 619.0, 36.0], shoonya_1sMJEU0OBGR2AO, 5654491]
[paragraph, [30.0, 233.0, 619.0, 36.0], shoonya_1sMJEU0OBGR2AO, 5654491]
[paragraph, [30.0, 269.0, 619.0, 36.0], shoonya_1sMJEU0OBGR2AO, 5654491]
[paragraph, [30.0, 305.0, 619.0, 36.0], shoonya_1sMJEU0OBGR2AO, 5654491]
[paragraph, [30.0, 341.0, 619.0, 36.0], shoonya_1sMJEU0OBGR2AO, 5654491]
[paragraph, [30.0, 377.0, 619.0, 36.0], shoonya_1sMJEU0OBGR2AO, 5654491]
[paragraph, [30.0, 413.0, 619.0, 36.0], shoonya_1sMJEU0OBGR2AO, 5654491]
[paragraph, [30.0, 449.0, 619.0, 36.0], shoonya_1sMJEU0OBGR2AO, 5654491]
[paragraph, [30.0, 485.0, 619.0, 36.0], shoonya_1sMJEU0OBGR2AO, 5654491]
[paragraph, [30.0, 521.0, 619.0, 36.0], shoonya_1sMJEU0OBGR2AO, 5654491]
[paragraph, [30.0, 557.0, 619.0, 36.0], shoonya_1sMJEU0OBGR2AO, 5654491]
[paragraph, [30.0, 593.0, 619.0, 36.0], shoonya_1sMJEU0OBGR2AO, 5654491]
[paragraph, [30.0, 629.0, 619.0, 36.0], shoonya_1sMJEU0OBGR2AO, 5654491]
[paragraph, [30.0, 665.0, 619.0, 36.0], shoonya_1sMJEU0OBGR2AO, 5654491]
[paragraph, [30.0, 701.0, 619.0, 36.0], shoonya_1sMJEU0OBGR2AO, 5654491]
[paragraph, [30.0, 737.0, 619.0, 36.0], shoonya_1sMJEU0OBGR2AO, 5654491]
[paragraph, [30.0, 773.0, 619.0, 36.0], shoonya_1sMJEU0OBGR2AO, 5654491]
[paragraph, [656.0, 173.0, 637.0, 36.0], vjmwbeX_Rt, 5654491]
[paragraph, [656.0, 209.0, 637.0, 36.0], vjmwbeX_Rt, 5654491]
[paragraph, [656.0, 245.0, 637.0, 36.0], vjmwbeX_Rt, 5654491]
[paragraph, [656.0, 281.0, 637.0, 36.0], vjmwbeX_Rt, 5654491]
[paragraph, [656.0, 317.0, 637.0, 36.0], vjmwbeX_Rt, 5654491]
[paragraph, [656.0, 353.0, 637.0, 36.0], vjmwbeX_Rt, 5654491]
