[1818, 1374]
[paragraph, [695.0, 214.0, 563.0, 36.0], shoonya_4sIJ5WYV78SDKQ, 5682822]
[paragraph, [695.0, 250.0, 563.0, 36.0], shoonya_4sIJ5WYV78SDKQ, 5682822]
[paragraph, [695.0, 286.0, 563.0, 36.0], shoonya_4sIJ5WYV78SDKQ, 5682822]
[paragraph, [695.0, 322.0, 563.0, 36.0], shoonya_4sIJ5WYV78SDKQ, 5682822]
[paragraph, [695.0, 358.0, 563.0, 36.0], shoonya_4sIJ5WYV78SDKQ, 5682822]
[paragraph, [147.0, 297.0, 501.0, 36.0], shoonya_3sGT71IR2GGR1T, 5682822]
[paragraph, [112.0, 384.0, 551.0, 36.0], bnur_GTXE3, 5682822]
[paragraph, [112.0, 420.0, 551.0, 36.0], bnur_GTXE3, 5682822]
[paragraph, [695.0, 426.0, 566.0, 36.0], shoonya_0sGJMCR5PS4CEM, 5682822]
[paragraph, [695.0, 462.0, 566.0, 36.0], shoonya_0sGJMCR5PS4CEM, 5682822]
[paragraph, [695.0, 498.0, 566.0, 36.0], shoonya_0sGJMCR5PS4CEM, 5682822]
[paragraph, [695.0, 534.0, 566.0, 36.0], shoonya_0sGJMCR5PS4CEM, 5682822]
[paragraph, [139.0, 509.0, 510.0, 36.0], zv3uJWZxmz, 5682822]
[paragraph, [110.0, 550.0, 554.0, 36.0], gOYfxIusLD, 5682822]
[paragraph, [110.0, 586.0, 554.0, 36.0], gOYfxIusLD, 5682822]
[paragraph, [110.0, 622.0, 554.0, 36.0], gOYfxIusLD, 5682822]
[paragraph, [110.0, 658.0, 554.0, 36.0], gOYfxIusLD, 5682822]
[paragraph, [695.0, 591.0, 565.0, 36.0], GjRVAlJsoz, 5682822]
[paragraph, [695.0, 627.0, 565.0, 36.0], GjRVAlJsoz, 5682822]
[paragraph, [694.0, 676.0, 564.0, 36.0], GYT4bQPfut, 5682822]
[paragraph, [694.0, 712.0, 564.0, 36.0], GYT4bQPfut, 5682822]
[paragraph, [694.0, 748.0, 564.0, 36.0], GYT4bQPfut, 5682822]
[paragraph, [694.0, 784.0, 564.0, 36.0], GYT4bQPfut, 5682822]
[paragraph, [694.0, 820.0, 564.0, 36.0], GYT4bQPfut, 5682822]
[paragraph, [694.0, 856.0, 564.0, 36.0], GYT4bQPfut, 5682822]
[paragraph, [103.0, 719.0, 564.0, 36.0], wh2tNks2bX, 5682822]
[paragraph, [103.0, 755.0, 564.0, 36.0], wh2tNks2bX, 5682822]
[paragraph, [103.0, 791.0, 564.0, 36.0], wh2tNks2bX, 5682822]
[paragraph, [103.0, 827.0, 564.0, 36.0], wh2tNks2bX, 5682822]
[paragraph, [103.0, 863.0, 564.0, 36.0], wh2tNks2bX, 5682822]
[paragraph, [103.0, 899.0, 564.0, 36.0], wh2tNks2bX, 5682822]
[paragraph, [103.0, 935.0, 564.0, 36.0], wh2tNks2bX, 5682822]
[paragraph, [697.0, 926.0, 565.0, 36.0], shoonya_2sN8ZFB2UOK68Y, 5682822]
[paragraph, [697.0, 962.0, 565.0, 36.0], shoonya_2sN8ZFB2UOK68Y, 5682822]
[paragraph, [697.0, 998.0, 565.0, 36.0], shoonya_2sN8ZFB2UOK68Y, 5682822]
[paragraph, [697.0, 1034.0, 565.0, 36.0], shoonya_2sN8ZFB2UOK68Y, 5682822]
[paragraph, [697.0, 1070.0, 565.0, 36.0], shoonya_2sN8ZFB2UOK68Y, 5682822]
[paragraph, [697.0, 1106.0, 565.0, 36.0], shoonya_2sN8ZFB2UOK68Y, 5682822]
[paragraph, [697.0, 1142.0, 565.0, 36.0], shoonya_2sN8ZFB2UOK68Y, 5682822]
[paragraph, [697.0, 1178.0, 565.0, 36.0], shoonya_2sN8ZFB2UOK68Y, 5682822]
[paragraph, [104.0, 1010.0, 564.0, 36.0], TdIX3gwg-5, 5682822]
[paragraph, [104.0, 1046.0, 564.0, 36.0], TdIX3gwg-5, 5682822]
[paragraph, [104.0, 1082.0, 564.0, 36.0], TdIX3gwg-5, 5682822]
[paragraph, [112.0, 1132.0, 556.0, 36.0], 2q4zJuguSl, 5682822]
[paragraph, [112.0, 1168.0, 556.0, 36.0], 2q4zJuguSl, 5682822]
[paragraph, [112.0, 1204.0, 556.0, 36.0], 2q4zJuguSl, 5682822]
[paragraph, [111.0, 1260.0, 559.0, 36.0], shoonya_7sYSFAY8007YTK, 5682822]
[paragraph, [111.0, 1296.0, 559.0, 36.0], shoonya_7sYSFAY8007YTK, 5682822]
[paragraph, [111.0, 1332.0, 559.0, 36.0], shoonya_7sYSFAY8007YTK, 5682822]
[paragraph, [111.0, 1368.0, 559.0, 36.0], shoonya_7sYSFAY8007YTK, 5682822]
[paragraph, [111.0, 1404.0, 559.0, 36.0], shoonya_7sYSFAY8007YTK, 5682822]
[paragraph, [111.0, 1440.0, 559.0, 36.0], shoonya_7sYSFAY8007YTK, 5682822]
[paragraph, [111.0, 1476.0, 559.0, 36.0], shoonya_7sYSFAY8007YTK, 5682822]
[paragraph, [111.0, 1512.0, 559.0, 36.0], shoonya_7sYSFAY8007YTK, 5682822]
[paragraph, [111.0, 1548.0, 559.0, 36.0], shoonya_7sYSFAY8007YTK, 5682822]
[paragraph, [700.0, 1333.0, 572.0, 36.0], shoonya_6s64CTO5F0TF4Q, 5682822]
[paragraph, [700.0, 1369.0, 572.0, 36.0], shoonya_6s64CTO5F0TF4Q, 5682822]
[paragraph, [700.0, 1405.0, 572.0, 36.0], shoonya_6s64CTO5F0TF4Q, 5682822]
[paragraph, [700.0, 1441.0, 572.0, 36.0], shoonya_6s64CTO5F0TF4Q, 5682822]
[paragraph, [700.0, 1477.0, 572.0, 36.0], shoonya_6s64CTO5F0TF4Q, 5682822]
[paragraph, [700.0, 1513.0, 572.0, 36.0], shoonya_6s64CTO5F0TF4Q, 5682822]
[paragraph, [701.0, 1588.0, 566.0, 36.0], shoonya_5s6ZM5QS4GTOV2, 5682822]
[paragraph, [701.0, 1624.0, 566.0, 36.0], shoonya_5s6ZM5QS4GTOV2, 5682822]
[paragraph, [121.0, 1598.0, 552.0, 36.0], shoonya_8sGRV2425VF20H, 5682822]
[paragraph, [121.0, 1634.0, 552.0, 36.0], shoonya_8sGRV2425VF20H, 5682822]
[paragraph, [121.0, 1670.0, 552.0, 36.0], shoonya_8sGRV2425VF20H, 5682822]
[paragraph, [739.0, 1671.0, 476.0, 36.0], i8UOOU5qZV, 5682822]
