[842, 596]
[ordered-list, [71.0, 54.0, 451.0, 18.0], shoonya_0s1PAMFD4NZSP9, 5658122]
[ordered-list, [71.0, 72.0, 451.0, 18.0], shoonya_0s1PAMFD4NZSP9, 5658122]
[ordered-list, [71.0, 90.0, 451.0, 18.0], shoonya_0s1PAMFD4NZSP9, 5658122]
[ordered-list, [71.0, 108.0, 451.0, 18.0], shoonya_0s1PAMFD4NZSP9, 5658122]
[ordered-list, [71.0, 126.0, 451.0, 18.0], shoonya_0s1PAMFD4NZSP9, 5658122]
[ordered-list, [71.0, 144.0, 451.0, 18.0], shoonya_0s1PAMFD4NZSP9, 5658122]
[ordered-list, [71.0, 162.0, 451.0, 18.0], shoonya_0s1PAMFD4NZSP9, 5658122]
[ordered-list, [71.0, 180.0, 451.0, 18.0], shoonya_0s1PAMFD4NZSP9, 5658122]
[ordered-list, [71.0, 198.0, 451.0, 18.0], shoonya_0s1PAMFD4NZSP9, 5658122]
[ordered-list, [60.0, 226.0, 477.0, 18.0], KggIf4asKk, 5658122]
[ordered-list, [60.0, 244.0, 477.0, 18.0], KggIf4asKk, 5658122]
[ordered-list, [60.0, 262.0, 477.0, 18.0], KggIf4asKk, 5658122]
[ordered-list, [60.0, 280.0, 477.0, 18.0], KggIf4asKk, 5658122]
[ordered-list, [60.0, 298.0, 477.0, 18.0], KggIf4asKk, 5658122]
[ordered-list, [60.0, 316.0, 477.0, 18.0], KggIf4asKk, 5658122]
[ordered-list, [60.0, 334.0, 477.0, 18.0], KggIf4asKk, 5658122]
[ordered-list, [60.0, 352.0, 477.0, 18.0], KggIf4asKk, 5658122]
[ordered-list, [60.0, 370.0, 477.0, 18.0], KggIf4asKk, 5658122]
[ordered-list, [60.0, 388.0, 477.0, 18.0], KggIf4asKk, 5658122]
[ordered-list, [60.0, 406.0, 477.0, 18.0], KggIf4asKk, 5658122]
[ordered-list, [60.0, 424.0, 477.0, 18.0], KggIf4asKk, 5658122]
[ordered-list, [60.0, 442.0, 477.0, 18.0], KggIf4asKk, 5658122]
[ordered-list, [60.0, 460.0, 477.0, 18.0], KggIf4asKk, 5658122]
[ordered-list, [60.0, 478.0, 477.0, 18.0], KggIf4asKk, 5658122]
[ordered-list, [60.0, 496.0, 477.0, 18.0], KggIf4asKk, 5658122]
[ordered-list, [60.0, 514.0, 477.0, 18.0], KggIf4asKk, 5658122]
[ordered-list, [60.0, 532.0, 477.0, 18.0], KggIf4asKk, 5658122]
[ordered-list, [60.0, 550.0, 477.0, 18.0], KggIf4asKk, 5658122]
[ordered-list, [60.0, 568.0, 477.0, 18.0], KggIf4asKk, 5658122]
[ordered-list, [60.0, 586.0, 477.0, 18.0], KggIf4asKk, 5658122]
[ordered-list, [60.0, 604.0, 477.0, 18.0], KggIf4asKk, 5658122]
[ordered-list, [60.0, 622.0, 477.0, 18.0], KggIf4asKk, 5658122]
[ordered-list, [60.0, 640.0, 477.0, 18.0], KggIf4asKk, 5658122]
[ordered-list, [60.0, 658.0, 477.0, 18.0], KggIf4asKk, 5658122]
[ordered-list, [60.0, 676.0, 477.0, 18.0], KggIf4asKk, 5658122]
[ordered-list, [60.0, 694.0, 477.0, 18.0], KggIf4asKk, 5658122]
[ordered-list, [60.0, 712.0, 477.0, 18.0], KggIf4asKk, 5658122]
[ordered-list, [60.0, 730.0, 477.0, 18.0], KggIf4asKk, 5658122]
[sub-ordered-list, [68.0, 243.0, 455.0, 18.0], rMEZq-6Wn7, 5658122]
[sub-ordered-list, [68.0, 261.0, 455.0, 18.0], rMEZq-6Wn7, 5658122]
[sub-ordered-list, [68.0, 279.0, 455.0, 18.0], rMEZq-6Wn7, 5658122]
[sub-ordered-list, [68.0, 297.0, 455.0, 18.0], rMEZq-6Wn7, 5658122]
[sub-ordered-list, [68.0, 315.0, 455.0, 18.0], rMEZq-6Wn7, 5658122]
[sub-ordered-list, [68.0, 333.0, 455.0, 18.0], rMEZq-6Wn7, 5658122]
[sub-ordered-list, [68.0, 351.0, 455.0, 18.0], rMEZq-6Wn7, 5658122]
[sub-ordered-list, [68.0, 369.0, 455.0, 18.0], rMEZq-6Wn7, 5658122]
[sub-ordered-list, [68.0, 387.0, 455.0, 18.0], rMEZq-6Wn7, 5658122]
[sub-ordered-list, [68.0, 405.0, 455.0, 18.0], rMEZq-6Wn7, 5658122]
[sub-ordered-list, [68.0, 423.0, 455.0, 18.0], rMEZq-6Wn7, 5658122]
[sub-ordered-list, [68.0, 441.0, 455.0, 18.0], rMEZq-6Wn7, 5658122]
[sub-ordered-list, [68.0, 459.0, 455.0, 18.0], rMEZq-6Wn7, 5658122]
[sub-ordered-list, [68.0, 477.0, 455.0, 18.0], rMEZq-6Wn7, 5658122]
[sub-ordered-list, [68.0, 495.0, 455.0, 18.0], rMEZq-6Wn7, 5658122]
[sub-ordered-list, [68.0, 513.0, 455.0, 18.0], rMEZq-6Wn7, 5658122]
[sub-ordered-list, [68.0, 531.0, 455.0, 18.0], rMEZq-6Wn7, 5658122]
[sub-ordered-list, [68.0, 549.0, 455.0, 18.0], rMEZq-6Wn7, 5658122]
[sub-ordered-list, [68.0, 567.0, 455.0, 18.0], rMEZq-6Wn7, 5658122]
[sub-ordered-list, [68.0, 585.0, 455.0, 18.0], rMEZq-6Wn7, 5658122]
[sub-ordered-list, [68.0, 603.0, 455.0, 18.0], rMEZq-6Wn7, 5658122]
[sub-ordered-list, [68.0, 621.0, 455.0, 18.0], rMEZq-6Wn7, 5658122]
[sub-ordered-list, [68.0, 639.0, 455.0, 18.0], rMEZq-6Wn7, 5658122]
[sub-ordered-list, [68.0, 657.0, 455.0, 18.0], rMEZq-6Wn7, 5658122]
[sub-ordered-list, [68.0, 675.0, 455.0, 18.0], rMEZq-6Wn7, 5658122]
[sub-ordered-list, [68.0, 693.0, 455.0, 18.0], rMEZq-6Wn7, 5658122]
[sub-ordered-list, [68.0, 711.0, 455.0, 18.0], rMEZq-6Wn7, 5658122]
[footnote, [81.0, 778.0, 458.0, 18.0], shoonya_4sKWL32IVCA2MG, 5658122]
