[1545, 2000]
[section-title, [102.0, 57.0, 208.0, 49.5], qplwiwyXC6, 6490677]
[folio, [1558.0, 67.0, 323.0, 36.0], JB8uzwaMOm, 6490677]
[folio, [1558.0, 103.0, 323.0, 36.0], JB8uzwaMOm, 6490677]
[folio, [833.0, 150.0, 336.0, 36.0], RT4yxLyo4O, 6490677]
[folio, [833.0, 186.0, 336.0, 36.0], RT4yxLyo4O, 6490677]
[author, [336.0, 198.0, 168.0, 36.0], 8Rfu2uECdH, 6490677]
[paragraph, [40.0, 354.0, 568.0, 36.0], shoonya_5sF5FQWHAWTQLK, 6490677]
[paragraph, [40.0, 390.0, 568.0, 36.0], shoonya_5sF5FQWHAWTQLK, 6490677]
[paragraph, [40.0, 426.0, 568.0, 36.0], shoonya_5sF5FQWHAWTQLK, 6490677]
[paragraph, [40.0, 462.0, 568.0, 36.0], shoonya_5sF5FQWHAWTQLK, 6490677]
[paragraph, [40.0, 498.0, 568.0, 36.0], shoonya_5sF5FQWHAWTQLK, 6490677]
[paragraph, [40.0, 534.0, 568.0, 36.0], shoonya_5sF5FQWHAWTQLK, 6490677]
[paragraph, [722.0, 384.0, 557.0, 36.0], VAPp7SqCSz, 6490677]
[paragraph, [722.0, 420.0, 557.0, 36.0], VAPp7SqCSz, 6490677]
[paragraph, [722.0, 456.0, 557.0, 36.0], VAPp7SqCSz, 6490677]
[paragraph, [722.0, 492.0, 557.0, 36.0], VAPp7SqCSz, 6490677]
[paragraph, [722.0, 528.0, 557.0, 36.0], VAPp7SqCSz, 6490677]
[paragraph, [722.0, 564.0, 557.0, 36.0], VAPp7SqCSz, 6490677]
[paragraph, [722.0, 600.0, 557.0, 36.0], VAPp7SqCSz, 6490677]
[paragraph, [722.0, 636.0, 557.0, 36.0], VAPp7SqCSz, 6490677]
[author, [145.0, 690.0, 186.0, 36.0], IXVrfPjbF3, 6490677]
[author, [145.0, 726.0, 186.0, 36.0], IXVrfPjbF3, 6490677]
[paragraph, [840.0, 743.0, 323.0, 36.0], Zgv8-zkixl, 6490677]
[paragraph, [840.0, 779.0, 323.0, 36.0], Zgv8-zkixl, 6490677]
[paragraph, [49.0, 848.0, 564.0, 36.0], shoonya_2sM3HBHUKUCVDE, 6490677]
[paragraph, [49.0, 884.0, 564.0, 36.0], shoonya_2sM3HBHUKUCVDE, 6490677]
[paragraph, [49.0, 920.0, 564.0, 36.0], shoonya_2sM3HBHUKUCVDE, 6490677]
[paragraph, [49.0, 956.0, 564.0, 36.0], shoonya_2sM3HBHUKUCVDE, 6490677]
[paragraph, [49.0, 992.0, 564.0, 36.0], shoonya_2sM3HBHUKUCVDE, 6490677]
[paragraph, [49.0, 1028.0, 564.0, 36.0], shoonya_2sM3HBHUKUCVDE, 6490677]
[contact-info, [813.0, 891.0, 401.0, 36.0], EWH8gIwRbx, 6490677]
[contact-info, [813.0, 927.0, 401.0, 36.0], EWH8gIwRbx, 6490677]
[contact-info, [813.0, 963.0, 401.0, 36.0], EWH8gIwRbx, 6490677]
[headline, [1364.0, 914.0, 617.0, 37.5], shoonya_6sBP1KHJA6ZIWZ, 6490677]
[headline, [1364.0, 951.5, 617.0, 37.5], shoonya_6sBP1KHJA6ZIWZ, 6490677]
[headline, [1364.0, 989.0, 617.0, 37.5], shoonya_6sBP1KHJA6ZIWZ, 6490677]
[headline, [1364.0, 1026.5, 617.0, 37.5], shoonya_6sBP1KHJA6ZIWZ, 6490677]
[headline, [1364.0, 1064.0, 617.0, 37.5], shoonya_6sBP1KHJA6ZIWZ, 6490677]
[paragraph, [905.0, 1115.0, 190.0, 36.0], bdcbru8Q4Y, 6490677]
[paragraph, [117.0, 1158.0, 426.0, 36.0], X0zf3dJh7t, 6490677]
[paragraph, [117.0, 1194.0, 426.0, 36.0], X0zf3dJh7t, 6490677]
[website-link, [855.0, 1195.0, 286.0, 18.0], OSYWfLFxPG, 6490677]
[website-link, [855.0, 1213.0, 286.0, 18.0], OSYWfLFxPG, 6490677]
[paragraph, [1374.0, 1219.0, 530.0, 36.0], shoonya_8s6IGIJT4H555L, 6490677]
[paragraph, [1374.0, 1255.0, 530.0, 36.0], shoonya_8s6IGIJT4H555L, 6490677]
[paragraph, [1374.0, 1291.0, 530.0, 36.0], shoonya_8s6IGIJT4H555L, 6490677]
[paragraph, [1374.0, 1327.0, 530.0, 36.0], shoonya_8s6IGIJT4H555L, 6490677]
[folio, [112.0, 1296.0, 439.0, 36.0], _RvWKvWUnn, 6490677]
[folio, [112.0, 1332.0, 439.0, 36.0], _RvWKvWUnn, 6490677]
[contact-info, [752.0, 1344.0, 474.0, 36.0], OxTB1Zhdiw, 6490677]
[contact-info, [752.0, 1380.0, 474.0, 36.0], OxTB1Zhdiw, 6490677]
[contact-info, [752.0, 1416.0, 474.0, 36.0], OxTB1Zhdiw, 6490677]
[contact-info, [752.0, 1452.0, 474.0, 36.0], OxTB1Zhdiw, 6490677]
[folio, [80.0, 1401.0, 501.0, 36.0], No9WrUl-WA, 6490677]
[folio, [80.0, 1437.0, 501.0, 36.0], No9WrUl-WA, 6490677]
[website-link, [1405.0, 1416.0, 276.0, 18.0], teccXfUM9i, 6490677]
[website-link, [1405.0, 1434.0, 276.0, 18.0], teccXfUM9i, 6490677]
