[674, 487]
[quote, [33.0, 32.0, 92.0, 18.0], idDat0VdBH, 6534291]
[quote, [238.0, 35.0, 126.0, 18.0], PpF6QMCmbQ, 6534291]
[quote, [238.0, 53.0, 126.0, 18.0], PpF6QMCmbQ, 6534291]
[quote, [132.0, 38.0, 92.0, 18.0], dnXuYRhJS7, 6534291]
[quote, [132.0, 56.0, 92.0, 18.0], dnXuYRhJS7, 6534291]
[quote, [34.0, 208.0, 137.0, 18.0], QJtQQxuvRX, 6534291]
[quote, [260.0, 211.0, 110.0, 18.0], -5ndRFauIT, 6534291]
[quote, [260.0, 229.0, 110.0, 18.0], -5ndRFauIT, 6534291]
[quote, [94.0, 225.0, 166.0, 18.0], ja0KRvQnXr, 6534291]
[quote, [94.0, 243.0, 166.0, 18.0], ja0KRvQnXr, 6534291]
[quote, [39.0, 440.0, 137.0, 18.0], Fp_HJTNErs, 6534291]
[quote, [39.0, 458.0, 137.0, 18.0], Fp_HJTNErs, 6534291]
[quote, [39.0, 476.0, 137.0, 18.0], Fp_HJTNErs, 6534291]
[quote, [185.0, 441.0, 275.0, 18.0], aMuwnu-hVW, 6534291]
[quote, [319.0, 459.0, 126.0, 18.0], IDj7PadoCB, 6534291]
[quote, [319.0, 477.0, 126.0, 18.0], IDj7PadoCB, 6534291]
[quote, [319.0, 495.0, 126.0, 18.0], IDj7PadoCB, 6534291]
