[648, 414]
[folio, [245.0, 70.0, 87.0, 18.0], Y8Zj9NTrtD, 6514774]
[paragraph, [51.0, 94.0, 316.0, 18.0], shoonya_0s1M2G9TD1JK9K, 6514774]
[paragraph, [51.0, 112.0, 316.0, 18.0], shoonya_0s1M2G9TD1JK9K, 6514774]
[paragraph, [51.0, 130.0, 316.0, 18.0], shoonya_0s1M2G9TD1JK9K, 6514774]
[paragraph, [51.0, 148.0, 316.0, 18.0], shoonya_0s1M2G9TD1JK9K, 6514774]
[paragraph, [51.0, 166.0, 316.0, 18.0], shoonya_0s1M2G9TD1JK9K, 6514774]
[paragraph, [51.0, 184.0, 316.0, 18.0], shoonya_0s1M2G9TD1JK9K, 6514774]
[paragraph, [51.0, 202.0, 316.0, 18.0], shoonya_0s1M2G9TD1JK9K, 6514774]
[paragraph, [51.0, 220.0, 316.0, 18.0], shoonya_0s1M2G9TD1JK9K, 6514774]
[paragraph, [51.0, 238.0, 316.0, 18.0], shoonya_0s1M2G9TD1JK9K, 6514774]
[paragraph, [51.0, 256.0, 316.0, 18.0], shoonya_0s1M2G9TD1JK9K, 6514774]
[paragraph, [51.0, 274.0, 316.0, 18.0], shoonya_0s1M2G9TD1JK9K, 6514774]
[paragraph, [51.0, 292.0, 316.0, 18.0], shoonya_0s1M2G9TD1JK9K, 6514774]
[paragraph, [51.0, 310.0, 316.0, 18.0], shoonya_0s1M2G9TD1JK9K, 6514774]
[paragraph, [51.0, 328.0, 316.0, 18.0], shoonya_0s1M2G9TD1JK9K, 6514774]
[paragraph, [51.0, 346.0, 316.0, 18.0], shoonya_0s1M2G9TD1JK9K, 6514774]
[paragraph, [48.0, 373.0, 321.0, 18.0], shoonya_1sSSCP86T2WHNE, 6514774]
[paragraph, [48.0, 391.0, 321.0, 18.0], shoonya_1sSSCP86T2WHNE, 6514774]
[paragraph, [48.0, 409.0, 321.0, 18.0], shoonya_1sSSCP86T2WHNE, 6514774]
[paragraph, [48.0, 427.0, 321.0, 18.0], shoonya_1sSSCP86T2WHNE, 6514774]
[paragraph, [48.0, 445.0, 321.0, 18.0], shoonya_1sSSCP86T2WHNE, 6514774]
[paragraph, [48.0, 463.0, 321.0, 18.0], shoonya_1sSSCP86T2WHNE, 6514774]
[paragraph, [48.0, 481.0, 321.0, 18.0], shoonya_1sSSCP86T2WHNE, 6514774]
[paragraph, [48.0, 499.0, 321.0, 18.0], shoonya_1sSSCP86T2WHNE, 6514774]
[paragraph, [48.0, 517.0, 321.0, 18.0], shoonya_1sSSCP86T2WHNE, 6514774]
[paragraph, [48.0, 535.0, 321.0, 18.0], shoonya_1sSSCP86T2WHNE, 6514774]
[paragraph, [48.0, 553.0, 321.0, 18.0], shoonya_1sSSCP86T2WHNE, 6514774]
