[1300, 900]
[folio, [322.0, 37.0, 253.0, 18.0], shoonya_5s19Z16A8BEIV6, 5731520]
[paragraph, [90.0, 102.0, 720.0, 18.0], shoonya_2sM4FBP7PD41K8, 5731520]
[paragraph, [90.0, 120.0, 720.0, 18.0], shoonya_2sM4FBP7PD41K8, 5731520]
[paragraph, [90.0, 138.0, 720.0, 18.0], shoonya_2sM4FBP7PD41K8, 5731520]
[paragraph, [90.0, 156.0, 720.0, 18.0], shoonya_2sM4FBP7PD41K8, 5731520]
[paragraph, [90.0, 174.0, 720.0, 18.0], shoonya_2sM4FBP7PD41K8, 5731520]
[paragraph, [90.0, 192.0, 720.0, 18.0], shoonya_2sM4FBP7PD41K8, 5731520]
[paragraph, [94.0, 229.0, 730.0, 18.0], yWjntjtJC2, 5731520]
[paragraph, [94.0, 247.0, 730.0, 18.0], yWjntjtJC2, 5731520]
[paragraph, [94.0, 265.0, 730.0, 18.0], yWjntjtJC2, 5731520]
[paragraph, [94.0, 283.0, 730.0, 18.0], yWjntjtJC2, 5731520]
[paragraph, [94.0, 301.0, 730.0, 18.0], yWjntjtJC2, 5731520]
[paragraph, [94.0, 319.0, 730.0, 18.0], yWjntjtJC2, 5731520]
[paragraph, [94.0, 337.0, 730.0, 18.0], yWjntjtJC2, 5731520]
[paragraph, [94.0, 355.0, 730.0, 18.0], yWjntjtJC2, 5731520]
[paragraph, [94.0, 373.0, 730.0, 18.0], yWjntjtJC2, 5731520]
[paragraph, [94.0, 391.0, 730.0, 18.0], yWjntjtJC2, 5731520]
[paragraph, [94.0, 409.0, 730.0, 18.0], yWjntjtJC2, 5731520]
[paragraph, [217.0, 446.0, 462.0, 18.0], sWLgEWI-2N, 5731520]
[paragraph, [217.0, 464.0, 462.0, 18.0], sWLgEWI-2N, 5731520]
[paragraph, [217.0, 482.0, 462.0, 18.0], sWLgEWI-2N, 5731520]
[paragraph, [217.0, 500.0, 462.0, 18.0], sWLgEWI-2N, 5731520]
[paragraph, [217.0, 518.0, 462.0, 18.0], sWLgEWI-2N, 5731520]
[paragraph, [217.0, 536.0, 462.0, 18.0], sWLgEWI-2N, 5731520]
[paragraph, [217.0, 554.0, 462.0, 18.0], sWLgEWI-2N, 5731520]
[paragraph, [217.0, 572.0, 462.0, 18.0], sWLgEWI-2N, 5731520]
[paragraph, [217.0, 590.0, 462.0, 18.0], sWLgEWI-2N, 5731520]
[paragraph, [635.0, 623.0, 168.0, 18.0], shoonya_1s92YHHHX43MQK, 5731520]
[paragraph, [94.0, 666.0, 717.0, 18.0], shoonya_0sY8FFROUGW2J7, 5731520]
[paragraph, [94.0, 684.0, 717.0, 18.0], shoonya_0sY8FFROUGW2J7, 5731520]
[paragraph, [94.0, 702.0, 717.0, 18.0], shoonya_0sY8FFROUGW2J7, 5731520]
[paragraph, [94.0, 720.0, 717.0, 18.0], shoonya_0sY8FFROUGW2J7, 5731520]
[paragraph, [94.0, 738.0, 717.0, 18.0], shoonya_0sY8FFROUGW2J7, 5731520]
[paragraph, [94.0, 756.0, 717.0, 18.0], shoonya_0sY8FFROUGW2J7, 5731520]
[paragraph, [94.0, 774.0, 717.0, 18.0], shoonya_0sY8FFROUGW2J7, 5731520]
[paragraph, [94.0, 792.0, 717.0, 18.0], shoonya_0sY8FFROUGW2J7, 5731520]
[paragraph, [94.0, 810.0, 717.0, 18.0], shoonya_0sY8FFROUGW2J7, 5731520]
[paragraph, [94.0, 828.0, 717.0, 18.0], shoonya_0sY8FFROUGW2J7, 5731520]
[paragraph, [94.0, 846.0, 717.0, 18.0], shoonya_0sY8FFROUGW2J7, 5731520]
[paragraph, [94.0, 864.0, 717.0, 18.0], shoonya_0sY8FFROUGW2J7, 5731520]
[paragraph, [94.0, 882.0, 717.0, 18.0], shoonya_0sY8FFROUGW2J7, 5731520]
[paragraph, [94.0, 900.0, 717.0, 18.0], shoonya_0sY8FFROUGW2J7, 5731520]
[paragraph, [94.0, 918.0, 717.0, 18.0], shoonya_0sY8FFROUGW2J7, 5731520]
[paragraph, [94.0, 936.0, 717.0, 18.0], shoonya_0sY8FFROUGW2J7, 5731520]
[paragraph, [94.0, 954.0, 717.0, 18.0], shoonya_0sY8FFROUGW2J7, 5731520]
[paragraph, [94.0, 972.0, 717.0, 18.0], shoonya_0sY8FFROUGW2J7, 5731520]
[paragraph, [101.0, 1001.0, 711.0, 18.0], shoonya_3sMK78MCRMPGYP, 5731520]
[paragraph, [101.0, 1019.0, 711.0, 18.0], shoonya_3sMK78MCRMPGYP, 5731520]
[paragraph, [101.0, 1037.0, 711.0, 18.0], shoonya_3sMK78MCRMPGYP, 5731520]
[paragraph, [101.0, 1055.0, 711.0, 18.0], shoonya_3sMK78MCRMPGYP, 5731520]
[paragraph, [101.0, 1073.0, 711.0, 18.0], shoonya_3sMK78MCRMPGYP, 5731520]
[paragraph, [101.0, 1091.0, 711.0, 18.0], shoonya_3sMK78MCRMPGYP, 5731520]
[paragraph, [101.0, 1109.0, 711.0, 18.0], shoonya_3sMK78MCRMPGYP, 5731520]
[paragraph, [101.0, 1127.0, 711.0, 18.0], shoonya_3sMK78MCRMPGYP, 5731520]
[paragraph, [101.0, 1145.0, 711.0, 18.0], shoonya_3sMK78MCRMPGYP, 5731520]
[paragraph, [119.0, 1172.0, 670.0, 18.0], shoonya_7sCHFS25C7A8RS, 5731520]
[paragraph, [119.0, 1190.0, 670.0, 18.0], shoonya_7sCHFS25C7A8RS, 5731520]
[paragraph, [455.0, 1216.0, 357.0, 18.0], OiSG9A4UUn, 5731520]
