[596, 421]
[section-title, [72.0, 32.0, 87.0, 30.0], shoonya_0sYIOROIIGF07Q, 6533558]
[paragraph, [35.0, 74.0, 149.0, 18.0], M0RBp2DHpK, 6533558]
[paragraph, [35.0, 92.0, 149.0, 18.0], M0RBp2DHpK, 6533558]
[paragraph, [39.0, 121.0, 137.0, 18.0], FUQZWVMBTe, 6533558]
[paragraph, [39.0, 139.0, 137.0, 18.0], FUQZWVMBTe, 6533558]
[paragraph, [42.0, 164.0, 144.0, 18.0], 0K5TOnWNSq, 6533558]
[paragraph, [42.0, 182.0, 144.0, 18.0], 0K5TOnWNSq, 6533558]
[paragraph, [41.0, 208.0, 139.0, 18.0], 2lN4FW4d6v, 6533558]
[paragraph, [41.0, 226.0, 139.0, 18.0], 2lN4FW4d6v, 6533558]
[paragraph, [41.0, 244.0, 139.0, 18.0], 2lN4FW4d6v, 6533558]
[paragraph, [40.0, 271.0, 136.0, 18.0], 4_ziH77pVX, 6533558]
[paragraph, [40.0, 289.0, 136.0, 18.0], 4_ziH77pVX, 6533558]
[section-title, [283.0, 281.0, 72.0, 30.0], ELYGaIsaSw, 6533558]
[paragraph, [36.0, 314.0, 147.0, 18.0], BeugGXihyD, 6533558]
[paragraph, [36.0, 332.0, 147.0, 18.0], BeugGXihyD, 6533558]
[paragraph, [232.0, 331.0, 150.0, 18.0], PdTvUn9s4w, 6533558]
[paragraph, [232.0, 349.0, 150.0, 18.0], PdTvUn9s4w, 6533558]
[paragraph, [232.0, 367.0, 150.0, 18.0], PdTvUn9s4w, 6533558]
[paragraph, [232.0, 385.0, 150.0, 18.0], PdTvUn9s4w, 6533558]
[paragraph, [232.0, 403.0, 150.0, 18.0], PdTvUn9s4w, 6533558]
[paragraph, [232.0, 421.0, 150.0, 18.0], PdTvUn9s4w, 6533558]
[paragraph, [232.0, 439.0, 150.0, 18.0], PdTvUn9s4w, 6533558]
[paragraph, [232.0, 457.0, 150.0, 18.0], PdTvUn9s4w, 6533558]
[paragraph, [232.0, 475.0, 150.0, 18.0], PdTvUn9s4w, 6533558]
