[1650, 1275]
[sub-section-title, [158.0, 197.0, 257.0, 36.0], shoonya_2sCCFNSQ65OF4U, 5718532]
[paragraph, [156.0, 236.0, 1086.0, 36.0], shoonya_3sXIQXQO56N333, 5718532]
[paragraph, [156.0, 272.0, 1086.0, 36.0], shoonya_3sXIQXQO56N333, 5718532]
[paragraph, [156.0, 308.0, 1086.0, 36.0], shoonya_3sXIQXQO56N333, 5718532]
[paragraph, [156.0, 344.0, 1086.0, 36.0], shoonya_3sXIQXQO56N333, 5718532]
[paragraph, [156.0, 380.0, 1086.0, 36.0], shoonya_3sXIQXQO56N333, 5718532]
[paragraph, [156.0, 416.0, 1086.0, 36.0], shoonya_3sXIQXQO56N333, 5718532]
[paragraph, [156.0, 452.0, 1086.0, 36.0], shoonya_3sXIQXQO56N333, 5718532]
[paragraph, [156.0, 488.0, 1086.0, 36.0], shoonya_3sXIQXQO56N333, 5718532]
[paragraph, [158.0, 575.0, 1068.0, 36.0], shoonya_5sH1VLQRPPP8ZL, 5718532]
[paragraph, [158.0, 611.0, 1068.0, 36.0], shoonya_5sH1VLQRPPP8ZL, 5718532]
[paragraph, [158.0, 647.0, 1068.0, 36.0], shoonya_5sH1VLQRPPP8ZL, 5718532]
[paragraph, [158.0, 683.0, 1068.0, 36.0], shoonya_5sH1VLQRPPP8ZL, 5718532]
[paragraph, [158.0, 719.0, 1068.0, 36.0], shoonya_5sH1VLQRPPP8ZL, 5718532]
[paragraph, [158.0, 755.0, 1068.0, 36.0], shoonya_5sH1VLQRPPP8ZL, 5718532]
[paragraph, [158.0, 791.0, 1068.0, 36.0], shoonya_5sH1VLQRPPP8ZL, 5718532]
[paragraph, [158.0, 827.0, 1068.0, 36.0], shoonya_5sH1VLQRPPP8ZL, 5718532]
[sub-section-title, [162.0, 890.0, 265.0, 36.0], shoonya_6s8915V6YLRCYY, 5718532]
[paragraph, [155.0, 934.0, 1082.0, 36.0], shoonya_7sKXBM0KAXDEYS, 5718532]
[paragraph, [155.0, 970.0, 1082.0, 36.0], shoonya_7sKXBM0KAXDEYS, 5718532]
[paragraph, [155.0, 1006.0, 1082.0, 36.0], shoonya_7sKXBM0KAXDEYS, 5718532]
[paragraph, [155.0, 1042.0, 1082.0, 36.0], shoonya_7sKXBM0KAXDEYS, 5718532]
[paragraph, [155.0, 1078.0, 1082.0, 36.0], shoonya_7sKXBM0KAXDEYS, 5718532]
[paragraph, [155.0, 1114.0, 1082.0, 36.0], shoonya_7sKXBM0KAXDEYS, 5718532]
[paragraph, [155.0, 1150.0, 1082.0, 36.0], shoonya_7sKXBM0KAXDEYS, 5718532]
[paragraph, [155.0, 1186.0, 1082.0, 36.0], shoonya_7sKXBM0KAXDEYS, 5718532]
[paragraph, [155.0, 1222.0, 1082.0, 36.0], shoonya_7sKXBM0KAXDEYS, 5718532]
[paragraph, [153.0, 1326.0, 1077.0, 36.0], shoonya_9sU2S2K9I479E1, 5718532]
[paragraph, [153.0, 1362.0, 1077.0, 36.0], shoonya_9sU2S2K9I479E1, 5718532]
[paragraph, [153.0, 1398.0, 1077.0, 36.0], shoonya_9sU2S2K9I479E1, 5718532]
[paragraph, [153.0, 1434.0, 1077.0, 36.0], shoonya_9sU2S2K9I479E1, 5718532]
