[792, 612]
[ordered-list, [47.0, 30.0, 106.0, 18.0], JHITMrpMgP, 6462169]
[ordered-list, [47.0, 48.0, 106.0, 18.0], JHITMrpMgP, 6462169]
[ordered-list, [47.0, 66.0, 106.0, 18.0], JHITMrpMgP, 6462169]
[ordered-list, [47.0, 84.0, 106.0, 18.0], JHITMrpMgP, 6462169]
[ordered-list, [47.0, 102.0, 106.0, 18.0], JHITMrpMgP, 6462169]
[ordered-list, [47.0, 120.0, 106.0, 18.0], JHITMrpMgP, 6462169]
[ordered-list, [47.0, 138.0, 106.0, 18.0], JHITMrpMgP, 6462169]
[ordered-list, [47.0, 156.0, 106.0, 18.0], JHITMrpMgP, 6462169]
[ordered-list, [47.0, 174.0, 106.0, 18.0], JHITMrpMgP, 6462169]
[ordered-list, [38.0, 215.0, 224.0, 18.0], M9KOC5Y0PQ, 6462169]
[ordered-list, [38.0, 233.0, 224.0, 18.0], M9KOC5Y0PQ, 6462169]
[ordered-list, [38.0, 251.0, 224.0, 18.0], M9KOC5Y0PQ, 6462169]
[ordered-list, [38.0, 269.0, 224.0, 18.0], M9KOC5Y0PQ, 6462169]
[ordered-list, [38.0, 287.0, 224.0, 18.0], M9KOC5Y0PQ, 6462169]
[ordered-list, [38.0, 305.0, 224.0, 18.0], M9KOC5Y0PQ, 6462169]
[ordered-list, [38.0, 323.0, 224.0, 18.0], M9KOC5Y0PQ, 6462169]
[ordered-list, [38.0, 341.0, 224.0, 18.0], M9KOC5Y0PQ, 6462169]
[ordered-list, [38.0, 359.0, 224.0, 18.0], M9KOC5Y0PQ, 6462169]
[ordered-list, [38.0, 377.0, 224.0, 18.0], M9KOC5Y0PQ, 6462169]
[ordered-list, [38.0, 395.0, 224.0, 18.0], M9KOC5Y0PQ, 6462169]
[ordered-list, [38.0, 413.0, 224.0, 18.0], M9KOC5Y0PQ, 6462169]
[ordered-list, [38.0, 431.0, 224.0, 18.0], M9KOC5Y0PQ, 6462169]
[ordered-list, [38.0, 449.0, 224.0, 18.0], M9KOC5Y0PQ, 6462169]
[ordered-list, [38.0, 467.0, 224.0, 18.0], M9KOC5Y0PQ, 6462169]
[ordered-list, [38.0, 485.0, 224.0, 18.0], M9KOC5Y0PQ, 6462169]
[ordered-list, [38.0, 503.0, 224.0, 18.0], M9KOC5Y0PQ, 6462169]
[sub-ordered-list, [47.0, 276.0, 134.0, 18.0], Fk4d-Qr0IY, 6462169]
[sub-ordered-list, [47.0, 294.0, 134.0, 18.0], Fk4d-Qr0IY, 6462169]
[sub-ordered-list, [47.0, 312.0, 134.0, 18.0], Fk4d-Qr0IY, 6462169]
[sub-ordered-list, [47.0, 330.0, 134.0, 18.0], Fk4d-Qr0IY, 6462169]
[sub-ordered-list, [47.0, 348.0, 134.0, 18.0], Fk4d-Qr0IY, 6462169]
[sub-ordered-list, [47.0, 366.0, 134.0, 18.0], Fk4d-Qr0IY, 6462169]
[sub-ordered-list, [47.0, 384.0, 134.0, 18.0], Fk4d-Qr0IY, 6462169]
[sub-ordered-list, [47.0, 402.0, 134.0, 18.0], Fk4d-Qr0IY, 6462169]
[sub-ordered-list, [47.0, 420.0, 134.0, 18.0], Fk4d-Qr0IY, 6462169]
[sub-ordered-list, [47.0, 438.0, 134.0, 18.0], Fk4d-Qr0IY, 6462169]
[sub-ordered-list, [47.0, 456.0, 134.0, 18.0], Fk4d-Qr0IY, 6462169]
[sub-ordered-list, [47.0, 474.0, 134.0, 18.0], Fk4d-Qr0IY, 6462169]
[sub-ordered-list, [47.0, 492.0, 134.0, 18.0], Fk4d-Qr0IY, 6462169]
[paragraph, [47.0, 518.0, 84.0, 18.0], EKp8tErfb1, 6462169]
[paragraph, [48.0, 540.0, 63.0, 18.0], JRoDf8oBYn, 6462169]
[paragraph, [48.0, 560.0, 213.0, 18.0], Etybq9FNiu, 6462169]
[unordered-list, [44.0, 619.0, 276.0, 18.0], I8iwRD3XHZ, 6462169]
[unordered-list, [44.0, 637.0, 276.0, 18.0], I8iwRD3XHZ, 6462169]
[unordered-list, [44.0, 655.0, 276.0, 18.0], I8iwRD3XHZ, 6462169]
[folio, [48.0, 714.0, 154.0, 18.0], 79SmsWptrr, 6462169]
