[2337, 1642]
[folio, [713.0, 160.0, 240.0, 36.0], R8aX2UTKCH, 5752634]
[folio, [713.0, 196.0, 240.0, 36.0], R8aX2UTKCH, 5752634]
[paragraph, [143.0, 322.0, 1361.0, 36.0], shoonya_0sIQ557O76C367, 5752634]
[paragraph, [143.0, 358.0, 1361.0, 36.0], shoonya_0sIQ557O76C367, 5752634]
[paragraph, [143.0, 394.0, 1361.0, 36.0], shoonya_0sIQ557O76C367, 5752634]
[paragraph, [143.0, 430.0, 1361.0, 36.0], shoonya_0sIQ557O76C367, 5752634]
[paragraph, [143.0, 466.0, 1361.0, 36.0], shoonya_0sIQ557O76C367, 5752634]
[paragraph, [143.0, 502.0, 1361.0, 36.0], shoonya_0sIQ557O76C367, 5752634]
[paragraph, [143.0, 538.0, 1361.0, 36.0], shoonya_0sIQ557O76C367, 5752634]
[paragraph, [143.0, 574.0, 1361.0, 36.0], shoonya_0sIQ557O76C367, 5752634]
[paragraph, [143.0, 610.0, 1361.0, 36.0], shoonya_0sIQ557O76C367, 5752634]
[paragraph, [143.0, 646.0, 1361.0, 36.0], shoonya_0sIQ557O76C367, 5752634]
[paragraph, [143.0, 682.0, 1361.0, 36.0], shoonya_0sIQ557O76C367, 5752634]
[paragraph, [125.0, 803.0, 1385.0, 36.0], GREPenvZbZ, 5752634]
[paragraph, [125.0, 839.0, 1385.0, 36.0], GREPenvZbZ, 5752634]
[paragraph, [125.0, 875.0, 1385.0, 36.0], GREPenvZbZ, 5752634]
[paragraph, [125.0, 911.0, 1385.0, 36.0], GREPenvZbZ, 5752634]
[paragraph, [125.0, 947.0, 1385.0, 36.0], GREPenvZbZ, 5752634]
[paragraph, [125.0, 983.0, 1385.0, 36.0], GREPenvZbZ, 5752634]
[paragraph, [125.0, 1019.0, 1385.0, 36.0], GREPenvZbZ, 5752634]
[paragraph, [125.0, 1055.0, 1385.0, 36.0], GREPenvZbZ, 5752634]
[paragraph, [125.0, 1091.0, 1385.0, 36.0], GREPenvZbZ, 5752634]
[paragraph, [125.0, 1127.0, 1385.0, 36.0], GREPenvZbZ, 5752634]
[paragraph, [125.0, 1163.0, 1385.0, 36.0], GREPenvZbZ, 5752634]
[paragraph, [141.0, 1311.0, 1359.0, 36.0], shoonya_2sJ8T1T0ML7H45, 5752634]
[paragraph, [141.0, 1347.0, 1359.0, 36.0], shoonya_2sJ8T1T0ML7H45, 5752634]
[paragraph, [141.0, 1383.0, 1359.0, 36.0], shoonya_2sJ8T1T0ML7H45, 5752634]
[paragraph, [141.0, 1419.0, 1359.0, 36.0], shoonya_2sJ8T1T0ML7H45, 5752634]
[paragraph, [141.0, 1455.0, 1359.0, 36.0], shoonya_2sJ8T1T0ML7H45, 5752634]
[paragraph, [141.0, 1491.0, 1359.0, 36.0], shoonya_2sJ8T1T0ML7H45, 5752634]
[paragraph, [141.0, 1527.0, 1359.0, 36.0], shoonya_2sJ8T1T0ML7H45, 5752634]
[paragraph, [141.0, 1563.0, 1359.0, 36.0], shoonya_2sJ8T1T0ML7H45, 5752634]
[paragraph, [141.0, 1599.0, 1359.0, 36.0], shoonya_2sJ8T1T0ML7H45, 5752634]
[paragraph, [120.0, 1708.0, 1389.0, 36.0], shoonya_3s7VQSF83A3SK8, 5752634]
[paragraph, [120.0, 1744.0, 1389.0, 36.0], shoonya_3s7VQSF83A3SK8, 5752634]
[paragraph, [120.0, 1780.0, 1389.0, 36.0], shoonya_3s7VQSF83A3SK8, 5752634]
[paragraph, [120.0, 1816.0, 1389.0, 36.0], shoonya_3s7VQSF83A3SK8, 5752634]
[paragraph, [120.0, 1852.0, 1389.0, 36.0], shoonya_3s7VQSF83A3SK8, 5752634]
[paragraph, [120.0, 1888.0, 1389.0, 36.0], shoonya_3s7VQSF83A3SK8, 5752634]
[paragraph, [120.0, 1924.0, 1389.0, 36.0], shoonya_3s7VQSF83A3SK8, 5752634]
[paragraph, [120.0, 1960.0, 1389.0, 36.0], shoonya_3s7VQSF83A3SK8, 5752634]
[paragraph, [120.0, 1996.0, 1389.0, 36.0], shoonya_3s7VQSF83A3SK8, 5752634]
[paragraph, [120.0, 2032.0, 1389.0, 36.0], shoonya_3s7VQSF83A3SK8, 5752634]
[paragraph, [120.0, 2068.0, 1389.0, 36.0], shoonya_3s7VQSF83A3SK8, 5752634]
[website-link, [536.0, 2252.0, 575.0, 18.0], t_zTCto_Mc, 5752634]
[website-link, [536.0, 2270.0, 575.0, 18.0], t_zTCto_Mc, 5752634]
[website-link, [536.0, 2288.0, 575.0, 18.0], t_zTCto_Mc, 5752634]
