[2339, 1656]
[paragraph, [183.0, 187.0, 1279.0, 36.0], shoonya_0s59LQGTBBO29O, 5753120]
[paragraph, [183.0, 223.0, 1279.0, 36.0], shoonya_0s59LQGTBBO29O, 5753120]
[paragraph, [183.0, 259.0, 1279.0, 36.0], shoonya_0s59LQGTBBO29O, 5753120]
[paragraph, [183.0, 295.0, 1279.0, 36.0], shoonya_0s59LQGTBBO29O, 5753120]
[paragraph, [183.0, 331.0, 1279.0, 36.0], shoonya_0s59LQGTBBO29O, 5753120]
[paragraph, [183.0, 367.0, 1279.0, 36.0], shoonya_0s59LQGTBBO29O, 5753120]
[paragraph, [183.0, 403.0, 1279.0, 36.0], shoonya_0s59LQGTBBO29O, 5753120]
[paragraph, [183.0, 439.0, 1279.0, 36.0], shoonya_0s59LQGTBBO29O, 5753120]
[paragraph, [183.0, 475.0, 1279.0, 36.0], shoonya_0s59LQGTBBO29O, 5753120]
[paragraph, [183.0, 511.0, 1279.0, 36.0], shoonya_0s59LQGTBBO29O, 5753120]
[paragraph, [183.0, 547.0, 1279.0, 36.0], shoonya_0s59LQGTBBO29O, 5753120]
[paragraph, [183.0, 583.0, 1279.0, 36.0], shoonya_0s59LQGTBBO29O, 5753120]
[paragraph, [183.0, 619.0, 1279.0, 36.0], shoonya_0s59LQGTBBO29O, 5753120]
[paragraph, [183.0, 655.0, 1279.0, 36.0], shoonya_0s59LQGTBBO29O, 5753120]
[paragraph, [183.0, 691.0, 1279.0, 36.0], shoonya_0s59LQGTBBO29O, 5753120]
[paragraph, [183.0, 727.0, 1279.0, 36.0], shoonya_0s59LQGTBBO29O, 5753120]
[paragraph, [183.0, 763.0, 1279.0, 36.0], shoonya_0s59LQGTBBO29O, 5753120]
[paragraph, [183.0, 799.0, 1279.0, 36.0], shoonya_0s59LQGTBBO29O, 5753120]
[paragraph, [183.0, 835.0, 1279.0, 36.0], shoonya_0s59LQGTBBO29O, 5753120]
[paragraph, [183.0, 871.0, 1279.0, 36.0], shoonya_0s59LQGTBBO29O, 5753120]
[paragraph, [183.0, 907.0, 1279.0, 36.0], shoonya_0s59LQGTBBO29O, 5753120]
[paragraph, [183.0, 943.0, 1279.0, 36.0], shoonya_0s59LQGTBBO29O, 5753120]
[paragraph, [183.0, 979.0, 1279.0, 36.0], shoonya_0s59LQGTBBO29O, 5753120]
[paragraph, [183.0, 1015.0, 1279.0, 36.0], shoonya_0s59LQGTBBO29O, 5753120]
[paragraph, [183.0, 1051.0, 1279.0, 36.0], shoonya_0s59LQGTBBO29O, 5753120]
[paragraph, [183.0, 1087.0, 1279.0, 36.0], shoonya_0s59LQGTBBO29O, 5753120]
[paragraph, [183.0, 1123.0, 1279.0, 36.0], shoonya_0s59LQGTBBO29O, 5753120]
[paragraph, [183.0, 1159.0, 1279.0, 36.0], shoonya_0s59LQGTBBO29O, 5753120]
[paragraph, [183.0, 1195.0, 1279.0, 36.0], shoonya_0s59LQGTBBO29O, 5753120]
[paragraph, [183.0, 1231.0, 1279.0, 36.0], shoonya_0s59LQGTBBO29O, 5753120]
[paragraph, [183.0, 1267.0, 1279.0, 36.0], shoonya_0s59LQGTBBO29O, 5753120]
[paragraph, [183.0, 1303.0, 1279.0, 36.0], shoonya_0s59LQGTBBO29O, 5753120]
[paragraph, [183.0, 1339.0, 1279.0, 36.0], shoonya_0s59LQGTBBO29O, 5753120]
[paragraph, [188.0, 1426.0, 1281.0, 36.0], 0me_oGKfv0, 5753120]
[paragraph, [188.0, 1462.0, 1281.0, 36.0], 0me_oGKfv0, 5753120]
[paragraph, [188.0, 1498.0, 1281.0, 36.0], 0me_oGKfv0, 5753120]
[paragraph, [188.0, 1534.0, 1281.0, 36.0], 0me_oGKfv0, 5753120]
[paragraph, [188.0, 1570.0, 1281.0, 36.0], 0me_oGKfv0, 5753120]
[paragraph, [188.0, 1606.0, 1281.0, 36.0], 0me_oGKfv0, 5753120]
[paragraph, [188.0, 1642.0, 1281.0, 36.0], 0me_oGKfv0, 5753120]
[paragraph, [188.0, 1678.0, 1281.0, 36.0], 0me_oGKfv0, 5753120]
[paragraph, [188.0, 1714.0, 1281.0, 36.0], 0me_oGKfv0, 5753120]
[paragraph, [188.0, 1750.0, 1281.0, 36.0], 0me_oGKfv0, 5753120]
[paragraph, [188.0, 1786.0, 1281.0, 36.0], 0me_oGKfv0, 5753120]
[paragraph, [188.0, 1822.0, 1281.0, 36.0], 0me_oGKfv0, 5753120]
[paragraph, [188.0, 1858.0, 1281.0, 36.0], 0me_oGKfv0, 5753120]
[paragraph, [188.0, 1894.0, 1281.0, 36.0], 0me_oGKfv0, 5753120]
[paragraph, [188.0, 1930.0, 1281.0, 36.0], 0me_oGKfv0, 5753120]
[paragraph, [188.0, 1966.0, 1281.0, 36.0], 0me_oGKfv0, 5753120]
[paragraph, [188.0, 2002.0, 1281.0, 36.0], 0me_oGKfv0, 5753120]
[paragraph, [188.0, 2038.0, 1281.0, 36.0], 0me_oGKfv0, 5753120]
[folio, [300.0, 2144.0, 465.0, 36.0], _0X9Pi2JO1, 5753120]
