[3508, 2481]
[contact-info, [693.0, 105.0, 1085.0, 52.5], EbygAqJKLg, 6490649]
[contact-info, [693.0, 157.5, 1085.0, 52.5], EbygAqJKLg, 6490649]
[headline, [1075.0, 273.0, 317.0, 52.5], 56U4OyLfU5, 6490649]
[headline, [1075.0, 325.5, 317.0, 52.5], 56U4OyLfU5, 6490649]
[dateline, [1824.0, 649.0, 429.0, 52.5], Bt0yuY-zQ9, 6490649]
[paragraph, [217.0, 917.0, 460.0, 52.5], 9ALjkBX4Al, 6490649]
[paragraph, [217.0, 1023.0, 2083.0, 52.5], ytzdsP6cxY, 6490649]
[paragraph, [217.0, 1075.5, 2083.0, 52.5], ytzdsP6cxY, 6490649]
[paragraph, [217.0, 1128.0, 2083.0, 52.5], ytzdsP6cxY, 6490649]
[paragraph, [217.0, 1180.5, 2083.0, 52.5], ytzdsP6cxY, 6490649]
[paragraph, [217.0, 1233.0, 2083.0, 52.5], ytzdsP6cxY, 6490649]
[paragraph, [217.0, 1285.5, 2083.0, 52.5], ytzdsP6cxY, 6490649]
[ordered-list, [239.0, 1433.0, 2098.0, 52.5], hyOiOK6HR0, 6490649]
[ordered-list, [239.0, 1485.5, 2098.0, 52.5], hyOiOK6HR0, 6490649]
[ordered-list, [239.0, 1538.0, 2098.0, 52.5], hyOiOK6HR0, 6490649]
[ordered-list, [239.0, 1590.5, 2098.0, 52.5], hyOiOK6HR0, 6490649]
[ordered-list, [239.0, 1643.0, 2098.0, 52.5], hyOiOK6HR0, 6490649]
[ordered-list, [239.0, 1695.5, 2098.0, 52.5], hyOiOK6HR0, 6490649]
[ordered-list, [239.0, 1748.0, 2098.0, 52.5], hyOiOK6HR0, 6490649]
[ordered-list, [239.0, 1800.5, 2098.0, 52.5], hyOiOK6HR0, 6490649]
[ordered-list, [239.0, 1853.0, 2098.0, 52.5], hyOiOK6HR0, 6490649]
[ordered-list, [239.0, 1905.5, 2098.0, 52.5], hyOiOK6HR0, 6490649]
[ordered-list, [239.0, 1958.0, 2098.0, 52.5], hyOiOK6HR0, 6490649]
[ordered-list, [239.0, 2010.5, 2098.0, 52.5], hyOiOK6HR0, 6490649]
[ordered-list, [239.0, 2063.0, 2098.0, 52.5], hyOiOK6HR0, 6490649]
[contact-info, [1797.0, 2506.0, 466.0, 52.5], L67HEr8oBO, 6490649]
[contact-info, [991.0, 3277.0, 503.0, 52.5], tOObQLd079, 6490649]
