[2339, 1653]
[paragraph, [121.0, 136.0, 1413.0, 36.0], shoonya_0s5TGW05VCS5H6, 5751212]
[paragraph, [121.0, 172.0, 1413.0, 36.0], shoonya_0s5TGW05VCS5H6, 5751212]
[paragraph, [121.0, 208.0, 1413.0, 36.0], shoonya_0s5TGW05VCS5H6, 5751212]
[paragraph, [121.0, 244.0, 1413.0, 36.0], shoonya_0s5TGW05VCS5H6, 5751212]
[paragraph, [121.0, 280.0, 1413.0, 36.0], shoonya_0s5TGW05VCS5H6, 5751212]
[paragraph, [121.0, 316.0, 1413.0, 36.0], shoonya_0s5TGW05VCS5H6, 5751212]
[paragraph, [122.0, 345.0, 1413.0, 36.0], mD9yTTpybi, 5751212]
[paragraph, [122.0, 381.0, 1413.0, 36.0], mD9yTTpybi, 5751212]
[paragraph, [122.0, 417.0, 1413.0, 36.0], mD9yTTpybi, 5751212]
[paragraph, [122.0, 453.0, 1413.0, 36.0], mD9yTTpybi, 5751212]
[paragraph, [122.0, 489.0, 1413.0, 36.0], mD9yTTpybi, 5751212]
[paragraph, [122.0, 525.0, 1413.0, 36.0], mD9yTTpybi, 5751212]
[paragraph, [122.0, 561.0, 1413.0, 36.0], mD9yTTpybi, 5751212]
[paragraph, [122.0, 597.0, 1413.0, 36.0], mD9yTTpybi, 5751212]
[paragraph, [122.0, 633.0, 1413.0, 36.0], mD9yTTpybi, 5751212]
[paragraph, [122.0, 669.0, 1413.0, 36.0], mD9yTTpybi, 5751212]
[paragraph, [122.0, 705.0, 1413.0, 36.0], mD9yTTpybi, 5751212]
[paragraph, [107.0, 750.0, 1423.0, 36.0], JZV5WDblgs, 5751212]
[paragraph, [107.0, 786.0, 1423.0, 36.0], JZV5WDblgs, 5751212]
[paragraph, [107.0, 822.0, 1423.0, 36.0], JZV5WDblgs, 5751212]
[paragraph, [107.0, 858.0, 1423.0, 36.0], JZV5WDblgs, 5751212]
[paragraph, [107.0, 894.0, 1423.0, 36.0], JZV5WDblgs, 5751212]
[paragraph, [107.0, 930.0, 1423.0, 36.0], JZV5WDblgs, 5751212]
[paragraph, [107.0, 966.0, 1423.0, 36.0], JZV5WDblgs, 5751212]
[paragraph, [107.0, 1002.0, 1423.0, 36.0], JZV5WDblgs, 5751212]
[paragraph, [119.0, 1259.0, 1414.0, 36.0], shoonya_2sGQANMK2MD476, 5751212]
[paragraph, [119.0, 1295.0, 1414.0, 36.0], shoonya_2sGQANMK2MD476, 5751212]
[paragraph, [119.0, 1331.0, 1414.0, 36.0], shoonya_2sGQANMK2MD476, 5751212]
[paragraph, [119.0, 1367.0, 1414.0, 36.0], shoonya_2sGQANMK2MD476, 5751212]
[paragraph, [119.0, 1403.0, 1414.0, 36.0], shoonya_2sGQANMK2MD476, 5751212]
[paragraph, [119.0, 1439.0, 1414.0, 36.0], shoonya_2sGQANMK2MD476, 5751212]
[paragraph, [119.0, 1475.0, 1414.0, 36.0], shoonya_2sGQANMK2MD476, 5751212]
[paragraph, [119.0, 1511.0, 1414.0, 36.0], shoonya_2sGQANMK2MD476, 5751212]
[paragraph, [119.0, 1547.0, 1414.0, 36.0], shoonya_2sGQANMK2MD476, 5751212]
[paragraph, [119.0, 1583.0, 1414.0, 36.0], shoonya_2sGQANMK2MD476, 5751212]
[paragraph, [108.0, 1633.0, 1443.0, 36.0], shoonya_3s9XHNDRDXGPVI, 5751212]
[paragraph, [108.0, 1669.0, 1443.0, 36.0], shoonya_3s9XHNDRDXGPVI, 5751212]
[paragraph, [108.0, 1705.0, 1443.0, 36.0], shoonya_3s9XHNDRDXGPVI, 5751212]
[paragraph, [108.0, 1741.0, 1443.0, 36.0], shoonya_3s9XHNDRDXGPVI, 5751212]
[paragraph, [108.0, 1777.0, 1443.0, 36.0], shoonya_3s9XHNDRDXGPVI, 5751212]
[paragraph, [108.0, 1813.0, 1443.0, 36.0], shoonya_3s9XHNDRDXGPVI, 5751212]
[paragraph, [108.0, 1849.0, 1443.0, 36.0], shoonya_3s9XHNDRDXGPVI, 5751212]
[paragraph, [108.0, 1885.0, 1443.0, 36.0], shoonya_3s9XHNDRDXGPVI, 5751212]
[paragraph, [108.0, 1921.0, 1443.0, 36.0], shoonya_3s9XHNDRDXGPVI, 5751212]
[paragraph, [108.0, 1957.0, 1443.0, 36.0], shoonya_3s9XHNDRDXGPVI, 5751212]
[paragraph, [108.0, 1993.0, 1443.0, 36.0], shoonya_3s9XHNDRDXGPVI, 5751212]
[paragraph, [108.0, 2029.0, 1443.0, 36.0], shoonya_3s9XHNDRDXGPVI, 5751212]
[paragraph, [108.0, 2065.0, 1443.0, 36.0], shoonya_3s9XHNDRDXGPVI, 5751212]
