[1787, 1218]
[paragraph, [279.0, 98.0, 783.0, 36.0], vZNt3TAJPQ, 5651841]
[paragraph, [279.0, 134.0, 783.0, 36.0], vZNt3TAJPQ, 5651841]
[paragraph, [279.0, 170.0, 783.0, 36.0], vZNt3TAJPQ, 5651841]
[paragraph, [279.0, 206.0, 783.0, 36.0], vZNt3TAJPQ, 5651841]
[sidebar, [607.0, 257.0, 508.0, 36.0], A9voHdg9n_, 5651841]
[paragraph, [81.0, 293.0, 1032.0, 36.0], shoonya_0sXV4638YHMPBC, 5651841]
[paragraph, [81.0, 329.0, 1032.0, 36.0], shoonya_0sXV4638YHMPBC, 5651841]
[paragraph, [81.0, 365.0, 1032.0, 36.0], shoonya_0sXV4638YHMPBC, 5651841]
[paragraph, [81.0, 401.0, 1032.0, 36.0], shoonya_0sXV4638YHMPBC, 5651841]
[paragraph, [309.0, 456.0, 514.0, 36.0], nrM5GM3vNh, 5651841]
[paragraph, [309.0, 492.0, 514.0, 36.0], nrM5GM3vNh, 5651841]
[paragraph, [309.0, 528.0, 514.0, 36.0], nrM5GM3vNh, 5651841]
[paragraph, [309.0, 564.0, 514.0, 36.0], nrM5GM3vNh, 5651841]
[paragraph, [403.0, 614.0, 513.0, 36.0], dN8onSItez, 5651841]
[paragraph, [403.0, 650.0, 513.0, 36.0], dN8onSItez, 5651841]
[paragraph, [403.0, 686.0, 513.0, 36.0], dN8onSItez, 5651841]
[paragraph, [403.0, 722.0, 513.0, 36.0], dN8onSItez, 5651841]
[paragraph, [98.0, 785.0, 1018.0, 36.0], S5maVW_qPj, 5651841]
[paragraph, [98.0, 821.0, 1018.0, 36.0], S5maVW_qPj, 5651841]
[paragraph, [98.0, 857.0, 1018.0, 36.0], S5maVW_qPj, 5651841]
[paragraph, [98.0, 893.0, 1018.0, 36.0], S5maVW_qPj, 5651841]
[paragraph, [98.0, 929.0, 1018.0, 36.0], S5maVW_qPj, 5651841]
[paragraph, [301.0, 983.0, 596.0, 36.0], nlTwFrwspS, 5651841]
[paragraph, [301.0, 1019.0, 596.0, 36.0], nlTwFrwspS, 5651841]
[paragraph, [301.0, 1055.0, 596.0, 36.0], nlTwFrwspS, 5651841]
[paragraph, [301.0, 1091.0, 596.0, 36.0], nlTwFrwspS, 5651841]
[paragraph, [404.0, 1144.0, 551.0, 36.0], 4UgC0FwEpZ, 5651841]
[paragraph, [404.0, 1180.0, 551.0, 36.0], 4UgC0FwEpZ, 5651841]
[paragraph, [404.0, 1216.0, 551.0, 36.0], 4UgC0FwEpZ, 5651841]
[paragraph, [404.0, 1252.0, 551.0, 36.0], 4UgC0FwEpZ, 5651841]
[paragraph, [207.0, 1309.0, 572.0, 36.0], z9HlMpgt4M, 5651841]
[paragraph, [207.0, 1345.0, 572.0, 36.0], z9HlMpgt4M, 5651841]
[paragraph, [207.0, 1381.0, 572.0, 36.0], z9HlMpgt4M, 5651841]
[paragraph, [207.0, 1417.0, 572.0, 36.0], z9HlMpgt4M, 5651841]
[paragraph, [95.0, 1465.0, 1018.0, 36.0], W8k96kGHZQ, 5651841]
[paragraph, [95.0, 1501.0, 1018.0, 36.0], W8k96kGHZQ, 5651841]
[paragraph, [95.0, 1537.0, 1018.0, 36.0], W8k96kGHZQ, 5651841]
[paragraph, [95.0, 1573.0, 1018.0, 36.0], W8k96kGHZQ, 5651841]
[footnote, [459.0, 1651.0, 231.0, 36.0], HKge7NL-Q2, 5651841]
