[1725, 1275]
[section-title, [874.0, 67.0, 331.0, 49.5], shoonya_4sF7O3BS8NZDJU, 5712531]
[figure-caption, [484.0, 666.0, 216.0, 36.0], shoonya_2sHHUUQHQ6WKAW, 5712531]
[figure-caption, [854.0, 666.0, 201.0, 36.0], shoonya_0s15B98QV8WM1O, 5712531]
[paragraph, [43.0, 720.0, 597.0, 36.0], JEMUT-DiGo, 5712531]
[paragraph, [43.0, 756.0, 597.0, 36.0], JEMUT-DiGo, 5712531]
[paragraph, [43.0, 792.0, 597.0, 36.0], JEMUT-DiGo, 5712531]
[paragraph, [43.0, 828.0, 597.0, 36.0], JEMUT-DiGo, 5712531]
[paragraph, [43.0, 864.0, 597.0, 36.0], JEMUT-DiGo, 5712531]
[paragraph, [43.0, 900.0, 597.0, 36.0], JEMUT-DiGo, 5712531]
[paragraph, [43.0, 936.0, 597.0, 36.0], JEMUT-DiGo, 5712531]
[paragraph, [648.0, 728.0, 555.0, 36.0], shoonya_8sU397O9NHU004, 5712531]
[paragraph, [648.0, 764.0, 555.0, 36.0], shoonya_8sU397O9NHU004, 5712531]
[paragraph, [648.0, 800.0, 555.0, 36.0], shoonya_8sU397O9NHU004, 5712531]
[paragraph, [649.0, 849.0, 560.0, 36.0], shoonya_3sWV6YP90IWFPA, 5712531]
[paragraph, [642.0, 907.0, 581.0, 36.0], ircrQeREjs, 5712531]
[paragraph, [642.0, 943.0, 581.0, 36.0], ircrQeREjs, 5712531]
[paragraph, [642.0, 979.0, 581.0, 36.0], ircrQeREjs, 5712531]
[paragraph, [642.0, 1015.0, 581.0, 36.0], ircrQeREjs, 5712531]
[paragraph, [642.0, 1051.0, 581.0, 36.0], ircrQeREjs, 5712531]
[paragraph, [41.0, 1039.0, 594.0, 36.0], mTqsjH_4Oz, 5712531]
[paragraph, [41.0, 1075.0, 594.0, 36.0], mTqsjH_4Oz, 5712531]
[paragraph, [903.0, 1120.0, 315.0, 36.0], CF2-15aClk, 5712531]
[paragraph, [903.0, 1156.0, 315.0, 36.0], CF2-15aClk, 5712531]
[paragraph, [903.0, 1192.0, 315.0, 36.0], CF2-15aClk, 5712531]
[paragraph, [903.0, 1228.0, 315.0, 36.0], CF2-15aClk, 5712531]
[paragraph, [903.0, 1264.0, 315.0, 36.0], CF2-15aClk, 5712531]
[paragraph, [903.0, 1300.0, 315.0, 36.0], CF2-15aClk, 5712531]
[paragraph, [903.0, 1336.0, 315.0, 36.0], CF2-15aClk, 5712531]
[paragraph, [47.0, 1125.0, 317.0, 36.0], RzNsRKNfM5, 5712531]
[paragraph, [47.0, 1161.0, 317.0, 36.0], RzNsRKNfM5, 5712531]
[paragraph, [47.0, 1197.0, 317.0, 36.0], RzNsRKNfM5, 5712531]
[paragraph, [47.0, 1233.0, 317.0, 36.0], RzNsRKNfM5, 5712531]
[paragraph, [47.0, 1269.0, 317.0, 36.0], RzNsRKNfM5, 5712531]
[paragraph, [47.0, 1305.0, 317.0, 36.0], RzNsRKNfM5, 5712531]
[paragraph, [47.0, 1341.0, 317.0, 36.0], RzNsRKNfM5, 5712531]
[sidebar, [364.0, 1148.0, 533.0, 36.0], _O_YCqZup2, 5712531]
[sidebar, [364.0, 1184.0, 533.0, 36.0], _O_YCqZup2, 5712531]
[sidebar, [364.0, 1220.0, 533.0, 36.0], _O_YCqZup2, 5712531]
[sidebar, [364.0, 1256.0, 533.0, 36.0], _O_YCqZup2, 5712531]
[sidebar, [364.0, 1292.0, 533.0, 36.0], _O_YCqZup2, 5712531]
[paragraph, [639.0, 1387.0, 597.0, 36.0], VHS7y2a8cP, 5712531]
[paragraph, [639.0, 1423.0, 597.0, 36.0], VHS7y2a8cP, 5712531]
[paragraph, [639.0, 1459.0, 597.0, 36.0], VHS7y2a8cP, 5712531]
[paragraph, [639.0, 1495.0, 597.0, 36.0], VHS7y2a8cP, 5712531]
[paragraph, [639.0, 1531.0, 597.0, 36.0], VHS7y2a8cP, 5712531]
[paragraph, [44.0, 1396.0, 591.0, 36.0], cU7OrBxw0G, 5712531]
[paragraph, [46.0, 1451.0, 589.0, 36.0], shoonya_6sKWY9GKDACNQY, 5712531]
[paragraph, [46.0, 1487.0, 589.0, 36.0], shoonya_6sKWY9GKDACNQY, 5712531]
[paragraph, [46.0, 1523.0, 589.0, 36.0], shoonya_6sKWY9GKDACNQY, 5712531]
[paragraph, [46.0, 1559.0, 589.0, 36.0], shoonya_6sKWY9GKDACNQY, 5712531]
[paragraph, [46.0, 1595.0, 589.0, 36.0], shoonya_6sKWY9GKDACNQY, 5712531]
