[1723, 1092]
[paragraph, [102.0, 100.0, 887.0, 36.0], shoonya_0sI7QXN0JX0WE7, 5680540]
[paragraph, [102.0, 136.0, 887.0, 36.0], shoonya_0sI7QXN0JX0WE7, 5680540]
[paragraph, [102.0, 172.0, 887.0, 36.0], shoonya_0sI7QXN0JX0WE7, 5680540]
[paragraph, [371.0, 238.0, 619.0, 36.0], shoonya_1sFYMV5TVISR8K, 5680540]
[paragraph, [106.0, 278.0, 880.0, 36.0], ogPE2LyztF, 5680540]
[paragraph, [106.0, 314.0, 880.0, 36.0], ogPE2LyztF, 5680540]
[paragraph, [106.0, 350.0, 880.0, 36.0], ogPE2LyztF, 5680540]
[paragraph, [106.0, 386.0, 880.0, 36.0], ogPE2LyztF, 5680540]
[paragraph, [106.0, 422.0, 880.0, 36.0], ogPE2LyztF, 5680540]
[paragraph, [106.0, 458.0, 880.0, 36.0], ogPE2LyztF, 5680540]
[paragraph, [106.0, 494.0, 880.0, 36.0], ogPE2LyztF, 5680540]
[paragraph, [106.0, 530.0, 880.0, 36.0], ogPE2LyztF, 5680540]
[paragraph, [358.0, 582.0, 631.0, 36.0], -Ru5cK78QE, 5680540]
[paragraph, [103.0, 626.0, 884.0, 36.0], fLEGZIMSHS, 5680540]
[paragraph, [103.0, 662.0, 884.0, 36.0], fLEGZIMSHS, 5680540]
[paragraph, [103.0, 698.0, 884.0, 36.0], fLEGZIMSHS, 5680540]
[paragraph, [103.0, 734.0, 884.0, 36.0], fLEGZIMSHS, 5680540]
[paragraph, [103.0, 770.0, 884.0, 36.0], fLEGZIMSHS, 5680540]
[paragraph, [103.0, 806.0, 884.0, 36.0], fLEGZIMSHS, 5680540]
[paragraph, [103.0, 842.0, 884.0, 36.0], fLEGZIMSHS, 5680540]
[paragraph, [103.0, 878.0, 884.0, 36.0], fLEGZIMSHS, 5680540]
[paragraph, [103.0, 914.0, 884.0, 36.0], fLEGZIMSHS, 5680540]
[paragraph, [348.0, 972.0, 640.0, 36.0], HUpyKYIDHl, 5680540]
[paragraph, [106.0, 1016.0, 879.0, 36.0], 6_wOrK-kRF, 5680540]
[paragraph, [106.0, 1052.0, 879.0, 36.0], 6_wOrK-kRF, 5680540]
[paragraph, [107.0, 1102.0, 883.0, 36.0], GGlO-kGH8Z, 5680540]
[paragraph, [107.0, 1138.0, 883.0, 36.0], GGlO-kGH8Z, 5680540]
[paragraph, [107.0, 1174.0, 883.0, 36.0], GGlO-kGH8Z, 5680540]
[paragraph, [107.0, 1210.0, 883.0, 36.0], GGlO-kGH8Z, 5680540]
[paragraph, [107.0, 1246.0, 883.0, 36.0], GGlO-kGH8Z, 5680540]
[paragraph, [107.0, 1282.0, 883.0, 36.0], GGlO-kGH8Z, 5680540]
[paragraph, [107.0, 1318.0, 883.0, 36.0], GGlO-kGH8Z, 5680540]
[paragraph, [111.0, 1362.0, 879.0, 36.0], Ytw4r63xNQ, 5680540]
[paragraph, [111.0, 1398.0, 879.0, 36.0], Ytw4r63xNQ, 5680540]
[paragraph, [111.0, 1434.0, 879.0, 36.0], Ytw4r63xNQ, 5680540]
[paragraph, [111.0, 1470.0, 879.0, 36.0], Ytw4r63xNQ, 5680540]
[paragraph, [111.0, 1506.0, 879.0, 36.0], Ytw4r63xNQ, 5680540]
[paragraph, [111.0, 1542.0, 879.0, 36.0], Ytw4r63xNQ, 5680540]
