[803, 612]
[section-title, [247.0, 182.0, 181.0, 30.0], xRmsK_A113, 6459791]
[jumpline, [289.0, 217.0, 95.0, 18.0], -Sd3MQgiZQ, 6459791]
[paragraph, [163.0, 255.0, 337.0, 18.0], shoonya_0sQWKWDTZGCRU1, 6459791]
[paragraph, [163.0, 273.0, 337.0, 18.0], shoonya_0sQWKWDTZGCRU1, 6459791]
[paragraph, [163.0, 291.0, 337.0, 18.0], shoonya_0sQWKWDTZGCRU1, 6459791]
[paragraph, [163.0, 309.0, 337.0, 18.0], shoonya_0sQWKWDTZGCRU1, 6459791]
[paragraph, [163.0, 327.0, 337.0, 18.0], shoonya_0sQWKWDTZGCRU1, 6459791]
[paragraph, [163.0, 345.0, 337.0, 18.0], shoonya_0sQWKWDTZGCRU1, 6459791]
[paragraph, [163.0, 363.0, 337.0, 18.0], shoonya_0sQWKWDTZGCRU1, 6459791]
[paragraph, [162.0, 387.0, 341.0, 18.0], k0wOJswZ5W, 6459791]
[paragraph, [162.0, 405.0, 341.0, 18.0], k0wOJswZ5W, 6459791]
[paragraph, [162.0, 423.0, 341.0, 18.0], k0wOJswZ5W, 6459791]
[paragraph, [162.0, 441.0, 341.0, 18.0], k0wOJswZ5W, 6459791]
[paragraph, [162.0, 459.0, 341.0, 18.0], k0wOJswZ5W, 6459791]
[paragraph, [162.0, 477.0, 341.0, 18.0], k0wOJswZ5W, 6459791]
[paragraph, [162.0, 495.0, 341.0, 18.0], k0wOJswZ5W, 6459791]
[paragraph, [162.0, 513.0, 341.0, 18.0], k0wOJswZ5W, 6459791]
[paragraph, [164.0, 536.0, 337.0, 18.0], sgATNtHSHq, 6459791]
[paragraph, [164.0, 554.0, 337.0, 18.0], sgATNtHSHq, 6459791]
[paragraph, [164.0, 572.0, 337.0, 18.0], sgATNtHSHq, 6459791]
[paragraph, [170.0, 600.0, 335.0, 18.0], PQpqsQY2tX, 6459791]
[paragraph, [170.0, 618.0, 335.0, 18.0], PQpqsQY2tX, 6459791]
[paragraph, [170.0, 636.0, 335.0, 18.0], PQpqsQY2tX, 6459791]
