[1650, 1275]
[paragraph, [174.0, 118.0, 919.0, 36.0], shoonya_1sOC3FMD0O2O8O, 5714538]
[paragraph, [174.0, 154.0, 919.0, 36.0], shoonya_1sOC3FMD0O2O8O, 5714538]
[paragraph, [174.0, 190.0, 919.0, 36.0], shoonya_1sOC3FMD0O2O8O, 5714538]
[paragraph, [174.0, 226.0, 919.0, 36.0], shoonya_1sOC3FMD0O2O8O, 5714538]
[paragraph, [185.0, 285.0, 906.0, 36.0], shoonya_0sWBEX6U8QY1IC, 5714538]
[paragraph, [185.0, 321.0, 906.0, 36.0], shoonya_0sWBEX6U8QY1IC, 5714538]
[paragraph, [185.0, 357.0, 906.0, 36.0], shoonya_0sWBEX6U8QY1IC, 5714538]
[paragraph, [185.0, 393.0, 906.0, 36.0], shoonya_0sWBEX6U8QY1IC, 5714538]
[paragraph, [185.0, 429.0, 906.0, 36.0], shoonya_0sWBEX6U8QY1IC, 5714538]
[paragraph, [185.0, 465.0, 906.0, 36.0], shoonya_0sWBEX6U8QY1IC, 5714538]
[paragraph, [185.0, 501.0, 906.0, 36.0], shoonya_0sWBEX6U8QY1IC, 5714538]
[paragraph, [185.0, 537.0, 906.0, 36.0], shoonya_0sWBEX6U8QY1IC, 5714538]
[paragraph, [185.0, 573.0, 906.0, 36.0], shoonya_0sWBEX6U8QY1IC, 5714538]
[paragraph, [185.0, 609.0, 906.0, 36.0], shoonya_0sWBEX6U8QY1IC, 5714538]
[paragraph, [185.0, 645.0, 906.0, 36.0], shoonya_0sWBEX6U8QY1IC, 5714538]
[paragraph, [185.0, 681.0, 906.0, 36.0], shoonya_0sWBEX6U8QY1IC, 5714538]
[paragraph, [296.0, 762.0, 395.0, 36.0], DjsN0kAzcJ, 5714538]
[paragraph, [296.0, 798.0, 395.0, 36.0], DjsN0kAzcJ, 5714538]
[paragraph, [296.0, 834.0, 395.0, 36.0], DjsN0kAzcJ, 5714538]
[paragraph, [296.0, 870.0, 395.0, 36.0], DjsN0kAzcJ, 5714538]
[paragraph, [296.0, 906.0, 395.0, 36.0], DjsN0kAzcJ, 5714538]
[paragraph, [296.0, 942.0, 395.0, 36.0], DjsN0kAzcJ, 5714538]
[paragraph, [296.0, 978.0, 395.0, 36.0], DjsN0kAzcJ, 5714538]
[paragraph, [296.0, 1014.0, 395.0, 36.0], DjsN0kAzcJ, 5714538]
[paragraph, [296.0, 1050.0, 395.0, 36.0], DjsN0kAzcJ, 5714538]
[paragraph, [296.0, 1086.0, 395.0, 36.0], DjsN0kAzcJ, 5714538]
[paragraph, [191.0, 1134.0, 905.0, 36.0], shoonya_5s2IXKEF49O8GB, 5714538]
[paragraph, [191.0, 1170.0, 905.0, 36.0], shoonya_5s2IXKEF49O8GB, 5714538]
[paragraph, [191.0, 1206.0, 905.0, 36.0], shoonya_5s2IXKEF49O8GB, 5714538]
[paragraph, [191.0, 1242.0, 905.0, 36.0], shoonya_5s2IXKEF49O8GB, 5714538]
[paragraph, [191.0, 1278.0, 905.0, 36.0], shoonya_5s2IXKEF49O8GB, 5714538]
[paragraph, [191.0, 1314.0, 905.0, 36.0], shoonya_5s2IXKEF49O8GB, 5714538]
[footnote, [199.0, 1430.0, 332.0, 36.0], shoonya_2s3VEVXCP9UX7I, 5714538]
