[1951, 1219]
[folio, [799.0, 121.0, 189.0, 36.0], shoonya_0s2WBX84DOWILJ, 5683069]
[paragraph, [126.0, 207.0, 966.0, 36.0], RJYcsSh5Wr, 5683069]
[paragraph, [126.0, 243.0, 966.0, 36.0], RJYcsSh5Wr, 5683069]
[paragraph, [126.0, 279.0, 966.0, 36.0], RJYcsSh5Wr, 5683069]
[paragraph, [124.0, 330.0, 969.0, 36.0], e7OgQq5MaN, 5683069]
[paragraph, [124.0, 366.0, 969.0, 36.0], e7OgQq5MaN, 5683069]
[paragraph, [124.0, 402.0, 969.0, 36.0], e7OgQq5MaN, 5683069]
[paragraph, [124.0, 438.0, 969.0, 36.0], e7OgQq5MaN, 5683069]
[paragraph, [124.0, 474.0, 969.0, 36.0], e7OgQq5MaN, 5683069]
[paragraph, [124.0, 510.0, 969.0, 36.0], e7OgQq5MaN, 5683069]
[paragraph, [124.0, 546.0, 969.0, 36.0], e7OgQq5MaN, 5683069]
[paragraph, [124.0, 582.0, 969.0, 36.0], e7OgQq5MaN, 5683069]
[paragraph, [124.0, 618.0, 969.0, 36.0], e7OgQq5MaN, 5683069]
[paragraph, [127.0, 681.0, 970.0, 36.0], qb8LTQuEwB, 5683069]
[paragraph, [127.0, 717.0, 970.0, 36.0], qb8LTQuEwB, 5683069]
[paragraph, [127.0, 753.0, 970.0, 36.0], qb8LTQuEwB, 5683069]
[paragraph, [127.0, 789.0, 970.0, 36.0], qb8LTQuEwB, 5683069]
[paragraph, [127.0, 825.0, 970.0, 36.0], qb8LTQuEwB, 5683069]
[paragraph, [127.0, 861.0, 970.0, 36.0], qb8LTQuEwB, 5683069]
[paragraph, [127.0, 897.0, 970.0, 36.0], qb8LTQuEwB, 5683069]
[paragraph, [127.0, 933.0, 970.0, 36.0], qb8LTQuEwB, 5683069]
[paragraph, [127.0, 969.0, 970.0, 36.0], qb8LTQuEwB, 5683069]
[paragraph, [127.0, 1005.0, 970.0, 36.0], qb8LTQuEwB, 5683069]
[paragraph, [127.0, 1041.0, 970.0, 36.0], qb8LTQuEwB, 5683069]
[paragraph, [127.0, 1077.0, 970.0, 36.0], qb8LTQuEwB, 5683069]
[paragraph, [124.0, 1146.0, 970.0, 36.0], aAOT71tWe5, 5683069]
[paragraph, [124.0, 1182.0, 970.0, 36.0], aAOT71tWe5, 5683069]
[paragraph, [124.0, 1218.0, 970.0, 36.0], aAOT71tWe5, 5683069]
[paragraph, [123.0, 1265.0, 973.0, 36.0], jmETGMJ-8m, 5683069]
[paragraph, [123.0, 1301.0, 973.0, 36.0], jmETGMJ-8m, 5683069]
[paragraph, [123.0, 1337.0, 973.0, 36.0], jmETGMJ-8m, 5683069]
[paragraph, [123.0, 1373.0, 973.0, 36.0], jmETGMJ-8m, 5683069]
[paragraph, [123.0, 1409.0, 973.0, 36.0], jmETGMJ-8m, 5683069]
[paragraph, [123.0, 1445.0, 973.0, 36.0], jmETGMJ-8m, 5683069]
[paragraph, [123.0, 1481.0, 973.0, 36.0], jmETGMJ-8m, 5683069]
[paragraph, [123.0, 1517.0, 973.0, 36.0], jmETGMJ-8m, 5683069]
[paragraph, [123.0, 1553.0, 973.0, 36.0], jmETGMJ-8m, 5683069]
[paragraph, [121.0, 1606.0, 970.0, 36.0], l2N4I514ra, 5683069]
[paragraph, [121.0, 1642.0, 970.0, 36.0], l2N4I514ra, 5683069]
[paragraph, [121.0, 1678.0, 970.0, 36.0], l2N4I514ra, 5683069]
[paragraph, [121.0, 1714.0, 970.0, 36.0], l2N4I514ra, 5683069]
[paragraph, [121.0, 1750.0, 970.0, 36.0], l2N4I514ra, 5683069]
[paragraph, [121.0, 1786.0, 970.0, 36.0], l2N4I514ra, 5683069]
